quarter,nights_m,gbv_b,adr,revenue_musd,adj_ebitda_musd,cost_of_rev_musd,take_rate_pct
1Q21,64.4,10.3,159.82,887.0,-59.0,255.0,8.6
2Q21,83.1,13.4,161.45,1335.0,217.0,294.0,10.0
3Q21,79.7,11.9,149.15,2237.0,1101.0,312.0,18.8
4Q21,73.4,11.3,153.61,1532.0,333.0,295.0,13.6
1Q22,102.1,17.2,168.07,1509.0,229.0,363.0,8.8
2Q22,103.7,17.0,163.74,2104.0,711.0,390.0,12.4
3Q22,99.7,15.6,156.44,2884.0,1457.0,401.0,18.5
4Q22,88.2,13.5,152.81,1902.0,506.0,345.0,14.1
1Q23,121.1,20.4,168.43,1818.0,262.0,428.0,8.9
2Q23,115.1,19.1,166.01,2484.0,819.0,432.0,13.0
3Q23,113.2,18.3,161.38,3397.0,1834.0,459.0,18.6
4Q23,98.8,15.5,156.73,2218.0,738.0,384.0,14.3
1Q24,132.6,22.9,172.88,2142.0,424.0,480.0,9.4
2Q24,125.1,21.2,169.53,2748.0,894.0,506.0,13.0
3Q24,122.8,20.1,163.64,3732.0,1958.0,465.0,18.6
4Q24,111.0,17.6,158.13,2480.0,765.0,427.0,14.1
1Q25,143.1,24.5,171.34,2272.0,417.0,506.0,9.3
2Q25,134.4,23.5,174.48,3096.0,1043.0,544.0,13.2
3Q25,133.6,22.9,171.29,4095.0,2051.0,549.0,17.9
4Q25,121.9,20.4,167.51,2778.0,786.0,487.0,13.6
1Q26,156.2,29.2,186.82,2678.0,519.0,581.0,9.2
2Q26,148.3,27.2,183.73,3608.0,1261.0,633.0,13.3
