accommodation_country,rental_implied,rental_n,hotel_implied,hotel_n,gap,ratio
Switzerland,3.4474,1174.0,2.6307,9991,0.8167,1.3105
Iceland,3.5273,956.0,2.8043,4341,0.723,1.2578
Czech Republic,3.3511,1210.0,2.674,7320,0.677,1.2532
Ireland,3.3145,952.0,2.6929,12806,0.6215,1.2308
Japan,3.3909,1082.0,2.7954,28959,0.5955,1.213
Austria,3.27,2096.0,2.7049,10138,0.5652,1.209
Australia,3.0972,6241.0,2.543,38422,0.5542,1.2179
Belgium,3.1015,1142.0,2.576,7484,0.5255,1.204
Germany,3.1137,1172.0,2.6028,31103,0.5109,1.1963
Spain,3.0749,12299.0,2.5659,41534,0.509,1.1984
Slovenia,3.0974,816.0,2.5891,2421,0.5083,1.1963
Italy,3.1736,15027.0,2.6665,40922,0.5071,1.1902
Malaysia,3.4749,5606.0,2.9696,14000,0.5053,1.1701
United Arab Emirates,3.1534,642.0,2.6708,7229,0.4826,1.1807
United Kingdom,2.982,35600.0,2.5349,185679,0.4471,1.1764
Portugal,2.9701,4840.0,2.55,13530,0.4201,1.1647
Hungary,2.9906,1859.0,2.5791,3907,0.4115,1.1595
France,3.0732,2982.0,2.6728,38794,0.4005,1.1498
Philippines,3.109,1025.0,2.7268,5528,0.3821,1.1401
New Zealand,3.0129,2521.0,2.6347,11945,0.3781,1.1435
South Africa,2.9795,3714.0,2.6288,8373,0.3507,1.1334
Norway,2.8233,772.0,2.4848,3412,0.3386,1.1363
Bosnia and Herzegovina,3.0188,879.0,2.6884,559,0.3304,1.1229
Montenegro,2.7941,1429.0,2.4846,1112,0.3095,1.1246
Cyprus,2.8856,1160.0,2.6157,2171,0.2699,1.1032
Poland,2.8493,2915.0,2.5808,7184,0.2686,1.1041
India,2.9971,550.0,2.7966,14408,0.2005,1.0717
Romania,2.8088,1153.0,2.6096,2964,0.1992,1.0763
Croatia,2.8506,5191.0,2.6591,3412,0.1915,1.072
Serbia,2.7993,884.0,2.6183,1040,0.1811,1.0691
Greece,2.8326,11155.0,2.6606,22065,0.172,1.0646
United States of America,2.9712,2165.0,2.8275,134537,0.1437,1.0508
Indonesia,2.793,2474.0,2.6516,10915,0.1414,1.0533
Albania,2.8392,882.0,2.7204,3208,0.1188,1.0437
Canada,2.9134,611.0,2.8118,19317,0.1016,1.0361
Egypt,2.7654,711.0,2.6836,4512,0.0818,1.0305
Vietnam,2.7109,1972.0,2.6332,12934,0.0777,1.0295
Macedonia,2.8827,820.0,2.807,755,0.0757,1.027
Turkey,2.8973,857.0,2.8456,17757,0.0517,1.0182
Thailand,2.4178,585.0,2.6032,17473,-0.1854,0.9288
