year,region,avg_nights_per_booking,nights_booked_mm,gbv_usd_mm,implied_bookings_mm,source
2019,Global,,326.9,,,Airbnb S-1 (2020): 327M nights & experiences booked in 2019; nights per booking not disclosed for 2019
2019,United States (panel),3.7,,,,"arXiv 2507.21298 (U.S. Airbnb reservations 2019-2024): 2019 mean 3.7 nights, median 2"
2020,Global,4.1,193.2,,47.1,"Airbnb FY2020 10-K (filed 2021-02-26), MD&A Geographic Mix; nights from Airbnb IR annual figures (via Backlinko compilation)"
2020,North America,4.4,,,,Airbnb FY2020 10-K
2020,EMEA,4.4,,,,Airbnb FY2020 10-K
2020,Latin America,4.4,,,,Airbnb FY2020 10-K
2020,Asia Pacific,2.8,,,,Airbnb FY2020 10-K
2021,Global,4.1,300.6,,73.3,"Airbnb FY2021 10-K (filed 2022-02-25), MD&A Geographic Mix; nights from Airbnb IR annual figures (via Backlinko compilation)"
2021,North America,4.3,,,,Airbnb FY2021 10-K
2021,EMEA,4.4,,,,Airbnb FY2021 10-K
2021,Latin America,4.3,,,,Airbnb FY2021 10-K
2021,Asia Pacific,2.7,,,,Airbnb FY2021 10-K
2022,Global,4.1,394.0,,96.1,"Airbnb FY2022 10-K (filed 2023-02-17), MD&A Geographic Mix; nights from Airbnb IR annual figures (via Backlinko compilation)"
2022,North America,4.2,,,,Airbnb FY2022 10-K
2022,EMEA,4.2,,,,Airbnb FY2022 10-K
2022,Latin America,4.2,,,,Airbnb FY2022 10-K
2022,Asia Pacific,3.2,,,,Airbnb FY2022 10-K
2023,Global,3.9,448.0,,114.9,"Airbnb FY2023 10-K (filed 2024-02-16), MD&A Geographic Mix; nights from Airbnb IR annual figures (via Backlinko compilation)"
2023,North America,4.1,,,,Airbnb FY2023 10-K
2023,EMEA,3.9,,,,Airbnb FY2023 10-K
2023,Latin America,3.9,,,,Airbnb FY2023 10-K
2023,Asia Pacific,3.3,,,,Airbnb FY2023 10-K
2024,Global,3.8,491.5,81784.0,129.3,"Airbnb FY2024 10-K (filed 2025-02-13), MD&A Geographic Mix"
2024,North America,4.1,154.0,37816.0,37.6,Airbnb FY2025 10-K regional table (2024 column); nights per booking from FY2024 10-K
2024,EMEA,3.8,201.0,29750.0,52.9,Airbnb FY2025 10-K regional table (2024 column); nights per booking from FY2024 10-K
2024,Latin America,3.7,76.0,7092.0,20.5,Airbnb FY2025 10-K regional table (2024 column); nights per booking from FY2024 10-K
2024,Asia Pacific,3.3,61.0,7126.0,18.5,Airbnb FY2025 10-K regional table (2024 column); nights per booking from FY2024 10-K
2025,Global,3.7,533.0,91273.0,144.1,"Airbnb FY2025 10-K (filed 2026-02-12), MD&A Geographic Mix; Q4-2025 shareholder letter"
2025,North America,4.1,158.0,40295.0,38.5,Airbnb FY2025 10-K
2025,EMEA,3.8,215.0,34162.0,56.6,Airbnb FY2025 10-K
2025,Latin America,3.6,90.0,8542.0,25.0,Airbnb FY2025 10-K
2025,Asia Pacific,3.3,70.0,8274.0,21.2,Airbnb FY2025 10-K
