quarter,scenario,underlying_pts,product_pts,na_nights_yoy_pct,ws10_na_base_pct,delta_vs_ws10_pts
3Q26,bear,3.31,2.29,5.6,7.0,-1.4
4Q26,bear,3.31,-1.0,2.31,7.0,-4.69
1Q27,bear,2.31,-1.0,1.31,6.0,-4.69
2Q27,bear,2.31,-1.0,1.31,6.0,-4.69
3Q27,bear,2.31,-1.0,1.31,6.0,-4.69
4Q27,bear,2.31,0.0,2.31,6.0,-3.69
3Q26,base,3.31,2.29,5.6,7.0,-1.4
4Q26,base,3.31,0.0,3.31,7.0,-3.69
1Q27,base,2.31,0.0,2.31,6.0,-3.69
2Q27,base,2.31,0.0,2.31,6.0,-3.69
3Q27,base,2.31,0.0,2.31,6.0,-3.69
4Q27,base,2.31,0.0,2.31,6.0,-3.69
3Q26,bull,3.31,3.49,6.8,7.0,-0.2
4Q26,bull,3.31,0.0,3.31,7.0,-3.69
1Q27,bull,2.31,2.35,4.65,6.0,-1.35
2Q27,bull,2.31,2.35,4.65,6.0,-1.35
3Q27,bull,2.31,2.35,4.65,6.0,-1.35
4Q27,bull,2.31,2.35,4.65,6.0,-1.35
