quarter,nights_m,gbv_b,adr,revenue_musd,adj_ebitda_musd,cost_of_rev_musd,take_rate_pct,stock_based_comp_total_musd,sales_and_marketing_musd,product_development_musd,operations_and_support_musd,cost_of_revenue_musd,general_and_administrative_musd,buybacks_musd,rsu_tax_withholding_musd,fcf_musd,diluted_wa_shares_m,yoy_growth_reported,yoy_growth_constant_currency,year,q,gbv_musd,take_rate_calc_pct,adj_ebitda_margin_pct,sbc_pct_rev,fcf_margin_pct,sbc_adj_fcf_musd,nights_m_yoy_pct,gbv_musd_yoy_pct,adr_yoy_pct,revenue_musd_yoy_pct,adj_ebitda_musd_yoy_pct,take_rate_calc_pct_yoy_pct,diluted_wa_shares_m_yoy_pct,fcf_musd_yoy_pct,fx_pts,revenue_musd_ltm,adj_ebitda_musd_ltm,fcf_musd_ltm,stock_based_comp_total_musd_ltm,nights_m_ltm,gbv_musd_ltm
1Q21,64.4,10.3,159.82,887.0,-59.0,255.0,8.6,229.5,229.1,363.1,185.4,254.5,189.8,,130.4,598.7,601.0,0.05,0.03,2021,1,10300.0,8.612,-6.652,25.874,67.497,369.2,,,,,,,,,2.0,,,,,,
2Q21,83.1,13.4,161.45,1335.0,217.0,294.0,10.0,232.9,315.3,349.7,208.1,294.4,218.3,,8.5,782.0,611.7,2.99,,2021,2,13400.0,9.963,16.255,17.446,58.577,549.1,,,,,,,,,,,,,,,
3Q21,79.7,11.9,149.15,2237.0,1101.0,312.0,18.8,210.8,290.9,344.4,228.3,311.6,210.7,,15.7,529.2,681.9,0.67,0.64,2021,3,11900.0,18.798,49.218,9.423,23.657,318.4,,,,,,,,,3.0,,,,,,
4Q21,73.4,11.3,153.61,1532.0,333.0,295.0,13.6,225.9,350.7,367.8,225.1,295.5,217.2,0.0,22.4,378.1,569.4,0.78,0.79,2021,4,11300.0,13.558,21.736,14.745,24.68,152.2,,,,,,,,,-1.0,5991.0,1592.0,2288.0,899.1,300.6,46900.0
1Q22,102.1,17.2,168.07,1509.0,229.0,363.0,8.8,195.0,345.0,363.0,232.7,363.0,210.0,0.0,205.0,1196.0,635.0,0.7,0.74,2022,1,17200.0,8.773,15.176,12.922,79.258,1001.0,58.54,66.99,5.162,70.124,-488.136,1.877,5.657,99.766,-4.0,6613.0,1880.0,2885.3,864.6,338.3,53800.0
2Q22,103.7,17.0,163.74,2104.0,711.0,390.0,12.4,247.0,379.0,375.0,258.0,390.0,244.0,0.0,140.0,796.0,684.0,0.58,0.64,2022,2,17000.0,12.376,33.793,11.74,37.833,549.0,24.789,26.866,1.418,57.603,227.65,24.228,11.82,1.79,-6.0,7382.0,2374.0,2899.3,878.7,358.9,57400.0
3Q22,99.7,15.6,156.44,2884.0,1457.0,401.0,18.5,234.0,384.0,366.0,290.0,401.0,240.0,1000.0,146.0,958.0,680.0,0.29,0.36,2022,3,15600.0,18.487,50.52,8.114,33.218,724.0,25.094,31.092,4.888,28.923,32.334,-1.655,-0.279,81.028,-7.0,8029.0,2730.0,3328.1,901.9,378.9,61100.0
4Q22,88.2,13.5,152.81,1902.0,506.0,345.0,14.1,254.0,408.0,398.0,260.0,345.0,256.0,500.0,116.0,455.0,721.0,0.24,0.31,2022,4,13500.0,14.089,26.604,13.354,23.922,201.0,20.163,19.469,-0.521,24.151,51.952,3.919,26.625,20.339,-7.0,8399.0,2903.0,3405.0,930.0,393.7,63300.0
1Q23,121.1,20.4,168.43,1818.0,262.0,428.0,8.9,240.0,450.0,420.0,282.0,428.0,243.0,493.0,151.0,1581.0,670.0,0.2,0.24,2023,1,20400.0,8.912,14.411,13.201,86.964,1341.0,18.609,18.605,0.214,20.477,14.41,1.579,5.512,32.191,-4.0,8708.0,2936.0,3790.0,975.0,412.7,66500.0
2Q23,115.1,19.1,166.01,2484.0,819.0,432.0,13.0,304.0,486.0,451.0,317.0,432.0,275.0,507.0,721.0,900.0,665.0,0.18,0.19,2023,2,19100.0,13.005,32.971,12.238,36.232,596.0,10.993,12.353,1.386,18.061,15.19,5.08,-2.778,13.065,-1.0,9088.0,3044.0,3894.0,1032.0,424.1,68600.0
3Q23,113.2,18.3,161.38,3397.0,1834.0,459.0,18.6,286.0,403.0,419.0,316.0,459.0,304.0,500.0,151.0,1310.0,660.0,0.18,0.14,2023,3,18300.0,18.563,53.989,8.419,38.563,1024.0,13.541,17.308,3.158,17.788,25.875,0.409,-2.941,36.743,4.0,9601.0,3421.0,4246.0,1084.0,437.6,71300.0
4Q23,98.8,15.5,156.73,2218.0,738.0,384.0,14.3,270.0,424.0,432.0,271.0,384.0,1203.0,752.0,201.0,46.0,653.0,0.17,0.14,2023,4,15500.0,14.31,33.273,12.173,2.074,-224.0,12.018,14.815,2.565,16.614,45.85,1.567,-9.431,-89.89,3.0,9917.0,3653.0,3837.0,1100.0,448.2,73300.0
1Q24,132.6,22.9,172.88,2142.0,424.0,480.0,9.4,295.0,514.0,475.0,285.0,480.0,287.0,750.0,155.0,1909.0,654.0,0.18,0.18,2024,1,22900.0,9.354,19.795,13.772,89.122,1614.0,9.496,12.255,2.642,17.822,61.832,4.959,-2.388,20.746,0.0,10241.0,3815.0,4165.0,1155.0,459.7,75800.0
2Q24,125.1,21.2,169.53,2748.0,894.0,506.0,13.0,382.0,573.0,519.0,338.0,506.0,315.0,749.0,154.0,1043.0,649.0,0.11,0.11,2024,2,21200.0,12.962,32.533,13.901,37.955,661.0,8.688,10.995,2.12,10.628,9.158,-0.33,-2.406,15.889,0.0,10505.0,3890.0,4308.0,1233.0,469.7,77900.0
3Q24,122.8,20.1,163.64,3732.0,1958.0,465.0,18.6,362.0,514.0,524.0,369.0,465.0,335.0,1093.0,113.0,1074.0,642.0,0.1,0.1,2024,3,20100.0,18.567,52.465,9.7,28.778,712.0,8.481,9.836,1.4,9.862,6.761,0.023,-2.727,-18.015,0.0,10840.0,4014.0,4072.0,1309.0,479.3,79700.0
4Q24,111.0,17.6,158.13,2480.0,765.0,427.0,14.1,400.0,547.0,538.0,290.0,427.0,248.0,838.0,208.0,458.0,635.0,0.12,,2024,4,17600.0,14.091,30.847,16.129,18.468,58.0,12.348,13.548,0.893,11.812,3.659,-1.529,-2.757,895.652,,11102.0,4041.0,4484.0,1439.0,491.5,81800.0
1Q25,143.1,24.5,171.34,2272.0,417.0,506.0,9.3,358.0,563.0,568.0,303.0,506.0,294.0,807.0,152.0,1781.0,632.0,0.06,0.08,2025,1,24500.0,9.273,18.354,15.757,78.389,1423.0,7.919,6.987,-0.891,6.069,-1.651,-0.858,-3.364,-6.705,-2.0,11232.0,4034.0,4356.0,1502.0,502.0,83400.0
