market,region,country,trend_pct_yr,t,years
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires_2026-07-24,latam,argentina,0.2349,1.1206,11
australia_nsw_mid-north-coast_2026-07-16,apac,australia,-0.0929,-0.6928,11
australia_nsw_northern-rivers_2026-06-24,apac,australia,0.545,2.397,11
australia_nsw_sydney_2026-06-16,apac,australia,-0.1323,-0.3562,11
australia_qld_brisbane_2026-07-14,apac,australia,-0.4353,-2.2047,11
australia_qld_sunshine-coast_2026-07-26,apac,australia,-0.1031,-0.5246,11
australia_sa_barossa-valley_2026-06-29,apac,australia,-0.1145,-0.1338,9
australia_tas_tasmania_2026-06-15,apac,australia,0.4771,2.9159,11
australia_vic_barwon-south-west-vic_2026-06-29,apac,australia,-0.2421,-1.2129,11
australia_vic_melbourne_2026-06-16,apac,australia,0.0158,0.0574,11
australia_vic_mornington-peninsula_2026-06-22,apac,australia,0.1582,0.9545,11
australia_wa_western-australia_2026-06-28,apac,australia,-0.0382,-0.2207,11
austria_vienna_vienna_2026-06-20,emea,austria,-0.2529,-0.5878,11
belgium_bru_brussels_2026-06-27,emea,belgium,0.4052,1.3442,11
belgium_vlg_antwerp_2026-06-29,emea,belgium,-0.4189,-0.8573,11
belgium_vlg_ghent_2026-06-29,emea,belgium,-0.4253,-2.4386,11
belize_bz_belize_2026-06-29,latam,belize,1.9023,6.4806,11
brazil_rj_rio-de-janeiro_2026-06-24,latam,brazil,-0.1111,-1.0387,11
brazil_sp_são-paulo_2026-06-14,latam,brazil,-0.5148,-3.1473,11
canada_bc_vancouver_2026-07-14,north_america,canada,0.8784,3.2558,11
canada_bc_victoria_2026-07-24,north_america,canada,0.1521,0.7974,11
canada_mb_winnipeg_2026-06-22,north_america,canada,0.8313,1.6436,10
canada_nb_new-brunswick_2026-06-30,north_america,canada,,,10
canada_on_ottawa_2026-06-24,north_america,canada,1.1389,4.1146,11
canada_on_toronto_2026-07-14,north_america,canada,0.4151,1.0959,11
canada_qc_montreal_2026-06-15,north_america,canada,-0.3076,-0.9452,11
canada_qc_quebec-city_2026-07-16,north_america,canada,1.0913,3.1155,11
chile_rm_santiago_2026-06-29,latam,chile,0.1658,0.6128,11
china_hk_hong-kong_2026-06-27,apac,china,-0.6713,-1.2725,11
colombia_dc_bogotá_2026-06-21,latam,colombia,-0.4114,-0.8806,11
czech-republic_prague_prague_2026-06-27,emea,czech-republic,0.4102,1.5688,11
denmark_hovedstaden_copenhagen_2026-06-30,emea,denmark,-0.4468,-1.7795,11
france_auvergne-rhone-alpes_lyon_2026-06-22,emea,france,-0.6835,-2.8506,11
france_ile-de-france_paris_2026-06-16,emea,france,0.3503,2.0265,11
france_nouvelle-aquitaine_bordeaux_2026-06-22,emea,france,0.0282,0.1408,11
france_pyrénées-atlantiques_pays-basque_2026-06-23,emea,france,0.1232,0.5204,11
germany_be_berlin_2026-06-26,emea,germany,-0.1557,-0.556,11
germany_bv_munich_2026-06-29,emea,germany,0.2918,0.9324,11
greece_attica_athens_2026-06-28,emea,greece,-0.4252,-0.8173,11
greece_central-macedonia_thessaloniki_2026-06-29,emea,greece,-0.2333,-0.5107,11
greece_crete_crete_2026-06-29,emea,greece,0.0811,0.8878,11
greece_south-aegean_south-aegean_2026-06-28,emea,greece,-0.0117,-0.0771,11
hungary_közép-magyarország_budapest_2026-07-21,emea,hungary,0.2241,0.884,11
ireland_2026-06-21,emea,ireland,0.3071,2.666,11
ireland_leinster_dublin_2026-06-21,emea,ireland,-0.0423,-0.1376,11
italy_campania_naples_2026-06-25,emea,italy,-0.4471,-1.0817,11
italy_emilia-romagna_bologna_2026-06-26,emea,italy,-0.1409,-0.3935,11
italy_lazio_rome_2026-06-20,emea,italy,0.1972,0.6423,11
italy_lombardia_bergamo_2026-06-30,emea,italy,-0.4813,-1.0787,11
italy_lombardy_milan_2026-06-25,emea,italy,-0.3412,-0.7688,11
italy_puglia_puglia_2026-06-30,emea,italy,0.1758,1.1422,11
italy_sicilia_sicily_2026-06-30,emea,italy,-0.1184,-0.6347,11
italy_toscana_florence_2026-06-26,emea,italy,0.2378,0.8642,11
italy_trentino-alto-adige-südtirol_trentino_2026-06-30,emea,italy,0.1411,0.7504,11
italy_veneto_venice_2026-06-15,emea,italy,0.0165,0.0633,11
kenya_nairobi_nairobi_2026-06-15,emea,kenya,0.077,0.3414,10
latvia_riga_riga_2026-06-30,emea,latvia,-1.1386,-1.6211,11
malta_2026-06-28,emea,malta,0.371,1.619,11
