city,segment,runs,mean,median,share_ge7,share_ge3,listings_active,listings_all
austin,Room|K,1378,5.16,3,0.222,0.639,6650,11295
austin,ALL,36510,4.71,3,0.166,0.743,6650,11295
austin,Entire|K,33437,4.74,3,0.166,0.754,6650,11295
austin,bed4+,10767,4.17,3,0.116,0.783,6650,11295
austin,acc7+,15151,4.23,3,0.123,0.769,6650,11295
austin,bed1,7677,5.19,4,0.206,0.739,6650,11295
austin,acc3-4,8113,5.15,4,0.205,0.732,6650,11295
austin,bed3,6605,4.75,3,0.165,0.747,6650,11295
austin,acc5-6,6731,4.97,4,0.186,0.746,6650,11295
austin,Room|noK,669,3.59,3,0.115,0.523,6650,11295
austin,Entire|noK,1026,4.19,3,0.128,0.658,6650,11295
austin,bed2,7959,4.88,4,0.185,0.728,6650,11295
austin,acc1-2,4468,5.22,4,0.205,0.735,6650,11295
austin,bed0,1455,5.25,4,0.201,0.728,6650,11295
chicago,Room|K,4563,5.57,4,0.231,0.781,5475,8660
chicago,ALL,44247,5.17,4,0.208,0.789,5475,8660
chicago,Entire|K,36605,5.21,4,0.212,0.807,5475,8660
chicago,bed1,7510,5.69,4,0.254,0.809,5475,8660
chicago,acc1-2,4862,5.56,4,0.242,0.802,5475,8660
chicago,bed2,12899,5.44,4,0.231,0.818,5475,8660
chicago,acc3-4,9871,5.55,4,0.239,0.809,5475,8660
chicago,Room|noK,2293,3.63,3,0.105,0.511,5475,8660
chicago,acc5-6,10429,5.35,4,0.223,0.814,5475,8660
chicago,bed4+,6193,4.61,3,0.161,0.802,5475,8660
chicago,acc7+,12229,4.69,4,0.169,0.802,5475,8660
chicago,bed3,9081,4.93,4,0.184,0.8,5475,8660
chicago,Entire|noK,786,5.73,4,0.234,0.835,5475,8660
chicago,bed0,1708,5.16,4,0.215,0.776,5475,8660
denver,Room|K,1288,4.9,3,0.203,0.634,2684,4939
denver,ALL,18129,5.54,4,0.236,0.781,2684,4939
denver,Entire|K,15259,5.71,4,0.246,0.807,2684,4939
denver,bed0,616,5.55,4,0.244,0.744,2684,4939
denver,acc1-2,3679,5.64,4,0.239,0.734,2684,4939
denver,Entire|noK,879,4.83,4,0.197,0.702,2684,4939
denver,bed1,5797,5.68,4,0.247,0.767,2684,4939
denver,bed2,4603,5.82,4,0.261,0.812,2684,4939
denver,acc3-4,5255,6.02,4,0.277,0.816,2684,4939
denver,bed3,2834,5.67,4,0.23,0.833,2684,4939
denver,acc5-6,3410,5.74,4,0.25,0.821,2684,4939
denver,acc7+,3794,5.13,4,0.193,0.828,2684,4939
denver,bed4+,2288,5.32,4,0.212,0.844,2684,4939
denver,Room|noK,703,4,3,0.122,0.583,2684,4939
nashville,Room|noK,1408,2.86,2,0.072,0.339,7357,10242
nashville,ALL,67853,4.01,3,0.117,0.737,7357,10242
nashville,Entire|K,63728,4.04,3,0.118,0.752,7357,10242
nashville,bed2,14356,4.17,3,0.129,0.736,7357,10242
nashville,acc1-2,3712,4.16,3,0.14,0.649,7357,10242
nashville,bed1,14159,4.31,3,0.151,0.705,7357,10242
