dependent,spec,n,r2,adj_r2,const,b_beat_vs_mid_pct,t_beat_vs_mid_pct,p_beat_vs_mid_pct,b_guide_accel_pts,t_guide_accel_pts,p_guide_accel_pts,b_margin_yoy_pts,t_margin_yoy_pts,p_margin_yoy_pts,b_nights_yoy_pct,t_nights_yoy_pct,p_nights_yoy_pct
excess_1d_pct,beat_only,18,0.0404,-0.0196,-4.5094,1.4597,0.8833,0.3771,,,,,,,,,
excess_1d_pct,guide_only,18,0.0081,-0.0538,-0.5799,,,,0.1014,0.7836,0.4333,,,,,,
excess_1d_pct,beat_guide,18,0.0525,-0.0738,-4.0169,1.5369,0.9294,0.3527,0.1243,1.0107,0.3122,,,,,,
excess_1d_pct,beat_guide_margin,18,0.0656,-0.1346,-2.8574,1.1176,0.488,0.6256,0.3036,0.5883,0.5563,0.2693,0.4043,0.686,,,
excess_1d_pct,beat_guide_nights,18,0.0696,-0.1298,-4.4241,1.1402,0.6027,0.5467,0.2295,1.1117,0.2663,,,,0.1235,0.8738,0.3822
excess_5d_pct,beat_only,18,0.0085,-0.0535,-1.3657,-0.7462,-0.3842,0.7008,,,,,,,,,
excess_5d_pct,guide_only,18,0.0515,-0.0078,-1.5563,,,,0.2848,1.051,0.2933,,,,,,
excess_5d_pct,beat_guide,18,0.0565,-0.0693,-0.2714,-0.5746,-0.3064,0.7593,0.2762,1.0745,0.2826,,,,,,
excess_5d_pct,beat_guide_margin,18,0.0569,-0.1451,-0.515,-0.4865,-0.2111,0.8328,0.2386,0.4575,0.6473,-0.0566,-0.0899,0.9283,,,
excess_5d_pct,beat_guide_nights,18,0.0833,-0.1131,0.2983,-0.0196,-0.009,0.9928,0.129,0.4584,0.6467,,,,-0.1727,-1.1586,0.2466
