grid,scenario,ev_ebitda_x,price,rev_growth_pct,margin_pct
ev_ebitda_x_scenario,Bear,16.0,158.44,,
ev_ebitda_x_scenario,Bear,18.0,175.63,,
ev_ebitda_x_scenario,Bear,20.0,192.82,,
ev_ebitda_x_scenario,Bear,22.0,210.01,,
ev_ebitda_x_scenario,Bear,24.0,227.2,,
ev_ebitda_x_scenario,Bear,25.5,240.1,,
ev_ebitda_x_scenario,Bear,28.0,261.58,,
ev_ebitda_x_scenario,Base,16.0,186.18,,
ev_ebitda_x_scenario,Base,18.0,206.73,,
ev_ebitda_x_scenario,Base,20.0,227.28,,
ev_ebitda_x_scenario,Base,22.0,247.82,,
ev_ebitda_x_scenario,Base,24.0,268.37,,
ev_ebitda_x_scenario,Base,25.5,283.78,,
ev_ebitda_x_scenario,Base,28.0,309.47,,
ev_ebitda_x_scenario,Bull,16.0,212.72,,
ev_ebitda_x_scenario,Bull,18.0,236.33,,
ev_ebitda_x_scenario,Bull,20.0,259.95,,
ev_ebitda_x_scenario,Bull,22.0,283.56,,
ev_ebitda_x_scenario,Bull,24.0,307.18,,
ev_ebitda_x_scenario,Bull,25.5,324.89,,
ev_ebitda_x_scenario,Bull,28.0,354.41,,
fy27_growth_x_margin_base_multiple,Base,,211.1,4.0,33.0
fy27_growth_x_margin_base_multiple,Base,,222.57,4.0,35.0
fy27_growth_x_margin_base_multiple,Base,,231.18,4.0,36.5
fy27_growth_x_margin_base_multiple,Base,,239.78,4.0,38.0
fy27_growth_x_margin_base_multiple,Base,,251.25,4.0,40.0
fy27_growth_x_margin_base_multiple,Base,,218.38,8.0,33.0
fy27_growth_x_margin_base_multiple,Base,,230.29,8.0,35.0
fy27_growth_x_margin_base_multiple,Base,,239.23,8.0,36.5
fy27_growth_x_margin_base_multiple,Base,,248.16,8.0,38.0
fy27_growth_x_margin_base_multiple,Base,,260.08,8.0,40.0
fy27_growth_x_margin_base_multiple,Base,,222.02,10.0,33.0
fy27_growth_x_margin_base_multiple,Base,,234.15,10.0,35.0
fy27_growth_x_margin_base_multiple,Base,,243.26,10.0,36.5
fy27_growth_x_margin_base_multiple,Base,,252.36,10.0,38.0
fy27_growth_x_margin_base_multiple,Base,,264.49,10.0,40.0
fy27_growth_x_margin_base_multiple,Base,,225.66,12.0,33.0
fy27_growth_x_margin_base_multiple,Base,,238.02,12.0,35.0
fy27_growth_x_margin_base_multiple,Base,,247.28,12.0,36.5
fy27_growth_x_margin_base_multiple,Base,,256.55,12.0,38.0
fy27_growth_x_margin_base_multiple,Base,,268.9,12.0,40.0
fy27_growth_x_margin_base_multiple,Base,,229.3,14.0,33.0
fy27_growth_x_margin_base_multiple,Base,,241.88,14.0,35.0
fy27_growth_x_margin_base_multiple,Base,,251.31,14.0,36.5
fy27_growth_x_margin_base_multiple,Base,,260.74,14.0,38.0
fy27_growth_x_margin_base_multiple,Base,,273.32,14.0,40.0
fy27_growth_x_margin_base_multiple,Base,,232.94,16.0,33.0
fy27_growth_x_margin_base_multiple,Base,,245.74,16.0,35.0
fy27_growth_x_margin_base_multiple,Base,,255.33,16.0,36.5
fy27_growth_x_margin_base_multiple,Base,,264.93,16.0,38.0
fy27_growth_x_margin_base_multiple,Base,,277.73,16.0,40.0
