quarter,adr_usd,take_rate_pct,source
2021Q1,159.82,8.6,research/airbnb_earnings_call_study.md (Krishang; from Airbnb shareholder letters)
2021Q2,161.45,10.0,research/airbnb_earnings_call_study.md (Krishang; from Airbnb shareholder letters)
2021Q3,149.15,18.8,research/airbnb_earnings_call_study.md (Krishang; from Airbnb shareholder letters)
2021Q4,153.61,13.6,research/airbnb_earnings_call_study.md (Krishang; from Airbnb shareholder letters)
2022Q1,168.07,8.8,research/airbnb_earnings_call_study.md (Krishang; from Airbnb shareholder letters)
2022Q2,163.74,12.4,research/airbnb_earnings_call_study.md (Krishang; from Airbnb shareholder letters)
2022Q3,156.44,18.5,research/airbnb_earnings_call_study.md (Krishang; from Airbnb shareholder letters)
2022Q4,152.81,14.1,research/airbnb_earnings_call_study.md (Krishang; from Airbnb shareholder letters)
2023Q1,168.43,8.9,research/airbnb_earnings_call_study.md (Krishang; from Airbnb shareholder letters)
2023Q2,166.01,13.0,research/airbnb_earnings_call_study.md (Krishang; from Airbnb shareholder letters)
2023Q3,161.38,18.6,research/airbnb_earnings_call_study.md (Krishang; from Airbnb shareholder letters)
2023Q4,156.73,14.3,research/airbnb_earnings_call_study.md (Krishang; from Airbnb shareholder letters)
2024Q1,172.88,9.4,research/airbnb_earnings_call_study.md (Krishang; from Airbnb shareholder letters)
2024Q2,169.53,13.0,research/airbnb_earnings_call_study.md (Krishang; from Airbnb shareholder letters)
2024Q3,163.64,18.6,research/airbnb_earnings_call_study.md (Krishang; from Airbnb shareholder letters)
2024Q4,158.13,14.1,research/airbnb_earnings_call_study.md (Krishang; from Airbnb shareholder letters)
2025Q1,171.34,9.3,research/airbnb_earnings_call_study.md (Krishang; from Airbnb shareholder letters)
2025Q2,174.48,13.2,research/airbnb_earnings_call_study.md (Krishang; from Airbnb shareholder letters)
2025Q3,171.29,17.9,research/airbnb_earnings_call_study.md (Krishang; from Airbnb shareholder letters)
2025Q4,167.51,13.6,research/airbnb_earnings_call_study.md (Krishang; from Airbnb shareholder letters)
2026Q1,186.82,9.2,research/airbnb_earnings_call_study.md (Krishang; from Airbnb shareholder letters)
2026Q2,183.73,13.3,research/airbnb_earnings_call_study.md (Krishang; from Airbnb shareholder letters)
