snapshot_date,council_district,str_type,active_licenses
2025-03-13,1,Type 1,114
2025-03-13,1,Type 1-A,18
2025-03-13,1,Type 1-Secondary,28
2025-03-13,1,Type 2 Commercial,13
2025-03-13,1,Type 2 Residential,89
2025-03-13,1,Type 3,9
2025-03-13,2,Type 1,47
2025-03-13,2,Type 1-A,3
2025-03-13,2,Type 1-Secondary,2
2025-03-13,2,Type 2 Commercial,1
2025-03-13,2,Type 2 Residential,44
2025-03-13,3,Type 1,172
2025-03-13,3,Type 1-A,17
2025-03-13,3,Type 1-Secondary,33
2025-03-13,3,Type 2 Commercial,3
2025-03-13,3,Type 2 Residential,145
2025-03-13,3,Type 3,95
2025-03-13,4,Type 1,43
2025-03-13,4,Type 1-A,7
2025-03-13,4,Type 1-Secondary,11
2025-03-13,4,Type 2 Commercial,1
2025-03-13,4,Type 2 Residential,43
2025-03-13,4,Type 3,16
2025-03-13,5,Type 1,119
2025-03-13,5,Type 1-A,13
2025-03-13,5,Type 1-Secondary,23
2025-03-13,5,Type 2 Commercial,4
2025-03-13,5,Type 2 Residential,80
2025-03-13,5,Type 3,35
2025-03-13,6,Type 1,3
2025-03-13,6,Type 1-A,2
2025-03-13,6,Type 1-Secondary,1
2025-03-13,6,Type 2 Residential,7
2025-03-13,7,Type 1,47
2025-03-13,7,Type 1-A,4
2025-03-13,7,Type 1-Secondary,15
2025-03-13,7,Type 2 Residential,31
2025-03-13,7,Type 3,17
2025-03-13,8,Type 1,36
2025-03-13,8,Type 1-A,4
2025-03-13,8,Type 1-Secondary,6
2025-03-13,8,Type 2 Commercial,1
2025-03-13,8,Type 2 Residential,22
2025-03-13,8,Type 3,29
2025-03-13,9,Type 1,156
2025-03-13,9,Type 1-A,28
2025-03-13,9,Type 1-Secondary,78
2025-03-13,9,Type 2 Commercial,11
2025-03-13,9,Type 2 Residential,112
2025-03-13,9,Type 3,260
2025-03-13,10,Type 1,93
2025-03-13,10,Type 1-A,8
2025-03-13,10,Type 1-Secondary,15
2025-03-13,10,Type 2 Commercial,3
2025-03-13,10,Type 2 Residential,42
2025-03-13,10,Type 3,9
2026-09-05,1,Type 1,127
2026-09-05,1,Type 1-A,17
2026-09-05,1,Type 1-Secondary,19
2026-09-05,1,Type 2 Commercial,8
2026-09-05,1,Type 2 Residential,204
2026-09-05,1,Type 3,35
2026-09-05,2,Type 1,54
2026-09-05,2,Type 1-A,8
2026-09-05,2,Type 1-Secondary,6
2026-09-05,2,Type 2 Commercial,2
2026-09-05,2,Type 2 Residential,86
2026-09-05,2,Type 3,20
2026-09-05,3,Type 1,174
2026-09-05,3,Type 1-A,10
2026-09-05,3,Type 1-Secondary,42
2026-09-05,3,Type 2 Commercial,6
2026-09-05,3,Type 2 Residential,280
2026-09-05,3,Type 3,196
2026-09-05,4,Type 1,33
2026-09-05,4,Type 1-A,6
2026-09-05,4,Type 1-Secondary,15
2026-09-05,4,Type 2 Residential,65
2026-09-05,4,Type 3,25
2026-09-05,5,Type 1,100
2026-09-05,5,Type 1-A,14
2026-09-05,5,Type 1-Secondary,24
2026-09-05,5,Type 2 Commercial,2
2026-09-05,5,Type 2 Residential,127
2026-09-05,5,Type 3,40
2026-09-05,6,Type 1,6
2026-09-05,6,Type 1-Secondary,1
2026-09-05,6,Type 2 Commercial,1
2026-09-05,6,Type 2 Residential,19
2026-09-05,6,Type 3,6
2026-09-05,7,Type 1,42
2026-09-05,7,Type 1-A,4
2026-09-05,7,Type 1-Secondary,14
2026-09-05,7,Type 2 Commercial,1
2026-09-05,7,Type 2 Residential,56
2026-09-05,7,Type 3,40
2026-09-05,8,Type 1,26
2026-09-05,8,Type 1-A,2
2026-09-05,8,Type 1-Secondary,3
2026-09-05,8,Type 2 Commercial,1
2026-09-05,8,Type 2 Residential,27
2026-09-05,8,Type 3,22
2026-09-05,9,Type 1,135
2026-09-05,9,Type 1-A,26
2026-09-05,9,Type 1-Secondary,61
2026-09-05,9,Type 2 Commercial,3
2026-09-05,9,Type 2 Residential,158
2026-09-05,9,Type 3,344
2026-09-05,10,Type 1,73
2026-09-05,10,Type 1-A,9
2026-09-05,10,Type 1-Secondary,8
2026-09-05,10,Type 2 Residential,75
2026-09-05,10,Type 3,12
