window,pairs,median_days,median_reviews_a,mean_reviews_per_year,median_reviews_per_year,share_no_new_reviews,superhost_a,superhost_b,guest_fav_b
2021->2021,250,273.0,21.0,18.440923076923077,9.35897435897436,0.188,0.528,0.536,
2021->2022,249,427.0,21.0,21.091660093943545,11.502100840336134,0.1285140562248996,0.5542168674698795,0.5180722891566265,
2021->2023,158,707.0,42.0,26.554231010819915,19.2074881086662,0.0759493670886076,0.6329113924050633,0.5759493670886076,
2021->2024,97,1102.0,55.0,23.158439594020194,16.34328358208955,0.041237113402061855,0.6701030927835051,0.6082474226804123,
2021->2025,73,1508.0,39.0,26.819830031494575,21.632771644392793,0.0273972602739726,0.6986301369863014,0.684931506849315,0.7758620689655172
2021->2026,47,1786.0,48.0,24.66815387263103,13.149563318777293,0.02127659574468085,0.723404255319149,0.723404255319149,0.5319148936170213
2022->2022,1,308.0,7.0,3.5551948051948052,3.5551948051948052,0.0,0.0,0.0,
2022->2023,87,446.0,37.0,19.38629443735128,14.468468468468467,0.04597701149425287,0.5862068965517241,0.5862068965517241,
2022->2024,70,670.0,22.5,16.594830492725528,12.373003636938645,0.05714285714285714,0.6,0.5571428571428572,
2022->2025,33,1120.0,17.0,14.55404585059931,8.156424581005586,0.030303030303030304,0.5454545454545454,0.6060606060606061,0.6538461538461539
2022->2026,33,1350.0,41.0,23.775827171234337,22.848652931854197,0.030303030303030304,0.7272727272727273,0.6060606060606061,0.6666666666666666
2023->2023,4,299.5,1.5,2.416456694678162,1.8312686525142183,0.25,0.0,0.0,
2023->2024,80,391.5,30.0,15.612445579122445,9.356564412598896,0.0875,0.5,0.5125,
2023->2025,39,680.0,33.0,15.103772604081433,13.6875,0.02564102564102564,0.5384615384615384,0.6153846153846154,0.84
2023->2026,19,1059.0,20.0,20.14796863969206,9.995278564683664,0.0,0.7368421052631579,0.7368421052631579,0.631578947368421
2024->2025,94,372.5,30.0,16.66755697616474,11.700553967453244,0.11702127659574468,0.5957446808510638,0.5869565217391305,0.6
2024->2026,65,543.0,31.0,20.341982638104106,11.648936170212766,0.07692307692307693,0.5846153846153846,0.49230769230769234,0.47692307692307695
2025->2025,7,302.0,16.0,14.568105793699521,2.4172185430463577,0.2857142857142857,0.5714285714285714,0.42857142857142855,0.2857142857142857
2025->2026,81,389.0,28.0,19.212022153561445,10.579710144927537,0.06172839506172839,0.5061728395061729,0.6419753086419753,0.5061728395061729
