id,factor,event,p27,p30,scale30,group,cash,gates,base_rate,anchor,loss_low,loss_mode,loss_high,expected_loss_pct_2027,p_in_force_2027,expected_loss_pct_2030,p_in_force_2030
EU-AHA,REG-25,"EU Affordable Housing Act adopted with a framework letting cities cap or restrict commercial multi-property STRs in housing-stress areas, and at least three large member states enforce under it",0.12,0.45,1.0,EU,0,proposal presented 9 Sep 2026 (0.90) x adopted by end-2027 (0.40) x enabling caps (0.70) x enforcement by 3+ states by 2027 (0.45) -> 0.11; by 2030: 0.90 x 0.75 x 0.70 x 0.95,"EU ordinary legislative procedure median about 18 months from proposal to adoption; STR data regulation took 17 months (Nov 2022 to Apr 2024); housing is a shared competence so the act is framed as enabling, not a ban","Skift 4 Sep 2026: 'not designed as a complete ban'; excludes primary residences (The Local, 5 Sep 2026)",0.4,1.2,3.0,0.1842,0.1204,0.6917,0.4501
EU-TAIL,REG-25,"Tail: the act is adopted with binding quantitative caps and enforced quickly across France, Spain, Italy, Portugal and the Netherlands (adds to EU-AHA)",0.02,0.08,1.0,EU,0,conditional on EU-AHA branch; requires Council appetite for caps against member-state competence objections,no EU precedent for a binding sector cap on private lettings; fat-tailed by construction,none,2.0,3.5,6.0,0.0765,0.0201,0.3057,0.0797
ES-FINE,REG-02,Spain's EUR64m consumer fine is upheld on the merits and paid (one-off cash; excluded from run-rate loss),0.55,0.7,1.0,EU,76,Madrid High Court denied the stay (23 Mar 2026); EUR70m surety bond posted May 2026; merits appeal pending; possible CJEU reference on platform liability (Airbnb Ireland C-390/18 precedent favours platforms),platform-liability fines in the EU are more often reduced or annulled than paid in full at first instance; Spain's consumer authority has a mixed record on appeal,Airbnb 10-Q: loss 'neither probable nor estimable',0.0,0.0,0.0,0.0,0.5496,0.0,0.701
ES-REMOVE,REG-02/03/18/21,"A further Spanish mass removal order or platform-verified registry takes at least 25,000 more Airbnb ads offline (beyond the July 2025 cohort) with enforcement in force",0.35,0.55,1.2,EU,0,needs replacement legislation after the Supreme Court annulled RD1312/2024's single registry (May 2026); EU data-sharing regulation applies since May 2026 and lowers the cost of a redesigned registry,"Spain has run three enforcement waves in 24 months (removal order May 2025, fine Dec 2025, registry Jul 2025); INE tourist dwellings -10.7% y/y May 2026",Spain about 6% of global revenue (20% of EU platform nights x ~30% EU share of revenue),0.1,0.2,0.45,0.0871,0.3493,0.1649,0.5498
ES-REGIONS,REG-13/16/21,"Regional implementations (Canary Islands Law 6/2025, Balearics enforcement, Malaga moratorium, Andalusia) remove or freeze a measurable share of Spanish supply",0.45,0.65,1.3,EU,0,Canary law enacted Dec 2025 with phased municipal implementation; Malaga moratorium to Aug 2028,Ibiza supply almost halved in 2025 (Exceltur via Reuters); Canaries -4.6% y/y,none,0.05,0.15,0.35,0.0825,0.4502,0.1548,0.6496
BCN-2028,REG-22,"Barcelona lets at least 70% of its 10,101 tourist-apartment licences lapse in Nov 2028 and enforces removal",0.0,0.45,1.0,EU,0,Constitutional Court upheld the Catalan decree (Mar 2025); 2027 Barcelona municipal election (May 2027) could change the council; Catalan decree allows 5-year renewals at municipal discretion,announced phase-outs of legal STR stock at city scale: NYC enforced as planned; Amsterdam/Paris tightened as planned; Portugal national reversed. Roughly half of announced European STR phase-outs survive in substantially original form 4+ years later,"phase-2 matched cohort: 5,146 licence ids, $23.9m net loss = 0.20% of FY25 revenue",0.15,0.22,0.35,0.0,0.0,0.108,0.45
BCN-PARTIAL,REG-22,Barcelona phase-out proceeds only partially (30% to 70% of licences) or with a grandfathering period past 2029,0.0,0.55,1.0,EU,0,drawn only where BCN-2028 did not occur: 0.55 x (1 - 0.45) = 0.30 effective; the remaining 25% is blocked or delayed past 2030,as above,as above,0.05,0.1,0.18,0.0,0.0,0.0254,0.2305
MAUI,REG-23,Maui Bill 9 phase-out proceeds on schedule (West Maui Jan 2029) with fewer than half of the Minatoya units exempted by hotel rezoning,0.0,0.4,1.0,US,0,"lawsuits filed Dec 2025 (Kaanapali Royal owners), no injunction as of mid-2026; Planning Commission recommended against hotel rezoning (Feb 2026) so rezoning needs a 2/3 council supermajority; 2031 phase for the rest of the county falls outside the 2030 horizon",US county-level STR phase-outs challenged in court: most survive but with delays (Honolulu 2022 ordinance partly enjoined then upheld),"phase-2 matched cohort: 3,862 units, $18.0m = 0.15% post-2031; West Maui portion about 35%",0.04,0.07,0.12,0.0,0.0,0.0306,0.3995
PARIS-PRO,REG-26/08,"Paris enacts a quota or ban on non-primary-residence (professional) tourist furnished rentals under the Nov 2024 Le Meur law powers, in force by the horizon",0.3,0.55,1.2,EU,0,Le Meur law (Nov 2024) gives municipalities quota powers; Constitutional Council validated co-ownership bans (19 Mar 2026); Council of State upheld Paris' commercial-space authorisation rule (15 Jul 2026); Paris municipal election March 2026 outcome decides appetite,"Paris has tightened every 2 years since 2017 (registration 2017, 120-day enforcement 2019, 90 days 2025); each step was implemented",Paris about 1.0% of global GBV (supply panel); multi-listing hosts 36% of Paris listings,0.1,0.2,0.35,0.0649,0.2994,0.1429,0.5496
PARIS-COPRO,REG-08,"Co-ownership bans and the 90-night cap keep eroding Paris occasional-host supply (attrition already legal, in force)",0.9,0.95,1.5,EU,0,law in force,Inside Airbnb Paris listings -4% to -14% y/y in 2025 to 2026 while reviews flat,supply panel,0.01,0.03,0.06,0.0301,0.9012,0.0476,0.9502
GR-FREEZE,REG-04/05/20,Greece extends the Athens and Thessaloniki registration freezes into 2027 and adds at least one more area; transfer rule erodes incumbent supply,0.7,0.8,1.8,EU,0,joint ministerial decision needed before 31 Dec 2026; none published as of mid-Aug 2026; law permits extension,"the 2025 freeze was extended once already (to 2026) and expanded (Thessaloniki, Jul 2026)","Greece 5.5% of EU platform nights, growing 15%",0.02,0.05,0.12,0.0444,0.7004,0.0911,0.7993
IE-REG,REG-24,Ireland's register launches (Dec 2026) and planning-compliance enforcement removes more than 20% of Irish listings within 12 months,0.35,0.55,1.0,EU,0,"launch 1 Dec 2026 (0.80, already delayed once from May 2026) x enforcement removes >20% (0.45)",registration schemes with planning declarations (Scotland 2023) removed 10% to 20% of supply in year one,Ireland about 0.4% of global revenue,0.04,0.07,0.15,0.0305,0.3517,0.0476,0.5499
UK-ENG,REG-27,"England's registration scheme goes live and councils use it to remove or cap supply in at least two large tourist areas (London, Cornwall, Lake District type)",0.2,0.45,1.3,EU,0,"scheme not live as of Jul 2026 after three slipped dates (2024, Apr 2026, 'later 2026'); C5 planning use class needed for caps",UK government digital-registration launches slip a median of 12+ months,London about 0.8% of global GBV,0.03,0.08,0.2,0.0207,0.2006,0.0607,0.4514
IT-NAT,REG-14,"Italy adds national or art-city restrictions beyond CIN and the 3-property business threshold (night caps or zone bans in Rome, Venice, Milan), or Florence's transition ends with removals in May 2028",0.3,0.6,1.4,EU,0,Florence expansion enacted Jun 2026; transition ends May 2028; national 2026 budget law raised the business threshold,"Italy has added one national STR measure per year since 2023 (cedolare 26%, CIN, business threshold)",Italy 14.6% of EU platform nights; Rome 0.6% of global GBV,0.05,0.12,0.3,0.047,0.3002,0.1316,0.6006
PT-RETIGHT,REG-06/07/28,Portugal re-tightens nationally or Lisbon containment converts to removals of existing AL,0.2,0.35,1.2,EU,0,national policy reversed toward liberalisation (Oct 2024); referendum blocked by Constitutional Court; Lisbon containment in force Dec 2025,one reversal already; Portugal platform nights +4.9% y/y Q1 2026 (slowest large market),Portugal 5.2% of EU platform nights,0.04,0.08,0.18,0.0201,0.2016,0.0421,0.3501
NL-AMS,REG-09,Amsterdam extends the 15-night cap citywide or the Netherlands adopts a national cap,0.3,0.5,1.2,EU,0,eight districts since Apr 2026; council evaluation due 2027,"Amsterdam tightened in 2019 (30 nights), 2021 (permits), 2026 (15 nights)",Netherlands 1.3% of EU platform nights,0.01,0.03,0.06,0.01,0.3009,0.02,0.4997
US-CITY,REG-01 analogue,"At least one more top-10 US Airbnb market (Los Angeles, Chicago, San Diego, Boston, Washington DC, Honolulu) enacts NYC-style platform-verified registration that removes more than 30% of its listings",0.3,0.55,1.3,US,0,Chicago suit (Jun 2026) seeks injunction; Houston platform enforcement Apr 2026; California SB 346 (Jan 2026) mandates platform data sharing; DC legislation announced,"since 2019, one large US city per ~2 years has adopted platform-verified registration (NYC 2023, Houston 2026); Clark County NV rules partly enjoined","LA 0.8%, Chicago 0.2%, San Diego 0.4% of global GBV",0.08,0.18,0.4,0.0661,0.3007,0.1573,0.5505
NYC-LOOSEN,REG-01,"NYC materially loosens Local Law 18 for owner-occupied one- and two-family homes (Int 879-2026 or successor enacted), a revenue gain",0.2,0.35,1.0,US,0,"Int 879 introduced 30 Apr 2026, six sponsors, no committee hearing as of 31 Aug 2026; 51-member council; mayoral position unknown","NYC has not loosened LL18 in three years despite 2024 lobbying; registered hosts 3,500+ (Sep 2026)",NYC 0.35% of GBV today vs about 1% of revenue before LL18,-0.25,-0.12,-0.05,-0.028,0.1999,-0.049,0.35
CHI-SUIT,US litigation,Chicago's suit against Airbnb ends in a judgment or settlement with an injunction changing platform practice or a fine above $10m,0.4,0.6,1.0,US,20,filed 23 Jun 2026 in Cook County; motion practice through 2027,"city-versus-platform enforcement suits mostly settle with compliance terms within 2 years (SF 2017, Boston 2019, NYC data-sharing 2020)",Chicago 0.2% of GBV,0.01,0.03,0.08,0.016,0.4014,0.024,0.5994
COMPLIANCE,REG-17 and all,"Recurring compliance, legal and mitigation spending rises (EU data-sharing, registries, Spain rural commitment $50m over 3 years); modelled as an EBITDA cost equal to this % of revenue",0.9,0.95,1.2,EU,0,EU data-sharing regulation applies since 20 May 2026,Airbnb's 10-K legal and regulatory expense is not broken out; $50m Spain commitment is the one disclosed mitigation cost,none,0.05,0.12,0.25,0.1261,0.9003,0.1596,0.9499
