print_quarter,quarter,print_date,ret_1d,exc_1d,ret_5d,exc_5d,rev_surprise,nights_surprise,gbv_surprise,ebitda_surprise,adr_surprise,eps_surprise_usd,eps_surprise_pct,guide_vs_street,rev_beat,nights_beat,gbv_beat,ebitda_beat,eps_beat,guide_below_street,rev_growth,nights_growth,gbv_growth,adr_growth,ebitda_growth,margin_change_pts,take_rate_change_pts,nights_accel_pts,rev_accel_pts,eps_growth
2020Q4,4Q20,2021-02-25,13.3,12.9,-1.0,1.8,16.128,,,84.187,,-2.84,-33.81,,1.0,,,1.0,0.0,,,,,,,,,,,
2021Q1,1Q21,2021-05-13,4.0,1.8,0.3,-2.6,24.16,3.04,30.877,,,-0.8799999999999999,-82.243,,1.0,1.0,1.0,,0.0,,5.0,,,,,,,,,
2021Q2,2Q21,2021-08-12,1.1,0.7,-5.6,-4.7,5.952,4.924,15.917,,,0.3,73.171,,1.0,1.0,1.0,,1.0,,299.0,,,,,,,,294.0,
2021Q3,3Q21,2021-11-04,13.0,12.9,7.4,9.3,9.122,-1.361,-3.331,,,,,,1.0,0.0,0.0,,,,67.0,28.96,48.21,14.8,119.76047904191618,11.900000000000006,2.080000000000002,,-232.0,
2021Q4,4Q21,2022-02-15,3.6,3.7,-16.7,-9.2,4.932,-2.081,1.986,,,0.05,166.667,16.532,1.0,0.0,1.0,,1.0,0.0,78.0,58.53,91.34,20.43,,24.099999999999998,-0.9900000000000002,29.57,11.0,
2022Q1,1Q22,2022-05-03,7.7,4.3,-19.9,-14.2,4.069,1.219,3.99,,,0.26,89.655,6.122,1.0,1.0,1.0,,1.0,0.0,70.0,58.54,66.99,5.16,,21.9,0.16000000000000014,0.00999999999999801,-8.0,
2022Q2,2Q22,2022-08-02,-1.1,-3.9,-1.6,-2.5,-0.284,-2.538,,,,0.13000000000000006,30.233,2.166,0.0,0.0,,,1.0,0.0,58.0,24.79,26.87,1.42,227.64976958525347,17.499999999999996,2.42,-33.75,-12.0,
2022Q3,3Q22,2022-11-01,-13.4,-10.0,-9.3,-7.3,3.0,,,,,0.3671,25.799,-0.541,1.0,,,,1.0,1.0,29.0,25.09,31.09,4.89,32.33424159854677,1.2999999999999972,-0.3100000000000023,0.3000000000000007,-29.0,
2022Q4,4Q22,2023-02-14,13.4,12.6,5.2,9.3,2.258,-1.672,,17.13,,0.22999999999999998,92.0,5.621,1.0,0.0,,1.0,1.0,0.0,24.0,20.16,19.47,-0.52,51.95195195195195,4.900000000000002,0.5299999999999994,-4.93,-5.0,500.0
2023Q1,1Q23,2023-05-09,-10.9,-12.0,-17.0,-18.8,1.564,,,,,0.09,100.0,-0.826,1.0,,,,1.0,1.0,20.0,18.61,18.6,0.21,14.41048034934498,-0.7999999999999989,0.14000000000000057,-1.5500000000000007,-4.0,
2023Q2,2Q23,2023-08-03,-0.5,-0.0,-3.5,-2.1,2.645,-2.126,0.579,,,0.19999999999999996,25.641,4.037,1.0,0.0,1.0,,1.0,0.0,18.0,10.99,12.35,1.39,15.189873417721511,-0.7999999999999972,0.629999999999999,-7.619999999999999,-2.0,74.99999999999997
2023Q3,3Q23,2023-11-01,-3.3,-5.1,-1.5,-6.0,0.801,0.266,,,,,,-1.376,1.0,0.0,,,,1.0,18.0,13.54,17.31,3.16,25.87508579272477,3.5,0.07000000000000028,2.549999999999999,0.0,
2023Q4,4Q23,2024-02-13,-1.7,-2.8,-1.0,-0.4,2.212,0.816,,14.419,,,,0.985,1.0,0.0,,1.0,,0.0,17.0,12.02,14.81,2.57,45.8498023715415,6.699999999999996,0.22000000000000064,-1.5199999999999996,-1.0,
2024Q1,1Q24,2024-05-08,-6.9,-7.1,-7.7,-10.6,3.981,0.379,,30.061,,0.16999999999999998,70.833,-1.095,1.0,0.0,,1.0,1.0,1.0,18.0,9.5,12.25,2.64,61.832061068702295,5.4,0.4399999999999995,-2.5199999999999996,1.0,127.77777777777777
2024Q2,2Q24,2024-08-06,-13.4,-12.3,-10.4,-15.6,0.292,,,,,-0.06000000000000005,-6.522,-3.646,0.0,,,,0.0,1.0,11.0,8.69,10.99,2.12,9.157509157509146,-0.5,-0.049999999999998934,-0.8100000000000005,-7.0,-12.244897959183676
2024Q3,3Q24,2024-11-07,-8.7,-8.8,-8.7,-7.7,0.323,1.153,1.005,5.269,,-0.010000000000000231,-0.467,-0.207,0.0,1.0,1.0,1.0,0.0,1.0,10.0,8.48,9.84,1.4,6.7611777535441675,-1.5,0.010000000000001563,-0.20999999999999908,-1.0,
2024Q4,4Q24,2025-02-13,14.4,14.0,3.6,5.4,2.479,2.116,2.326,17.062,,0.15000000000000002,25.862,-2.174,1.0,1.0,1.0,1.0,1.0,1.0,12.0,12.35,13.55,0.89,3.658536585365857,-2.4999999999999964,-0.22000000000000064,3.869999999999999,2.0,
2025Q1,1Q25,2025-05-01,1.0,-0.5,1.9,0.5,0.531,-0.209,,,0.38636458155991704,0.0,0.0,-0.658,1.0,0.0,,,0.0,1.0,6.0,7.92,6.99,-0.89,-1.650943396226412,-1.4000000000000021,-0.08000000000000007,-4.43,-6.0,-41.463414634146346
2025Q2,2Q25,2025-08-06,-8.0,-8.4,-4.6,-6.9,1.842,0.787,3.707,,,0.09999999999999998,10.753,0.247,1.0,0.0,1.0,,1.0,0.0,13.0,7.43,10.85,2.92,16.666666666666675,1.2000000000000028,0.20999999999999908,-0.4900000000000002,7.0,19.76744186046513
