window,guest_arrivals_mm,bookings_mm,guests_per_booking,years
2018-08-26 -> 2019-03-27,100,43.0,2.33,0.6
2018-08-26 -> 2020-09-30,425,144.0,2.95,2.1
2018-08-26 -> 2021-10-15,600,213.5,2.81,3.1
2018-08-26 -> 2024-10-15,1600,541.4,2.96,6.1
2018-08-26 -> 2025-12-31,2100,712.3,2.95,7.4
2019-03-27 -> 2020-09-30,325,101.0,3.22,1.5
2019-03-27 -> 2021-10-15,500,170.5,2.93,2.6
2019-03-27 -> 2024-10-15,1500,498.4,3.01,5.6
2019-03-27 -> 2025-12-31,2000,669.4,2.99,6.8
2020-09-30 -> 2021-10-15,175,69.5,2.52,1.0
2020-09-30 -> 2024-10-15,1175,397.4,2.96,4.0
2020-09-30 -> 2025-12-31,1675,568.4,2.95,5.3
2021-10-15 -> 2024-10-15,1000,327.9,3.05,3.0
2021-10-15 -> 2025-12-31,1500,498.9,3.01,4.2
2024-10-15 -> 2025-12-31,500,170.9,2.92,1.2
