date,period,metric,value,unit,scope,source,url,quote_or_note
2018-08-26,2018,Cumulative guest arrivals,400,million,Airbnb global,Airbnb Newsroom,https://news.airbnb.com/airbnb-surpasses-400-million-guest-arrival-milestone/,"Guest arrivals = every person checking in; 3.5M in-house guests on 11 Aug 2018"
2019-03-27,2019,Cumulative guest arrivals,500,million,Airbnb global,Airbnb Newsroom,https://news.airbnb.com/airbnb-celebrates-half-a-billion-guest-arrivals/,"'three guests check in every half-second'"
2020-11-16,3Q20,Cumulative guest arrivals,825,million,Airbnb global,Airbnb S-1,https://www.sec.gov/Archives/edgar/data/1559720/000119312520294801/d81668ds1.htm,"'over 825 million' as of 30 Sep 2020"
2021-10-15,2021,Cumulative guest arrivals,1000,million,Airbnb global,Airbnb Newsroom (2-billionth guest release),https://news.airbnb.com/the-power-of-2-meet-the-couple-marking-our-2-billionth-guest-arrival/,"1B reached Oct 2021"
2024-10-15,2024,Cumulative guest arrivals,2000,million,Airbnb global,Airbnb Newsroom,https://news.airbnb.com/the-power-of-2-meet-the-couple-marking-our-2-billionth-guest-arrival/,"2-billionth trip was a 12-person multigenerational household"
2026-02-13,FY2025,Cumulative guest arrivals,2500,million,Airbnb global,Airbnb FY2025 10-K,https://www.sec.gov/Archives/edgar/data/1559720/000155972026000004/abnb-20251231.htm,"'over 2.5 billion'"
2021-05-13,1Q21,Family and group travel growth,,qualitative,Airbnb global,1Q21 shareholder letter,data/raw/letters/1Q21_d476842dex991.htm,"'travel by families in particular has outpaced the growth of smaller groups and solo guests'; 'increased travel by families and groups, which supported higher ADR as these guests prefer larger listings'"
2023-01-31,2022,Solo travellers' share of nights,24,% of nights,Airbnb global,Airbnb Newsroom solo-travel safety release,https://news.airbnb.com/airbnb-expands-safety-product-to-help-solo-travelers-as-solo-travel-surges,"'almost a quarter of nights booked worldwide in 2022 were by guests traveling on their own'; ~half of those nights were 28+ stays"
2024-05-08,1Q24,Trips with 2+ guests,81,% of trips,Airbnb global,Q1 2024 earnings call (Chesky),data/raw/regulatory/transcripts/2024-Q1.json,"'81% of our trips now have two or more guests, and increasingly we're seeing people booking more space, larger homes'"
2024-05-08,1Q24,Average number of guests per booking,2,people (loose),Airbnb global,Q1 2024 earnings call (Chesky),data/raw/regulatory/transcripts/2024-Q1.json,"'when people book an Airbnb, the average number of guests is two. So that means that typically for every booking, there's another guest' - informal; conflicts with arrivals/bookings math (~3.0)"
2024-05-08,1Q24,Nights booked for groups of over five - North America,15,% y/y,North America,1Q24 shareholder letter,data/raw/letters/1Q24_d813800dex991.htm,"'fastest growing segment in the region for the fourth consecutive quarter'"
2024-05-08,1Q24,Nights booked for groups of over five - EMEA,12,% y/y,EMEA,1Q24 shareholder letter,data/raw/letters/1Q24_d813800dex991.htm,
2024-05-01,2024,Group trips share of bookings,80,% of bookings (>80),Airbnb global,Airbnb 2024 Summer Release,https://news.airbnb.com/airbnb-2024-summer-release-highlights/,"'More than 80% of bookings on Airbnb are group trips'; fewer than 10% of group trips add a co-traveller to the reservation"
2024-08-06,2Q24,Nights booked for groups of over five - North America,16,% y/y,North America,2Q24 shareholder letter,data/raw/letters/2Q24_d831385dex991.htm,"'fastest growing segment in the region for the fifth consecutive quarter'"
2024-08-06,2Q24,Average number of guests on a booking - North America,,rising (qualitative),North America,2Q24 shareholder letter,data/raw/letters/2Q24_d831385dex991.htm,"'Given the popularity of group travel on Airbnb, the average number of guests on a booking in North America is increasing'"
2024-10-15,H1 2024,Family travel share of nights,20,% of nights (~1 in 5),Airbnb global,Airbnb Newsroom family travel release,https://news.airbnb.com/how-and-where-families-are-traveling-this-thanksgiving/,"family travel +15% y/y, multigenerational +35%; 20% of Thanksgiving family bookings 10+ guests"
2025-02-01,4Q24,Nearby-search demand from groups and families,60,% of nearby searches (>60),United States,Airbnb Newsroom 2025 summer travel trends,https://news.airbnb.com/summer-travel-trends/,"Q4 2024 searches for summer 2025 trips within 300 miles"
2026-08-13,2Q26,Bedroom nights booked - TTM,1000,million (>1B),Airbnb global,2Q26 shareholder letter,data/raw/letters/2Q26_d70413dex991.htm,"'over the trailing twelve months through Q2 2026, guests booked more than 1 billion bedroom nights'"
2026-08-13,2Q26,Bedroom nights booked growth vs nights,12,% y/y (vs nights +10%),Airbnb global,2Q26 shareholder letter,data/raw/letters/2Q26_d70413dex991.htm,"'Bedroom Nights Booked grew over 12%, continuing a multi-year pattern'; 4+ bedroom homes among fastest-growing categories"
2017-10-24,2017,Family share of guests,20,% of guests (~),Airbnb global,Airbnb Newsroom,https://news.airbnb.com/,Close to 20% of guests are traveling as part of a family (newsroom crawl)
2018-10-11,2018,Multigenerational family bookings growth,72,% y/y,Airbnb global,Airbnb Newsroom,https://news.airbnb.com/,multigenerational family travel bookings have grown 72% in the past year
2020-07-14,Jun 2020,Nights booked by solo or pairs,60,% of nights (>60),Airbnb global,Airbnb Newsroom,https://news.airbnb.com/,over 60 percent of the nights booked were for travel by people traveling solo or with one other person (COVID trough)
