item,feature,horizon,window,n,slope,intercept,t,p,r2,spearman,spearman_p,sign_agreement,mean_ret_if_1,n_1,mean_ret_if_0,n_0,share_positive_if_1,share_positive_if_0,welch_p,slope_2,t_2,p_2,adj_r2
Revenue,surprise vs consensus (%),"Day 1, raw",all prints,23,0.5075,-0.8623,1.5354,0.1396,0.1009,0.427,0.0422,0.6087,,,,,,,,,,,
Revenue,surprise vs consensus (%),"Day 1, excess vs QQQ",all prints,23,0.4772,-1.3896,1.5045,0.1473,0.0973,0.4601,0.0272,0.5217,,,,,,,,,,,
Revenue,surprise vs consensus (%),"5 sessions, raw",all prints,23,0.0673,-2.9634,0.1872,0.8533,0.0017,-0.04,0.8561,0.3913,,,,,,,,,,,
Revenue,surprise vs consensus (%),"5 sessions, excess vs QQQ",all prints,23,0.1277,-3.1646,0.3663,0.7178,0.0063,0.0514,0.8158,0.3913,,,,,,,,,,,
Revenue,"beat consensus (1/0, >0.5%)","Day 1, raw",all prints,23,8.3303,-5.725,1.7523,0.0943,0.1276,0.3892,0.0664,,2.6053,19.0,-5.725,4.0,0.6316,0.25,0.0745,,,,
Revenue,"beat consensus (1/0, >0.5%)","Day 1, excess vs QQQ",all prints,23,8.0,-6.1,1.758,0.0933,0.1283,0.3805,0.0732,,1.9,19.0,-6.1,4.0,0.5263,0.25,0.0565,,,,
Revenue,"beat consensus (1/0, >0.5%)","5 sessions, raw",all prints,23,2.85,-5.05,0.5465,0.5905,0.014,0.1557,0.4781,,-2.2,19.0,-5.05,4.0,0.3684,0.25,0.4394,,,,
Revenue,"beat consensus (1/0, >0.5%)","5 sessions, excess vs QQQ",all prints,23,4.2592,-6.175,0.8482,0.4059,0.0331,0.1557,0.4781,,-1.9158,19.0,-6.175,4.0,0.3684,0.25,0.3557,,,,
Revenue,y/y growth (%),"Day 1, raw",all prints,22,0.0144,0.0605,0.4564,0.653,0.0103,0.1117,0.6207,0.4091,,,,,,,,,,,
Revenue,y/y growth (%),"Day 1, excess vs QQQ",all prints,22,0.0139,-0.5807,0.464,0.6477,0.0106,0.1252,0.5786,0.5,,,,,,,,,,,
Revenue,y/y growth (%),"5 sessions, raw",all prints,22,-0.0268,-1.7615,-0.7948,0.436,0.0306,-0.3559,0.104,0.2727,,,,,,,,,,,
Revenue,y/y growth (%),"5 sessions, excess vs QQQ",all prints,22,-0.0118,-2.4157,-0.3558,0.7257,0.0063,-0.1961,0.3817,0.3182,,,,,,,,,,,
Revenue,acceleration vs prior quarter (pts),"Day 1, raw",all prints,21,-0.0161,0.4521,-0.6617,0.5161,0.0225,0.1295,0.5759,0.4762,,,,,,,,,,,
Revenue,acceleration vs prior quarter (pts),"Day 1, excess vs QQQ",all prints,21,-0.017,-0.1331,-0.7357,0.4709,0.0277,0.1268,0.5838,0.4286,,,,,,,,,,,
Revenue,acceleration vs prior quarter (pts),"5 sessions, raw",all prints,21,-0.0212,-2.9069,-0.8127,0.4264,0.0336,0.0007,0.9978,0.381,,,,,,,,,,,
Revenue,acceleration vs prior quarter (pts),"5 sessions, excess vs QQQ",all prints,21,-0.0226,-2.8585,-0.8966,0.3812,0.0406,-0.0618,0.7901,0.381,,,,,,,,,,,
EPS,surprise vs consensus ($/share),"Day 1, raw",all prints,20,-4.0776,0.5461,-1.3648,0.1891,0.0938,-0.0308,0.8973,0.4,,,,,,,,,,,
EPS,surprise vs consensus ($/share),"Day 1, excess vs QQQ",all prints,20,-3.9281,-0.0348,-1.3952,0.1799,0.0976,-0.0241,0.9198,0.45,,,,,,,,,,,
EPS,surprise vs consensus ($/share),"5 sessions, raw",all prints,20,-1.6209,-3.4976,-0.4946,0.6269,0.0134,-0.2271,0.3357,0.35,,,,,,,,,,,
EPS,surprise vs consensus ($/share),"5 sessions, excess vs QQQ",all prints,20,-1.7954,-3.369,-0.5744,0.5728,0.018,-0.0902,0.7052,0.35,,,,,,,,,,,
EPS,"beat consensus (1/0, >$0.03)","Day 1, raw",all prints,20,1.175,0.225,0.2712,0.7893,0.0041,0.0443,0.853,,1.4,12.0,0.225,8.0,0.5,0.75,0.7798,,,,
EPS,"beat consensus (1/0, >$0.03)","Day 1, excess vs QQQ",all prints,20,1.2875,-0.4375,0.3149,0.7564,0.0055,0.0708,0.7668,,0.85,12.0,-0.4375,8.0,0.5,0.5,0.7456,,,,
EPS,"beat consensus (1/0, >$0.03)","5 sessions, raw",all prints,20,-3.0958,-1.4875,-0.6872,0.5007,0.0256,-0.2124,0.3686,,-4.5833,12.0,-1.4875,8.0,0.25,0.5,0.4543,,,,
EPS,"beat consensus (1/0, >$0.03)","5 sessions, excess vs QQQ",all prints,20,-0.75,-2.75,-0.172,0.8653,0.0016,-0.0885,0.7106,,-3.5,12.0,-2.75,8.0,0.25,0.5,0.856,,,,
EPS,"y/y growth, adjusted basis (%)","Day 1, raw",all prints,10,0.0246,-0.8424,1.306,0.2279,0.1757,0.0545,0.881,0.3,,,,,,,,,,,
EPS,"y/y growth, adjusted basis (%)","Day 1, excess vs QQQ",all prints,10,0.0243,-1.2784,1.3601,0.2109,0.1878,0.2,0.5796,0.5,,,,,,,,,,,
EPS,"y/y growth, adjusted basis (%)","5 sessions, raw",all prints,10,0.005,0.5547,0.2337,0.8211,0.0068,-0.0424,0.9074,0.4,,,,,,,,,,,
EPS,"y/y growth, adjusted basis (%)","5 sessions, excess vs QQQ",all prints,10,0.0168,-1.5808,0.7317,0.4852,0.0627,0.0909,0.8028,0.4,,,,,,,,,,,
GBV,surprise vs consensus (%),"Day 1, raw",all prints,13,-0.0821,4.2868,-0.3028,0.7677,0.0083,0.022,0.9432,0.6923,,,,,,,,,,,
GBV,surprise vs consensus (%),"Day 1, excess vs QQQ",all prints,13,-0.135,3.8447,-0.5121,0.6187,0.0233,-0.0604,0.8445,0.6154,,,,,,,,,,,
GBV,surprise vs consensus (%),"5 sessions, raw",all prints,13,-0.0298,-1.3364,-0.0778,0.9394,0.0005,-0.011,0.9716,0.3846,,,,,,,,,,,
