segment,year,report_year,visitors,visitor_days,party_1,party_2,party_3plus,avg_party_size,los_statewide,first_time_visitors,repeat_visitors,parties,share_visitors_1,share_visitors_2,share_visitors_3plus,share_parties_1,share_parties_2,share_parties_3plus,avg_party_size_3plus
all_air,1999,2000,6741037.0,60020236.80624105,1237647.2766079116,2951430.2386715366,2551959.484720552,2.1313582109870155,8.903709116760016,2769507.2355483216,3971529.7644516784,3162789.3261913387,0.18359894428823215,0.4378302980196573,0.37857075769211057,0.3913151174372712,0.4665866003515443,0.14209828221118448,5.678252265199779
all_air,2000,2001,6948595.0,61721150.0,1268219.0,2937986.0,2742390.0,2.06,8.881731640183888,2850357.2591039855,4098237.7408960145,3373104.3689320385,0.18251445076306794,0.4228172745713342,0.39466827466559784,0.37597976857191995,0.4355017928084743,0.18851843861960577,4.312663799702077
all_air,2001,2002,6303791.000000022,57760242.44370861,1213846.1579418192,2582700.419784439,2507244.4222737644,2.041976656550245,9.162779737486057,2451968.4083562028,3851822.591643819,3087102.3817920475,0.19255812223816032,0.40970590868009893,0.39773596908174075,0.39319919063947195,0.41830495078773416,0.18849585857279388,4.308675906646825
all_air,2002,2002,6389057.941713482,60068620.48877384,1133919.1503256522,2556168.1672634706,2698970.6241243593,2.0964040720651402,9.40179676810973,2411779.7524822447,3977278.1892312365,3047627.1377491197,0.17747830128795894,0.4000853006159984,0.42243639809604266,0.37206623352328094,0.4193702266923924,0.20856353978432668,4.246175463232266
all_air,2003,2004,6380439.004671121,58782699.21561432,1152968.089762701,2620904.0,2606566.91490842,2.0783551702320655,9.212955279814944,2389703.316524148,3990735.688146973,3069946.4153466574,0.1807035674063513,0.4107717349983654,0.40852469759528326,0.3755661935983688,0.4268647796095243,0.19756902679210694,4.297533025295889
all_air,2004,2005,6912094.418607716,62761989.18896615,1208751.2393151266,2823222.487763453,2880120.691529137,2.102116109835711,9.080024864823795,2600834.4359180005,4311259.982689716,3288160.1478939834,0.17487481595464113,0.4084467480888559,0.416678435956503,0.3676071678228061,0.4293012445837962,0.20309158759339768,4.312864275791339
all_air,2005,2006,7416574.032813873,67687478.90039678,1254215.2570808467,3079233.666184354,3083125.1095486726,2.1106515230106884,9.126515531782502,2747832.8217378515,4668741.211076022,3513878.98568622,0.16910978728611076,0.41518275858376114,0.4157074541301281,0.3569318300914432,0.4381530608662972,0.2049151090422597,4.28183932013379
all_air,2006,2007,7528106.126647282,69145853.82841632,1209986.9785749728,3094983.9659443633,3223135.182127946,2.1537314355663217,9.1850266070511,2721126.352307894,4806979.774339385,3495378.3012726344,0.16072926685929342,0.41112384893048065,0.4281468842102259,0.34616767465038845,0.4427251786762979,0.2111071466733137,4.367987621898463
all_air,2007,2008,7496820.0,69135310.223704,1187587.0,3136631.0,3172602.0,2.14,9.221951491740988,2646523.0,4850297.0,3503186.9158878503,0.15841210006376036,0.4183948660898888,0.4231930338463509,0.3390018941364472,0.447682506716181,0.21331559914737178,4.245508045595497
all_air,2008,2009,6713436.0,63130132.90346176,1123053.0,2834902.0,2755481.0,2.133807902540517,9.403550268962386,2338202.0,4375234.0,3146223.2340629008,0.16728438313852995,0.42227288679001335,0.4104427300714567,0.3569527387126108,0.45052461143056377,0.19252264985682543,4.549105996713087
