bucket,market,listings,unavail_30,unavail_90,unavail_far,pickup_30,pickup_90,booked_guest_nights_30,supply_share,booked_nights_share_30,booked_guest_nights_share_30,nights_index,guest_nights_index
1-2 guests,it_bergamo,433,0.5802155504234026,0.4312291506286888,0.4487139675986462,0.2765183615623319,0.18314209961270922,7124.858635599328,0.17033831628638868,0.1544922048654403,0.06980910730365433,0.906972713089952,0.4098262142399291
3-4 guests,it_bergamo,1299,0.6226327944572748,0.46831750919510734,0.45329171426051235,0.2970580423320636,0.2029474950016574,44109.93790535671,0.511014948859166,0.4979034846756104,0.43218757674811803,0.9743423079641276,0.8457435104647545
5-6 guests,it_bergamo,614,0.6563517915309446,0.49793702497285564,0.438060672544934,0.34253842404116924,0.23236831908279068,35181.457362478985,0.24154209284028325,0.271376580927487,0.3447066472090983,1.1235167242958828,1.4271079759047687
7+ guests,it_bergamo,196,0.6352040816326531,0.482312925170068,0.4476547525087383,0.30141316194986284,0.21046904949825232,15645.767955801106,0.07710464201416208,0.07622772953146226,0.15329666873912942,0.9886269819845769,1.988163938443199
1-2 guests,mt_bozeman,76,0.8008771929824562,0.608625730994152,0.4343551185656449,0.4216165413533835,0.2841960670908039,1909.5714285714287,0.18269230769230768,0.16163157050691448,0.06407690190809456,0.8847201754062688,0.35073672623378077
3-4 guests,mt_bozeman,168,0.756547619047619,0.5841931216931217,0.35911229040111026,0.4445451438657961,0.3114517606559532,8599.205924510272,0.40384615384615385,0.3767212438821177,0.28855190555745136,0.9328335562795295,0.7145094804279748
5-6 guests,mt_bozeman,112,0.7800595238095239,0.5856150793650794,0.31205847723704866,0.5035975928833072,0.3339819902319902,9769.472527472528,0.2692307692307692,0.2845094050625272,0.32782095682327916,1.0567492188036725,1.2176206967721799
7+ guests,mt_bozeman,60,0.81,0.6318518518518519,0.2542542602325211,0.5852817593034985,0.40725367627541537,9522.99474438605,0.14423076923076922,0.1771377805484406,0.31955023571117486,1.2281552784691883,2.2155483009308123
1-2 guests,se_stockholm,713,0.6607293127629734,0.6357020414523921,0.526169228079195,0.26168396211106165,0.23136446374820124,10725.359236127792,0.30919340849956634,0.2847526857206059,0.13575775672318552,0.9209532864960971,0.439070669009349
3-4 guests,se_stockholm,862,0.7281902552204177,0.687303428718742,0.5135844485142285,0.3068663718736061,0.25594298311206826,29217.665745856353,0.3738074588031223,0.4036990773114438,0.3698267508825526,1.0799652810675051,0.9893509136138822
5-6 guests,se_stockholm,511,0.7375081539465101,0.7412046096977604,0.55914194706606,0.29608627412083494,0.26876998268587254,25391.319361037713,0.22159583694709453,0.23090873785474056,0.3213942284641809,1.0420265156419408,1.4503622129910003
7+ guests,se_stockholm,220,0.7016666666666667,0.7308080808080808,0.5869449206210556,0.24017287030768897,0.22490444014975602,13669.312575066058,0.09540329575021683,0.08063949911320972,0.173021263930081,0.8452485679775528,1.8135774301034853
1-2 guests,uk_bristol,521,0.565067178502879,0.45161015141821287,0.4641735206828458,0.2563925390620137,0.16664116373784488,7944.874969973576,0.32685069008782935,0.32161942781525166,0.14447985343678638,0.9839949480566433,0.4420362502461372
3-4 guests,uk_bristol,531,0.6358443188951663,0.5246285833856456,0.5033059600923389,0.25451607207186017,0.1739957477709072,15753.526543358155,0.3331242158092848,0.32539352128934557,0.28648244493449593,0.9767933576934404,0.8599868497656997
5-6 guests,uk_bristol,323,0.6270381836945305,0.5012727898176814,0.48035509638574825,0.27879570554595784,0.18185443024743095,15436.546961325968,0.20263488080301129,0.21681422403682732,0.2807180793872032,1.0699748393644049,1.3853393762947428
7+ guests,uk_bristol,219,0.5371385083713851,0.417453069507864,0.42785473134166285,0.2582540672321323,0.17029271603760165,15854.552005765074,0.13739021329987453,0.13617282685857537,0.28831962224151453,0.9911392055368454,2.098545560972485
1-2 guests,uk_edinburgh,1024,0.7419596354166667,0.6926649305555556,0.6268490088800466,0.24224918720885094,0.21257477206802106,14840.675776397515,0.27350427350427353,0.252763274627593,0.11809820936067235,0.9241657228571368,0.43179657797495824
3-4 guests,uk_edinburgh,1654,0.7816203143893591,0.7018540910923015,0.6321003665122007,0.25876850398431805,0.2119907529105258,49680.24875776398,0.44177350427350426,0.4361125737527656,0.39534240268328996,0.9871858985068648,0.8948984012371449
5-6 guests,uk_edinburgh,756,0.7481481481481482,0.6720311581422692,0.5727560879424233,0.28843993394459233,0.2355724665067315,36600.09937888199,0.20192307692307693,0.22219223160758872,0.2912540011111177,1.1003805755804394,1.4424007674074402
7+ guests,uk_edinburgh,310,0.7316129032258065,0.687347670250896,0.5775325586054899,0.28154271021171445,0.2409829136890848,24542.827018633543,0.0827991452991453,0.0889319200120527,0.19530538684492002,1.0740680920165333,2.3587850591850987
1-2 guests,uk_greater-manchester,595,0.46425770308123254,0.3465732959850607,0.4148380022001673,0.23425953988152637,0.15183650081557926,8280.880791161797,0.1643646408839779,0.16365346755206361,0.06266014937226291,0.9956731975436476,0.38122645500435587
3-4 guests,uk_greater-manchester,1301,0.44378683064309504,0.3325732342642412,0.40393152077582006,0.22711383169442734,0.15084773139948088,34034.104062722734,0.35939226519337014,0.3469219997221342,0.25753082288027335,0.9653017978432944,0.7165730813424978
5-6 guests,uk_greater-manchester,993,0.4280631084256462,0.311144679422625,0.3697527979773836,0.2365917624368441,0.1492973244803591,39613.090876692804,0.27430939226519335,0.27584164114229226,0.29974615672282273,1.0055858418278933,1.0927301987277123
7+ guests,uk_greater-manchester,731,0.42713178294573645,0.3011551907584739,0.3300801341272805,0.24885027491412287,0.15677874220627047,50227.38310762651,0.20193370165745855,0.21358289158350974,0.38006287102464087,1.0576881908786666,1.8821170904366622
1-2 guests,uk_london,9442,0.6730106615829979,0.552287650921415,0.560914579835782,0.23775970719274028,0.1660723640621829,132632.34501066653,0.28357760691975015,0.24193235160655122,0.10800053541730627,0.8531433572433519,0.38085001347750785
3-4 guests,uk_london,12620,0.7026677231907026,0.5580375066032752,0.5271053266525454,0.28078297256566276,0.18764086790229756,401211.5586703917,0.37902450744834215,0.38187551729713937,0.32670057329175267,1.0075219670305509,0.8619510529573848
5-6 guests,uk_london,7548,0.6995053877406818,0.5347126538303009,0.480145072017661,0.31364788722191733,0.20395163103860353,400374.6928919669,0.2266938971648246,0.2551325979728055,0.3260191260012367,1.125449785652164,1.4381469024029119
7+ guests,uk_london,3686,0.6365255923313438,0.489615361427624,0.43044239679235674,0.30475579339575887,0.20219068455895084,293852.5837983011,0.11070398846708314,0.12105953312350379,0.23927976528970435,1.093542651893701,2.1614376193939218
