crawl,refetched,live,removed,redirect,other,median_age_days,survival_share,crawl_date,year,status_informative
CC-MAIN-2021-17,6577,6427,1,149,0,91.0,0.9771932492017638,2021-04-26,2021,False
CC-MAIN-2021-21,8713,8698,2,13,0,77.0,0.9982784345231264,2021-05-24,2021,False
CC-MAIN-2021-25,5533,5518,0,15,0,147.0,0.9972889933128501,2021-06-21,2021,False
CC-MAIN-2021-31,12227,12134,1,92,0,98.0,0.9923938823914288,2021-08-02,2021,False
CC-MAIN-2021-39,19121,19065,2,54,0,126.0,0.9970712828826944,2021-09-27,2021,False
CC-MAIN-2021-43,12989,12965,1,23,0,154.0,0.9981522827007467,2021-10-25,2021,False
CC-MAIN-2021-49,15045,15006,2,37,0,196.0,0.99740777666999,2021-12-06,2021,False
CC-MAIN-2022-05,10623,10581,1,41,0,252.0,0.9960463146003954,2022-01-31,2022,False
CC-MAIN-2022-21,13037,12133,718,181,5,364.0,0.9306588939173123,2022-05-23,2022,True
CC-MAIN-2022-27,15142,13560,1461,121,0,406.0,0.8955223880597015,2022-07-04,2022,True
CC-MAIN-2022-33,15539,14236,1214,89,0,420.0,0.9161464701718257,2022-08-15,2022,True
CC-MAIN-2022-40,13231,11979,1156,96,0,469.0,0.9053737434812184,2022-10-03,2022,True
CC-MAIN-2022-49,18939,16433,728,1778,0,434.0,0.8676804477533133,2022-12-05,2022,True
CC-MAIN-2023-06,11769,9743,1900,126,0,553.0,0.8278528337156937,2023-02-06,2023,True
CC-MAIN-2023-14,7645,6323,1129,192,1,609.0,0.8270765206017004,2023-04-03,2023,True
CC-MAIN-2023-23,12141,10376,1654,111,0,664.0,0.8546248249732312,2023-06-05,2023,True
CC-MAIN-2023-40,15533,13310,2176,47,0,729.0,0.8568853408871435,2023-10-02,2023,True
CC-MAIN-2023-50,16815,14435,2266,113,1,765.0,0.8584597085935177,2023-12-11,2023,True
CC-MAIN-2024-10,14196,12145,1972,78,1,810.0,0.8555226824457594,2024-03-04,2024,True
CC-MAIN-2024-18,13566,11532,1942,86,6,804.0,0.8500663423264042,2024-04-29,2024,True
CC-MAIN-2024-22,10302,8694,1549,54,5,848.0,0.8439138031450204,2024-05-27,2024,True
CC-MAIN-2024-26,9841,8423,1368,41,9,763.0,0.8559089523422416,2024-06-24,2024,True
CC-MAIN-2024-30,7852,6774,1034,36,8,793.0,0.8627101375445746,2024-07-22,2024,True
CC-MAIN-2024-33,8878,7552,1295,22,9,813.0,0.850642036494706,2024-08-12,2024,True
CC-MAIN-2024-38,6901,6018,830,41,12,764.0,0.8720475293435734,2024-09-16,2024,True
CC-MAIN-2024-42,10511,9036,1415,48,12,830.0,0.8596708210446199,2024-10-14,2024,True
CC-MAIN-2024-46,7827,6785,1001,33,8,813.0,0.8668710872620417,2024-11-11,2024,True
CC-MAIN-2024-51,10118,8639,1439,28,12,845.0,0.8538248665744218,2024-12-16,2024,True
CC-MAIN-2025-05,8108,6960,1105,35,8,883.0,0.8584114454859398,2025-01-27,2025,True
CC-MAIN-2025-08,9414,7983,1374,47,10,866.0,0.8479923518164436,2025-02-17,2025,True
CC-MAIN-2025-13,9045,7890,1118,37,0,833.0,0.8723051409618574,2025-03-24,2025,True
CC-MAIN-2025-18,10772,9358,1369,45,0,813.0,0.8687337541774972,2025-04-28,2025,True
CC-MAIN-2025-21,9779,8523,1218,38,0,772.0,0.871561509356785,2025-05-19,2025,True
CC-MAIN-2025-26,12042,10665,1325,52,0,819.5,0.8856502242152466,2025-06-23,2025,True
CC-MAIN-2025-30,11074,9829,1219,25,1,650.0,0.8875744988260791,2025-07-21,2025,True
CC-MAIN-2025-33,10572,9389,1146,37,0,619.0,0.8881006432084753,2025-08-11,2025,True
CC-MAIN-2025-38,10690,9566,1099,25,0,518.0,0.8948550046772685,2025-09-15,2025,True
CC-MAIN-2025-43,12904,12850,1,53,0,675.0,0.9958152510849348,2025-10-20,2025,False
CC-MAIN-2025-47,14634,14609,2,23,0,529.0,0.9982916495831625,2025-11-17,2025,False
CC-MAIN-2025-51,11791,11730,39,22,0,487.0,0.9948265626325163,2025-12-15,2025,False
CC-MAIN-2026-04,11436,11346,65,25,0,499.0,0.9921301154249738,2026-01-19,2026,False
CC-MAIN-2026-08,10530,9240,1249,36,5,571.0,0.8774928774928775,2026-02-16,2026,True
CC-MAIN-2026-12,9422,8364,1040,18,0,627.0,0.8877096157928253,2026-03-16,2026,True
CC-MAIN-2026-17,9866,8628,1199,35,4,690.0,0.8745185485505778,2026-04-20,2026,True
CC-MAIN-2026-21,12105,10665,1406,32,2,658.0,0.8810408921933085,2026-05-18,2026,True
CC-MAIN-2026-25,13743,11953,1762,27,1,693.0,0.8697518736811468,2026-06-15,2026,True
CC-MAIN-2026-30,12934,11336,1554,44,0,646.0,0.8764496675429102,2026-07-20,2026,True
CC-MAIN-2026-34,12446,10896,1511,38,1,736.0,0.8754619958219508,2026-08-17,2026,True
