month,str_type,sum_of_daily_counts
2025-02,Type 1,850
2025-02,Type 1-A,104
2025-02,Type 1-Secondary,217
2025-02,Type 2 Commercial,35
2025-02,Type 2 Residential,527
2025-02,Type 3,408
2025-03,Type 1,15967
2025-03,Type 1-A,1921
2025-03,Type 1-Secondary,4198
2025-03,Type 2 Commercial,702
2025-03,Type 2 Residential,11739
2025-03,Type 3,8893
2025-04,Type 1,24665
2025-04,Type 1-A,3140
2025-04,Type 1-Secondary,6650
2025-04,Type 2 Commercial,1168
2025-04,Type 2 Residential,19888
2025-04,Type 3,13848
2025-05,Type 1,25976
2025-05,Type 1-A,3469
2025-05,Type 1-Secondary,7083
2025-05,Type 2 Commercial,1259
2025-05,Type 2 Residential,22549
2025-05,Type 3,13796
2025-06,Type 1,25092
2025-06,Type 1-A,3330
2025-06,Type 1-Secondary,6852
2025-06,Type 2 Commercial,1138
2025-06,Type 2 Residential,22781
2025-06,Type 3,13846
2025-07,Type 1,25684
2025-07,Type 1-A,3424
2025-07,Type 1-Secondary,6954
2025-07,Type 2 Commercial,1137
2025-07,Type 2 Residential,24153
2025-07,Type 3,14547
2025-08,Type 1,24965
2025-08,Type 1-A,3396
2025-08,Type 1-Secondary,6901
2025-08,Type 2 Commercial,1007
2025-08,Type 2 Residential,23926
2025-08,Type 3,14851
2025-09,Type 1,23058
2025-09,Type 1-A,3071
2025-09,Type 1-Secondary,6424
2025-09,Type 2 Commercial,980
2025-09,Type 2 Residential,22864
2025-09,Type 3,14396
2025-10,Type 1,24408
2025-10,Type 1-A,3306
2025-10,Type 1-Secondary,6706
2025-10,Type 2 Commercial,1154
2025-10,Type 2 Residential,24815
2025-10,Type 3,15389
2025-11,Type 1,23899
2025-11,Type 1-A,3325
2025-11,Type 1-Secondary,6683
2025-11,Type 2 Commercial,1131
2025-11,Type 2 Residential,25899
2025-11,Type 3,17059
2025-12,Type 1,25175
2025-12,Type 1-A,3463
2025-12,Type 1-Secondary,7035
2025-12,Type 2 Commercial,1141
2025-12,Type 2 Residential,27359
2025-12,Type 3,18984
2026-01,Type 1,22625
2026-01,Type 1-A,3104
2026-01,Type 1-Secondary,6331
2026-01,Type 2 Commercial,1062
2026-01,Type 2 Residential,27443
2026-01,Type 3,18224
2026-02,Type 1,18110
2026-02,Type 1-A,2559
2026-02,Type 1-Secondary,5111
2026-02,Type 2 Commercial,828
2026-02,Type 2 Residential,23706
2026-02,Type 3,15167
2026-03,Type 1,22616
2026-03,Type 1-A,3215
2026-03,Type 1-Secondary,6543
2026-03,Type 2 Commercial,1001
2026-03,Type 2 Residential,29402
2026-03,Type 3,19063
2026-04,Type 1,22722
2026-04,Type 1-A,3108
2026-04,Type 1-Secondary,6529
2026-04,Type 2 Commercial,1052
2026-04,Type 2 Residential,30482
2026-04,Type 3,19354
2026-05,Type 1,23675
2026-05,Type 1-A,3181
2026-05,Type 1-Secondary,6524
2026-05,Type 2 Commercial,1060
2026-05,Type 2 Residential,32467
2026-05,Type 3,18700
2026-06,Type 1,22886
2026-06,Type 1-A,3186
2026-06,Type 1-Secondary,6185
2026-06,Type 2 Commercial,985
2026-06,Type 2 Residential,31529
2026-06,Type 3,18572
2026-07,Type 1,23514
2026-07,Type 1-A,3225
2026-07,Type 1-Secondary,5943
2026-07,Type 2 Commercial,854
2026-07,Type 2 Residential,31447
2026-07,Type 3,21914
2026-08,Type 1,21227
2026-08,Type 1-A,2731
2026-08,Type 1-Secondary,5267
2026-08,Type 2 Commercial,709
2026-08,Type 2 Residential,28996
2026-08,Type 3,20142
2026-09,Type 1,3855
2026-09,Type 1-A,481
2026-09,Type 1-Secondary,967
2026-09,Type 2 Commercial,120
2026-09,Type 2 Residential,5499
2026-09,Type 3,3699
