metric,value,unit,scope,period,source,url,note
Cumulative guest arrivals,400,million,Airbnb global,2018-08-26,Airbnb Newsroom '400 Million Guest Arrival Milestone',https://news.airbnb.com/airbnb-surpasses-400-million-guest-arrival-milestone/,"3.5M guest arrivals on a single night (Aug 11 2018) = in-house guests that night"
Cumulative guest arrivals,500,million,Airbnb global,2019-03-27,Airbnb Newsroom 'Half A Billion Guest Arrivals',https://news.airbnb.com/airbnb-celebrates-half-a-billion-guest-arrivals/,"'three guests check in every half-second' = ~190M guest arrivals/yr"
Cumulative guest arrivals,825,million,Airbnb global,2020-09-30,Airbnb S-1 (Nov 2020),https://www.sec.gov/Archives/edgar/data/1559720/000119312520294801/d81668ds1.htm,"'over 825 million'"
Cumulative guest arrivals,1000,million,Airbnb global,2021-10,Airbnb Newsroom '2 billionth guest arrival' (cites 1B in Oct 2021),https://news.airbnb.com/the-power-of-2-meet-the-couple-marking-our-2-billionth-guest-arrival/,
Cumulative guest arrivals,2000,million,Airbnb global,2024-10,Airbnb Newsroom '2 billionth guest arrival',https://news.airbnb.com/the-power-of-2-meet-the-couple-marking-our-2-billionth-guest-arrival/,"2-billionth trip was a 12-person multigenerational household"
Cumulative guest arrivals,2500,million,Airbnb global,2025-12-31 (FY2025 10-K),Airbnb FY2025 10-K,https://www.sec.gov/Archives/edgar/data/1559720/000155972026000004/abnb-20251231.htm,"'over 2.5 billion'"
Nights & experiences booked,185.8,million,Airbnb global,2017,Airbnb S-1,https://www.sec.gov/Archives/edgar/data/1559720/000119312520294801/d81668ds1.htm,
Nights & experiences booked,250.3,million,Airbnb global,2018,Airbnb S-1,https://www.sec.gov/Archives/edgar/data/1559720/000119312520294801/d81668ds1.htm,
Nights & experiences booked,326.9,million,Airbnb global,2019,Airbnb S-1,https://www.sec.gov/Archives/edgar/data/1559720/000119312520294801/d81668ds1.htm,
Avg nights per booking,3.7,nights,Airbnb global,2025,Airbnb FY2025 10-K,https://www.sec.gov/Archives/edgar/data/1559720/000155972026000004/abnb-20251231.htm,"NA 4.1 / EMEA 3.8 / LatAm 3.6 / APAC 3.3; see airbnb_nights_per_booking.csv for 2020-2024"
Implied guests per booking,2.9-3.0,people,Airbnb global,2018-2025 windows,Derived: guest arrivals / (nights / nights-per-booking),,"see airbnb_guests_per_booking_windows.csv; long windows cluster 2.93-3.05"
Share of bookings that are group trips,>80,%,Airbnb global,2024,Airbnb 2024 Summer Release,https://news.airbnb.com/airbnb-2024-summer-release-highlights/,"=> solo < 20% of bookings; <10% of group trips add a co-traveler to the reservation"
Solo travelers share of nights,~24,% of nights,Airbnb global,2022,Airbnb Newsroom (solo travel safety product),https://news.airbnb.com/airbnb-expands-safety-product-to-help-solo-travelers-as-solo-travel-surges,"solo travel +33% y/y in 2022; ~half of solo nights were long-term (28+) stays"
Family travel share of nights,~20,% of nights,Airbnb global,H1 2024,Airbnb Newsroom (Thanksgiving family travel),https://news.airbnb.com/how-and-where-families-are-traveling-this-thanksgiving/,"family bookings +15% y/y; multigenerational +35%; 20% of Thanksgiving family bookings had 10+ guests; ~40% of US listings have 3+ bedrooms"
Bedroom Nights Booked (TTM),>1000,million,Airbnb global,TTM to Q2 2026,Airbnb Q2 2026 results via Pulse2 / earnings call,https://pulse2.com/airbnb-guests-book-more-than-1-billion-bedroom-nights-in-one-year-as-group-travel-drives-growth/,"+12% y/y vs nights +10%; ~1.8 bedrooms per night booked vs ~560M nights TTM; 4+ bedroom homes fastest-growing (Q2 2026 call)"
Private room stays under $100/night,>80,%,Airbnb global,2022,Airbnb 2023 Summer Release,https://news.airbnb.com/airbnb-2023-summer-release-highlights/,"solo travelers and millennials most likely to book a private room; avg $67/night"
Party size distribution (parties): 1 / 2 / 3+,29 / 37 / 33,% of parties,Hawaii rental-house-only visitors,2024,Hawaii DBEDT 2024 Annual Visitor Research Report Table 46,https://files.hawaii.gov/dbedt/economic/tourism/annual-reports/2024-annual-visitor.pdf,"avg party 2.49; 3+ parties avg 4.3; LOS 9.46 days; 757.9k visitors"
Party size distribution (parties): 1 / 2 / 3+,29 / 43 / 29,% of parties,Hawaii hotel-only visitors,2024,Hawaii DBEDT 2024 Annual Visitor Research Report Table 43,https://files.hawaii.gov/dbedt/economic/tourism/annual-reports/2024-annual-visitor.pdf,"avg party 2.30; 3+ parties avg 4.0; LOS 7.31 days; 4.91M visitors"
Party size distribution (parties): 1 / 2 / 3+,23 / 46 / 32,% of parties,Hawaii condo-only visitors,2024,Hawaii DBEDT 2024 Annual Visitor Research Report Table 44,https://files.hawaii.gov/dbedt/economic/tourism/annual-reports/2024-annual-visitor.pdf,"avg party 2.44; LOS 10.23 days"
Booked stays by listing capacity: room / 1-2 / 3-4 / 5-6 / 7+,13 / 12 / 23 / 20 / 33,% of booked runs,Inside Airbnb 8 U.S. cities,June 2026,Inside Airbnb calendar analysis (this repo),https://insideairbnb.com/get-the-data/,"capacity is an upper bound on party size; see insideairbnb_booked_run_length_by_segment.csv"
Guests per booked stay proxy: bedrooms per stay,~1.8,bedrooms,Airbnb global,TTM to Q2 2026,Derived: Bedroom Nights / Nights & Seats Booked,,"1.8 bedrooms x ~1.6 people per bedroom = ~2.9 people, consistent with anchor 1"
Timeshare-only avg party size,2.42,people,Hawaii,2024,Hawaii DBEDT 2024 Table 45,https://files.hawaii.gov/dbedt/economic/tourism/annual-reports/2024-annual-visitor.pdf,"LOS 9.36 days"
B&B-only avg party size,2.12,people,Hawaii,2024,Hawaii DBEDT 2024 Table 47,https://files.hawaii.gov/dbedt/economic/tourism/annual-reports/2024-annual-visitor.pdf,"LOS 8.53 days"
Hotel guests per booking (real reservations): 1 / 2 / 3 / 4 / 5+,21 / 66 / 10 / 3 / 0,% of completed bookings,"Portugal, city + resort hotel",2015-2017,"Antonio, de Almeida & Nunes 2019, Data in Brief (TidyTuesday mirror)",https://www.sciencedirect.com/science/article/pii/S2352340918315191,"n=75,011; mean 1.94; corporate 1.22 (80% solo); leisure 2.04"
U.S. hotel room nights business vs leisure,439 / 605,million room nights,U.S.,2023,AHLA 2024 State of the Industry,https://www.ahla.com/sites/default/files/SOTI.2024.Final_.Draft_.v4.pdf,"business = 42% of room nights"
Business travel share of U.S. hotel room revenue,52.5 -> 43.6,%,U.S.,2019 -> 2022,AHLA via Business Travel News,https://www.businesstravelnews.com/Lodging/AHLA-Business-Travel-Share-of-US-Hotel-Revenue-Down-Sharply-from-19,
Las Vegas visitor party size: 1 / 2 / 3 / 4 / 5+,12 / 64 / 11 / 9 / 6,% of parties,Las Vegas visitors,2024,LVCVA Visitor Profile via Statista,https://www.statista.com/statistics/411714/party-size-of-las-vegas-visitors-us/,"n=5,418; mean 2.42"
U.S. hotel per travel party (estimate): 1 / 2 / 3 / 4 / 5+,45 / 39 / 7 / 6 / 4,% of stays,U.S. hotels,2023-24 inputs,Derived (this repo): 42% corporate shape + 58% leisure-market survey shape,,"mean 1.87; see hotel_party_size_distribution.csv"
U.S. hotel per room-booking (estimate): 1 / 2 / 3 / 4 / 5+,42 / 48 / 7 / 2 / 0,% of bookings,U.S. hotels,2023-24 inputs,Derived (this repo): 42% corporate shape + 58% leisure booking shape,,"mean 1.69"
