city,region,pair_type,date_a,date_b,ids_a,ids_b,matched,retention,new_share_b,gross_adds,exits,price_basis_a,price_basis_b,price_comparable,matched_priced_entire,lfl_price_chg_median,lfl_price_chg_mean,lfl_price_up_share,lfl_price_down_share,lfl_median_price_a,lfl_median_price_b,matched_reviews_ltm_a,matched_reviews_ltm_b,matched_reviews_ltm_chg,exit_reviewed_ltm_share,exit_entire_home_share,exit_multi_listing_share,add_entire_home_share,add_multi_listing_share,matched_superhost_a,matched_superhost_b,days_apart,lfl_price_chg_annualized
austin,NA,sequential,2024-06-17,2024-09-13,15159,15244,13765,0.908,0.097,1479,1394,listed_nightly,listed_nightly,True,8068,0.0,-0.0194,0.3068,0.4236,160.0,159.0,145720,152534,0.0468,0.6435,0.8121,0.6083,0.8702,0.6166,0.4201,0.4218,88,0.0
austin,NA,sequential,2024-09-13,2024-12-14,15244,15500,13847,0.9084,0.1066,1653,1397,listed_nightly,listed_nightly,True,8161,0.0,-0.0622,0.2321,0.4811,156.0,149.0,145836,152764,0.0475,0.6049,0.8096,0.6127,0.804,0.6497,0.4191,0.4242,92,0.0
austin,NA,sequential,2024-12-14,2025-03-06,15500,15431,14131,0.9117,0.0842,1300,1369,listed_nightly,listed_nightly,True,8057,0.3173,0.4113,0.7358,0.1812,148.0,208.0,146187,150447,0.0291,0.656,0.8167,0.5975,0.8138,0.6277,0.4116,0.4113,82,2.41
austin,NA,sequential,2025-03-06,2025-06-13,15431,15187,13874,0.8991,0.0865,1313,1557,listed_nightly,listed_nightly,True,7685,-0.1998,-0.2479,0.1431,0.7165,208.0,152.0,141120,145178,0.0288,0.641,0.842,0.6346,0.7974,0.6481,0.4038,0.4073,99,-0.5603
austin,NA,year_ago,2024-06-17,2025-06-13,15159,15187,11287,0.7446,0.2568,3900,3872,listed_nightly,listed_nightly,True,6059,-0.0363,-0.0421,0.3692,0.5506,164.0,156.0,122323,119682,-0.0216,0.6681,0.8138,0.6061,0.8144,0.6477,0.4264,0.4047,361,-0.0367
austin,NA,sequential,2025-06-13,2025-09-16,15187,10533,9230,0.6078,0.1237,1303,5957,listed_nightly,listed_nightly,True,7616,0.0,-0.0378,0.3514,0.4622,150.0,144.5,129799,134566,0.0367,0.3111,0.7274,0.4029,0.8304,0.617,0.533,0.5426,95,0.0
austin,NA,year_ago,2024-09-13,2025-09-16,15244,10533,7221,0.4737,0.3144,3312,8023,listed_nightly,listed_nightly,True,6053,-0.0476,-0.054,0.339,0.5729,160.0,150.0,112175,113230,0.0094,0.4382,0.768,0.4495,0.8424,0.628,0.5813,0.565,368,-0.0472
austin,NA,sequential,2025-09-16,2025-12-22,10533,11251,9387,0.8912,0.1657,1864,1146,listed_nightly,none,False,0,,,,,,,128731,134318,0.0434,0.6353,0.8517,0.5462,0.7586,0.6052,0.5292,0.5336,97,
austin,NA,year_ago,2024-12-14,2025-12-22,15500,11251,7928,0.5115,0.2954,3323,7572,listed_nightly,none,False,0,,,,,,,118814,117684,-0.0095,0.4216,0.7758,0.4356,0.8191,0.6166,0.5614,0.5531,373,
austin,NA,sequential,2025-12-22,2026-01-18,11251,11374,10853,0.9646,0.0458,521,398,none,none,False,0,,,,,,,138284,140171,0.0136,0.6583,0.8015,0.5578,0.8292,0.6027,0.507,0.5136,27,
austin,NA,year_ago,2024-12-14,2026-01-18,15500,11374,7812,0.504,0.3132,3562,7688,listed_nightly,none,False,0,,,,,,,116864,115174,-0.0145,0.4274,0.7765,0.4403,0.8226,0.6258,0.5603,0.5483,400,
austin,NA,sequential,2026-01-18,2026-02-19,11374,10422,9882,0.8688,0.0518,540,1492,none,none,False,0,,,,,,,131943,132529,0.0044,0.5489,0.7775,0.6461,0.8019,0.6074,0.5204,0.5229,32,
austin,NA,year_ago,2025-03-06,2026-02-19,15431,10422,7550,0.4893,0.2756,2872,7881,listed_nightly,none,False,0,,,,,,,113792,114623,0.0073,0.4229,0.7721,0.454,0.8283,0.6163,0.5563,0.5558,350,
austin,NA,sequential,2026-02-19,2026-03-25,10422,8170,7245,0.6952,0.1132,925,3177,none,quote_per_night,False,0,,,,,,,118020,120047,0.0172,0.5738,0.7573,0.5987,0.6908,0.6584,0.5722,0.5804,34,
austin,NA,year_ago,2025-03-06,2026-03-25,15431,8170,5714,0.3703,0.3006,2456,9717,listed_nightly,quote_per_night,False,0,,,,,,,102122,102170,0.0005,0.4713,0.7807,0.4809,0.8591,0.6258,0.5902,0.601,384,
