print_quarter,quarter,print_date,ret_1d,exc_1d,ret_5d,exc_5d,rev_beat,nights_beat,rev_surprise,nights_surprise,guide_vs_street_pct,guide_below_street,nq_rev_guide_mid,nq_rev_guide_growth,nq_range_width_pct,nq_guide_accel_pts,nq_nights_dir,nq_nights_guide_pts,nq_margin_dir,nq_margin_guide_pts,nq_adr_dir,nq_take_rate_dir,nq_gbv_dir,fy_margin_delta_pts,fy_margin_action,fy_margin_floor_vs_prior_fy,fy_rev_delta_pts,fy_rev_action,fy_rev_guide_mid,fy_numeric_present,fy_items_count,new_investment_flag,sbc_guide_pct,fy_margin_raised,fy_rev_raised
2020Q4,4Q20,2021-02-25,13.3,12.9,-1.0,1.8,1.0,,16.128,,,,,,,,,,,,,,,0.0,first,,,none,,0.0,3.0,0.0,,0.0,
2021Q1,1Q21,2021-05-13,4.0,1.8,0.3,-2.6,1.0,1.0,24.16,3.04,,,,,,,,,,,,,1.0,0.0,first,,,none,,0.0,3.0,0.0,,0.0,
2021Q2,2Q21,2021-08-12,1.1,0.7,-5.6,-4.7,1.0,1.0,5.952,4.924,,,,,,,-1.0,-2.0,1.0,,,1.0,-1.0,,none,,,none,,0.0,0.0,0.0,,,
2021Q3,3Q21,2021-11-04,13.0,12.9,7.4,9.3,1.0,0.0,9.122,-1.361,,,1435.0,67.03526946804794,6.2717770034843205,0.035269468047943064,0.0,0.0,1.0,,0.0,-1.0,1.0,,none,,,none,,0.0,0.0,0.0,,,
2021Q4,4Q21,2022-02-15,3.6,3.7,-16.7,-9.2,1.0,0.0,4.932,-2.081,16.532,0.0,1445.0,62.90868094701241,4.844290657439446,-15.091319052987593,1.0,2.0,,,1.0,-1.0,1.0,0.0,first,,,none,,1.0,2.0,0.0,,0.0,
2022Q1,1Q22,2022-05-03,7.7,4.3,-19.9,-14.2,1.0,1.0,4.069,1.219,6.122,0.0,2080.0,55.80524344569289,4.807692307692308,-14.194756554307112,,,1.0,10.0,0.0,1.0,,0.0,reiterated,,,none,,1.0,2.0,0.0,,0.0,
2022Q2,2Q22,2022-08-02,-1.1,-3.9,-1.6,-2.5,0.0,0.0,-0.284,-2.538,2.166,0.0,2830.0,26.50871703173894,3.53356890459364,-31.49128296826106,0.0,0.0,-1.0,-0.20000000000000284,1.0,,1.0,0.0,reiterated,,,none,,1.0,1.0,0.0,,0.0,
2022Q3,3Q22,2022-11-01,-13.4,-10.0,-9.3,-7.3,1.0,,3.0,,-0.541,1.0,1840.0,20.10443864229765,4.3478260869565215,-8.895561357702348,-1.0,-2.0,1.0,0.3000000000000007,-1.0,-1.0,,,none,,,none,,0.0,0.0,0.0,,,
2022Q4,4Q22,2023-02-14,13.4,12.6,5.2,9.3,1.0,0.0,2.258,-1.672,5.621,0.0,1785.0,18.290258449304165,3.9215686274509802,-5.709741550695835,0.0,0.0,-1.0,0.0,-1.0,0.0,,0.0,first,,,none,,1.0,3.0,0.0,,0.0,
2023Q1,1Q23,2023-05-09,-10.9,-12.0,-17.0,-18.8,1.0,,1.564,,-0.826,1.0,2400.0,14.068441064638781,4.166666666666666,-5.931558935361219,-1.0,-2.0,-1.0,0.0,-1.0,1.0,,0.0,reiterated,,,none,,1.0,1.0,0.0,,0.0,
2023Q2,2Q23,2023-08-03,-0.5,-0.0,-3.5,-2.1,1.0,0.0,2.645,-2.126,4.037,0.0,3350.0,16.15811373092926,2.9850746268656714,-1.8418862690707414,1.0,2.0,1.0,0.0,1.0,1.0,,0.0,reiterated,,,none,,1.0,1.0,0.0,,0.0,
2023Q3,3Q23,2023-11-01,-3.3,-5.1,-1.5,-6.0,1.0,0.0,0.801,0.266,-1.376,1.0,2150.0,13.038906414300744,1.8604651162790697,-4.961093585699256,-1.0,-2.0,1.0,0.0,0.0,1.0,,1.5,raised,,,none,,1.0,2.0,0.0,20.0,1.0,
2023Q4,4Q23,2024-02-13,-1.7,-2.8,-1.0,-0.4,1.0,0.0,2.212,0.816,0.985,0.0,2050.0,12.761276127612753,1.951219512195122,-4.238723872387247,-1.0,-2.0,1.0,0.0,0.0,1.0,,0.0,first,-1.8357366138953282,,none,,1.0,2.0,0.0,,0.0,
2024Q1,1Q24,2024-05-08,-6.9,-7.1,-7.7,-10.6,1.0,0.0,3.981,0.379,-1.095,1.0,2710.0,9.09822866344605,2.214022140221402,-8.90177133655395,0.0,0.0,-1.0,0.0,1.0,,,0.0,reiterated,-1.8357366138953282,,none,,1.0,2.0,0.0,20.0,0.0,
2024Q2,2Q24,2024-08-06,-13.4,-12.3,-10.4,-15.6,0.0,,0.292,,-3.646,1.0,3700.0,8.91963497203414,1.6216216216216217,-2.0803650279658594,-1.0,-2.0,-1.0,0.0,1.0,1.0,,0.0,reiterated,-1.8357366138953282,,none,,1.0,2.0,0.0,,0.0,
2024Q3,3Q24,2024-11-07,-8.7,-8.8,-8.7,-7.7,0.0,1.0,0.323,1.153,-0.207,1.0,2415.0,8.881875563570784,2.070393374741201,-1.1181244364292162,1.0,2.0,-1.0,0.0,1.0,-1.0,,0.5,raised,-1.3357366138953282,,none,,1.0,4.0,0.0,25.0,1.0,
2024Q4,4Q24,2025-02-13,14.4,14.0,3.6,5.4,1.0,1.0,2.479,2.116,-2.174,1.0,2250.0,5.042016806722693,1.7777777777777777,-6.957983193277307,0.0,0.0,-1.0,0.0,-1.0,,,0.0,first,-1.8988470545847633,,none,,1.0,3.0,1.0,,0.0,
2025Q1,1Q25,2025-05-01,1.0,-0.5,1.9,0.5,1.0,0.0,0.531,-0.209,-0.658,1.0,3020.0,9.89810771470161,1.9867549668874174,3.8981077147016094,-1.0,-2.0,-1.0,0.0,0.0,1.0,,0.0,reiterated,-1.8988470545847633,,none,,1.0,2.0,1.0,,0.0,
2025Q2,2Q25,2025-08-06,-8.0,-8.4,-4.6,-6.9,1.0,0.0,1.842,0.787,0.247,0.0,4060.0,8.788853161843523,1.9704433497536946,-4.211146838156477,0.0,0.0,-1.0,0.0,1.0,0.0,,0.0,reiterated,-1.8988470545847633,,none,,1.0,2.0,1.0,,0.0,
2025Q3,3Q25,2025-11-06,0.3,0.6,0.5,1.1,0.0,1.0,0.368,1.404,0.749,0.0,2690.0,8.467741935483875,2.2304832713754648,-1.5322580645161246,,-3.789999999999999,-1.0,0.0,1.0,0.0,,0.5,raised,-1.3988470545847633,,none,,1.0,3.0,1.0,,1.0,
2025Q4,4Q25,2026-02-12,4.6,4.4,10.3,8.9,1.0,1.0,2.132,3.656,3.162,0.0,2610.0,14.876760563380277,1.532567049808429,2.8767605633802766,,-1.8200000000000003,0.0,0.0,,1.0,,0.0,first,,0.0,first,11.0,1.0,3.0,0.0,,0.0,0.0
2026Q1,1Q26,2026-05-07,0.7,-1.6,-4.8,-8.4,1.0,0.0,2.214,0.276,3.179,0.0,3570.0,15.310077519379849,1.680672268907563,-2.689922480620151,-1.0,-2.0,1.0,0.0,-1.0,1.0,,0.0,first,-0.10334123029164033,3.0,raised,14.0,1.0,3.0,0.0,,0.0,1.0
2026Q2,2Q26,2026-08-06,17.4,16.3,22.1,19.6,1.0,1.0,0.782,1.966,2.603,0.0,4730.0,15.506715506715496,1.6913319238900635,-1.493284493284504,,0.6600000000000001,-1.0,0.0,1.0,0.0,,0.5,raised,0.39665876970835967,1.0,raised,15.0,1.0,3.0,0.0,,1.0,1.0
