ticker,fy,revenue_musd,sbc_musd,buybacks_musd,rsu_tax_withholding_musd,fcf_musd,net_income_musd,diluted_wa_shares_m,sbc_pct_rev,sbc_pct_fcf,buyback_plus_withholding_pct_fcf,net_cash_return_pct_fcf,diluted_shares_yoy_pct,fcf_per_diluted_share,buyback_musd_per_1pct_share_cut,fcf_growth_22_25_pct,fcf_per_share_growth_22_25_pct
ABNB,2021,5992.0,899.0,0.0,177.0,2288.0,-352.0,616.0,15.0,39.3,7.7,-31.6,,3.71,,,
ABNB,2022,8399.0,930.0,1500.0,607.0,3405.0,1893.1,680.0,11.1,27.3,61.9,34.6,10.39,5.01,,,
ABNB,2023,9917.0,1100.0,2252.0,1224.0,3837.0,4791.8,662.0,11.1,28.7,90.6,61.9,-2.65,5.8,,,
ABNB,2024,11102.0,1400.0,3430.0,630.0,4484.0,2648.3,645.0,12.6,31.2,90.5,59.3,-2.57,6.95,,,
ABNB,2025,12241.0,1600.0,3789.0,561.0,4613.0,2511.3,623.0,13.1,34.7,94.3,59.6,-3.41,7.4,,,
ABNB,2023-2025 cumulative,,4100.0,11886.0,,,,,,,,60.2,-8.38,,1418.0,35.5,47.9
BKNG,2021,10958.0,370.0,163.0,163.0,2516.0,1165.0,41.4,3.4,14.7,13.0,-1.7,,60.83,,,
BKNG,2022,17090.0,404.0,6621.0,165.0,6186.0,3058.0,40.1,2.4,6.5,109.7,103.2,-3.17,154.45,,,
BKNG,2023,21365.0,530.0,10377.0,194.0,6999.0,4289.0,36.5,2.5,7.6,151.0,143.5,-8.79,191.6,,,
BKNG,2024,23739.0,599.0,6509.0,345.0,7894.0,5882.0,34.1,2.5,7.6,86.8,79.2,-6.75,231.74,,,
BKNG,2025,26917.0,613.0,6440.0,530.0,9087.0,5404.0,32.6,2.3,6.7,76.7,70.0,-4.18,278.41,,,
BKNG,2023-2025 cumulative,,1742.0,24395.0,,,,,,,,94.5,-18.51,,1318.0,46.9,80.3
