month,eu27_nights,eu27_domestic,eu27_foreign,eu27_yoy_pct,eu27_domestic_yoy_pct,eu27_foreign_yoy_pct,foreign_share_pct,AT_nights,BE_nights,BG_nights,CH_nights,CY_nights,CZ_nights,DE_nights,DK_nights,EE_nights,EL_nights,ES_nights,FI_nights,FR_nights,HR_nights,HU_nights,IE_nights,IS_nights,IT_nights,LI_nights,LT_nights,LU_nights,LV_nights,MT_nights,NL_nights,NO_nights,PL_nights,PT_nights,RO_nights,SE_nights,SI_nights,SK_nights
2018-01-01,15529049.0,5058353.0,10470696.0,,,,67.43,1208711.0,230427.0,100224.0,332029.0,63774.0,431533.0,1193626.0,130333.0,59676.0,213031.0,3720532.0,170201.0,3121377.0,94399.0,308707.0,178424.0,128215.0,1831471.0,883.0,54159.0,10334.0,36958.0,69223.0,307522.0,137313.0,800229.0,780816.0,117120.0,95773.0,69413.0,131056.0
2018-02-01,18592014.0,6629552.0,11962462.0,,,,64.34,1522655.0,273810.0,107252.0,504098.0,80625.0,512922.0,1485907.0,139864.0,48285.0,244034.0,4250153.0,193675.0,4198966.0,73728.0,322232.0,222963.0,176033.0,2153237.0,1213.0,45035.0,11062.0,28838.0,84467.0,359396.0,198150.0,831710.0,915879.0,132912.0,126250.0,71889.0,154268.0
2018-03-01,23628485.0,8066088.0,15562397.0,,,,65.86,1401393.0,361816.0,95147.0,456346.0,152957.0,554707.0,1904198.0,227859.0,60020.0,427814.0,5817924.0,208589.0,4833280.0,184800.0,437268.0,378380.0,205004.0,3076689.0,1141.0,59695.0,13952.0,40277.0,132428.0,548750.0,226687.0,799463.0,1440942.0,139929.0,139489.0,76647.0,114072.0
2018-04-01,27942458.0,8940032.0,19002426.0,,,,68.01,642029.0,476826.0,113749.0,304051.0,221841.0,629890.0,2007613.0,252296.0,66942.0,869957.0,6405052.0,144821.0,5543383.0,544193.0,568219.0,429871.0,146147.0,4531492.0,913.0,75921.0,16967.0,53232.0,202365.0,768598.0,167821.0,1005567.0,1851942.0,192816.0,137293.0,108964.0,80619.0
2018-05-01,34465513.0,9885171.0,24580342.0,,,,71.32,742051.0,505001.0,130340.0,364005.0,320990.0,787021.0,2786230.0,439196.0,91372.0,1399320.0,6848154.0,136252.0,6797942.0,1212664.0,637766.0,612685.0,192473.0,5489770.0,1087.0,106681.0,19396.0,78614.0,253496.0,868583.0,228874.0,1242294.0,2301951.0,209670.0,200625.0,151775.0,95674.0
2018-06-01,43406487.0,11809517.0,31596970.0,,,,72.79,864764.0,451665.0,329214.0,468490.0,443516.0,711886.0,2705928.0,434607.0,148686.0,2657853.0,9000485.0,221281.0,7287319.0,3159883.0,696877.0,703386.0,301797.0,7168327.0,1005.0,142864.0,19438.0,116967.0,300848.0,814463.0,357712.0,1392342.0,2754867.0,242918.0,301675.0,218801.0,115627.0
2018-07-01,76117667.0,21775387.0,54342280.0,,,,71.39,1773816.0,668097.0,675214.0,738022.0,570285.0,1079647.0,4003170.0,844155.0,267566.0,4592207.0,14523369.0,328062.0,14845184.0,7155147.0,1217585.0,984538.0,379170.0,11587560.0,1864.0,254104.0,23151.0,211294.0,414625.0,1094475.0,651986.0,2576495.0,4585550.0,443954.0,676525.0,467464.0,254428.0
2018-08-01,83546771.0,29770853.0,53775918.0,,,,64.37,1758331.0,706934.0,726493.0,734019.0,625108.0,1063756.0,3879098.0,755662.0,211186.0,5096128.0,16839627.0,289913.0,17581413.0,7391293.0,1310083.0,1088220.0,402188.0,12557755.0,2045.0,242280.0,21720.0,204576.0,445390.0,1153351.0,566158.0,2518201.0,5180347.0,594991.0,515170.0,513468.0,276277.0
2018-09-01,43132226.0,11910983.0,31221243.0,,,,72.38,857485.0,463259.0,262139.0,435999.0,515472.0,736367.0,3159526.0,356913.0,84094.0,2825333.0,9262410.0,167907.0,6787588.0,2435784.0,686189.0,608793.0,268842.0,7281906.0,1234.0,100558.0,20500.0,76589.0,318364.0,763650.0,250946.0,1391870.0,3097596.0,292517.0,210526.0,235716.0,133175.0
2018-10-01,31947547.0,9281405.0,22666142.0,,,,70.95,715781.0,512846.0,109717.0,358673.0,412943.0,708630.0,2960508.0,304241.0,81675.0,1177057.0,7438260.0,160052.0,5494690.0,632054.0,607737.0,496130.0,216265.0,4938337.0,1035.0,74620.0,20304.0,60462.0,286114.0,763490.0,199339.0,1080394.0,2298706.0,219696.0,174039.0,112664.0,106400.0
2018-11-01,18365997.0,6650570.0,11715427.0,,,,63.79,519229.0,387306.0,76226.0,216474.0,148969.0,458768.0,1628763.0,197072.0,65872.0,411599.0,4614588.0,156968.0,3442883.0,136401.0,435436.0,316511.0,141155.0,2291911.0,597.0,60855.0,19058.0,49582.0,120409.0,455402.0,149106.0,837718.0,1091839.0,195602.0,119675.0,53799.0,73556.0
2018-12-01,25240485.0,9826464.0,15414021.0,,,,61.07,1367807.0,513053.0,116919.0,476417.0,125895.0,724378.0,2261029.0,248499.0,94927.0,426028.0,5668198.0,280300.0,5549389.0,227932.0,549479.0,338029.0,157108.0,2953050.0,857.0,81997.0,19137.0,63373.0,114345.0,537065.0,198979.0,1113724.0,1246518.0,210843.0,163680.0,108743.0,136148.0
2019-01-01,18459351.0,6139233.0,12320118.0,18.87,21.37,17.66,66.74,1365713.0,282760.0,112292.0,383092.0,99735.0,505284.0,1509718.0,144012.0,72959.0,303388.0,4341121.0,198209.0,3714503.0,92697.0,372702.0,226209.0,116387.0,2093202.0,780.0,62978.0,14871.0,51101.0,85226.0,351155.0,168497.0,982521.0,955195.0,172582.0,121171.0,71327.0,156720.0
2019-02-01,22020746.0,8225167.0,13795579.0,18.44,24.07,15.32,62.65,1817567.0,328392.0,119142.0,552412.0,113238.0,587602.0,1771463.0,148702.0,58198.0,320465.0,4889462.0,217160.0,5092539.0,95330.0,389237.0,263305.0,159972.0,2447755.0,1231.0,54587.0,14911.0,39176.0,93777.0,385023.0,245127.0,1094381.0,1047727.0,180280.0,167560.0,78983.0,204784.0
2019-03-01,24009578.0,8299602.0,15709976.0,1.61,2.9,0.95,65.43,1383884.0,414004.0,109030.0,494220.0,174249.0,530154.0,2003719.0,194046.0,66444.0,477636.0,5696901.0,214562.0,4978269.0,156631.0,466160.0,421097.0,173175.0,3061081.0,1141.0,69764.0,18718.0,48099.0,126771.0,519405.0,240602.0,936114.0,1421553.0,187300.0,151919.0,67824.0,114244.0
2019-04-01,38096664.0,13061155.0,25035509.0,36.34,46.1,31.75,65.72,1014608.0,659768.0,121615.0,415610.0,299397.0,796019.0,3115871.0,355912.0,86211.0,1229992.0,8330262.0,176211.0,7568503.0,762946.0,755694.0,589506.0,126898.0,6121457.0,1246.0,93533.0,23206.0,76869.0,260118.0,1020145.0,229964.0,1366652.0,2499220.0,284016.0,194522.0,163906.0,130505.0
2019-05-01,36750474.0,11127152.0,25623322.0,6.63,12.56,4.24,69.72,811642.0,579787.0,134860.0,415835.0,351996.0,805177.0,3058450.0,400232.0,120192.0,1539456.0,7606919.0,180493.0,6740921.0,1133096.0,733434.0,653322.0,138338.0,5676644.0,1391.0,129263.0,23722.0,111900.0,279215.0,840701.0,258084.0,1496208.0,2492017.0,283011.0,241201.0,160661.0,165954.0
2019-06-01,53933269.0,15708711.0,38224558.0,24.25,33.02,20.98,70.87,1251462.0,628744.0,335012.0,607058.0,507673.0,867511.0,3837786.0,504213.0,173043.0,3177235.0,10375024.0,268949.0,9444840.0,3747828.0,874387.0,794161.0,239774.0,8945925.0,1468.0,180419.0,27029.0,147304.0,355988.0,991206.0,442952.0,1954225.0,3299935.0,368053.0,410523.0,286264.0,178530.0
2019-07-01,85759459.0,25892748.0,59866711.0,12.67,18.91,10.17,69.81,1970233.0,857811.0,693822.0,873540.0,630141.0,1182738.0,4990311.0,1024898.0,300215.0,5314012.0,15802640.0,407598.0,16687646.0,7559899.0,1324650.0,1091609.0,324862.0,12993808.0,2117.0,292229.0,30930.0,271958.0,483205.0,1233828.0,805103.0,3226601.0,4961228.0,643299.0,902975.0,552600.0,328575.0
