quarter,reaction_date,abnb_1d_pct,qqq_1d_pct,excess_1d_pct,abnb_5d_pct,qqq_5d_pct,excess_5d_pct,abnb_20d_pct,qqq_20d_pct,excess_20d_pct
2020Q4,2021-02-26,13.3,0.4,12.9,-1.0,-2.8,1.8,-3.2,-0.5,-2.8
2021Q1,2021-05-14,4.0,2.2,1.8,0.3,3.0,-2.6,9.3,6.9,2.5
2021Q2,2021-08-13,1.1,0.4,0.7,-5.6,-1.0,-4.7,9.3,2.5,6.8
2021Q3,2021-11-05,13.0,0.1,12.9,7.4,-1.9,9.3,-6.6,-3.8,-2.8
2021Q4,2022-02-16,3.6,-0.0,3.7,-16.7,-7.5,-9.2,-13.5,-4.4,-9.1
2022Q1,2022-05-04,7.7,3.4,4.3,-19.9,-5.7,-14.2,-19.5,-4.0,-15.5
2022Q2,2022-08-03,-1.1,2.7,-3.9,-1.6,0.9,-2.5,-3.2,-4.2,1.0
2022Q3,2022-11-02,-13.4,-3.4,-10.0,-9.3,-2.0,-7.3,-6.3,6.6,-13.0
2022Q4,2023-02-15,13.4,0.8,12.6,5.2,-4.1,9.3,-6.0,-2.5,-3.5
2023Q1,2023-05-10,-10.9,1.1,-12.0,-17.0,1.7,-18.8,-8.3,8.5,-16.7
2023Q2,2023-08-04,-0.5,-0.5,-0.0,-3.5,-1.4,-2.1,-6.6,1.1,-7.7
2023Q3,2023-11-02,-3.3,1.8,-5.1,-1.5,4.5,-6.0,5.8,8.9,-3.2
2023Q4,2024-02-14,-1.7,1.1,-2.8,-1.0,-0.7,-0.4,9.2,2.7,6.5
2024Q1,2024-05-09,-6.9,0.2,-7.1,-7.7,2.9,-10.6,-6.9,5.3,-12.2
2024Q2,2024-08-07,-13.4,-1.1,-12.3,-10.4,5.2,-15.6,-11.7,4.8,-16.5
2024Q3,2024-11-08,-8.7,0.1,-8.8,-8.7,-0.9,-7.7,-7.1,2.5,-9.6
2024Q4,2025-02-14,14.4,0.4,14.0,3.6,-1.8,5.4,-12.9,-10.5,-2.4
2025Q1,2025-05-02,1.0,1.5,-0.5,1.9,1.4,0.5,4.0,7.8,-3.7
2025Q2,2025-08-07,-8.0,0.3,-8.4,-4.6,2.3,-6.9,-3.9,1.4,-5.3
2025Q3,2025-11-07,0.3,-0.3,0.6,0.5,-0.5,1.1,3.1,2.3,0.9
2025Q4,2026-02-13,4.6,0.2,4.4,10.3,1.4,8.9,8.9,-1.2,10.1
2026Q1,2026-05-08,0.7,2.3,-1.6,-4.8,3.6,-8.4,-4.9,1.5,-6.4
2026Q2,2026-08-07,17.4,1.2,16.3,22.1,2.4,19.6,,,
