geo,country,platform_nights_2024,platform_nights_2019,hotel_nights_2024,hotel_nights_2019,hotel_bedplaces_2024,hotel_bedplaces_2019,platform_share_2019,hotel_bed_occupancy_2019,platform_nights_per_hotel_bed_2019,platform_share_2024,hotel_bed_occupancy_2024,platform_nights_per_hotel_bed_2024,platform_share_chg_pts,hotel_occ_chg_pts,platform_growth_19_24,hotel_growth_19_24
EU27_2020,EU27,854082808.0,511938537.0,1897604098.0,1855029070.0,12899728.0,12322551.0,0.21628455560017304,0.41243663139698383,41.544850331721086,0.31038516996162935,0.40302519068512926,66.20936565484172,9.41006143614563,-0.9411440711854568,0.6683307590106271,0.02295113790319192
BE,Belgium,12279996.0,6987262.0,20928319.0,20794744.0,148602.0,137484.0,0.2515031491966419,0.41438932071996026,50.82236478426581,0.36978678382206387,0.38584850993911657,82.63681511688941,11.828363462542196,-2.8540810780843695,0.7574832602527284,0.00642349816857557
BG,Bulgaria,4447248.0,3047122.0,25357407.0,24922811.0,299560.0,288027.0,0.10894277079605447,0.23706692071438698,10.57929291351158,0.1492132017632816,0.23191463461478662,14.845934036586995,4.027043096722712,-0.5152286099600362,0.45949128390658456,0.017437679882899237
CZ,Czechia,10679258.0,9400553.0,44049184.0,42008870.0,366610.0,328501.0,0.18285661366010664,0.35035751647802577,28.616512582914513,0.19513177444371613,0.329185499278282,29.129750961512233,1.227516078360949,-2.1172017199743767,0.136024444519381,0.04856864752610579
DK,Denmark,7286822.0,4681072.0,19983774.0,17067618.0,124531.0,104702.0,0.21523466470854108,0.4466065334021697,44.70852514756165,0.26720435446295343,0.4396500931769974,58.51412098192418,5.196968975441235,-0.6956440225172333,0.556656680350142,0.17085899157105588
DE,Germany,60420008.0,37235826.0,299948569.0,306848903.0,1941784.0,1889315.0,0.10821702581284856,0.4449665228018606,19.70863831600342,0.1676616993162531,0.42320716483906706,31.1157203890855,5.944467350340455,-2.1759357962793544,0.6226310650393521,-0.022487725823807203
EE,Estonia,1770581.0,1523338.0,5204723.0,5541070.0,35844.0,35909.0,0.21563562013972012,0.42276347708457873,42.422178283995656,0.25383567511896254,0.39782153410593546,49.396858609530184,3.820005497924242,-2.4941942978643272,0.1623034415211857,-0.060700731086234194
IE,Ireland,7440601.0,6911663.0,26633814.0,29530645.0,171925.0,158511.0,0.18966040789732638,0.5104117487892245,43.603680501668656,0.21836327931088473,0.4244254961445836,43.27817943870874,2.8702871413558344,-8.598625264464088,0.07652832610617732,-0.09809575781362034
EL,Greece,45371401.0,24302149.0,116878400.0,109206980.0,906866.0,841114.0,0.1820261219740262,0.3557154030006064,28.892812389283737,0.27963917810906896,0.35310045201887374,50.03098693743067,9.761305613504275,-0.26149509817326444,0.8669707357978917,0.07024660877903588
ES,Spain,170591544.0,105601983.0,363065079.0,342995595.0,2043972.0,1954825.0,0.23540471054438017,0.48071513250756953,54.021195247656436,0.319665374039591,0.4866499377561642,83.46080278986209,8.426066349521083,0.5934805248594688,0.6154198922571368,0.058512366609256405
