horizon,id,p_in_force,expected_loss_pct,loss_if_occurs_pct,variance_share
2027,EU-AHA,0.1204,0.1842,1.5305,0.3951
2027,EU-TAIL,0.0199,0.076,3.8228,0.3842
2027,ES-FINE,0.5496,0.0,0.0,0.0
2027,ES-REMOVE,0.3493,0.0871,0.2493,0.0467
2027,ES-REGIONS,0.4502,0.0825,0.1833,0.0335
2027,BCN-2028,0.0,0.0,0.0,0.0
2027,BCN-PARTIAL,0.0,0.0,0.0,0.0
2027,MAUI,0.0,0.0,0.0,0.0
2027,PARIS-PRO,0.2994,0.0649,0.2168,0.0374
2027,PARIS-COPRO,0.9012,0.0301,0.0334,0.0017
2027,GR-FREEZE,0.7004,0.0444,0.0634,0.0079
2027,IE-REG,0.3517,0.0305,0.0867,0.0139
2027,UK-ENG,0.2006,0.0207,0.1032,0.0137
2027,IT-NAT,0.3002,0.047,0.1567,0.026
2027,PT-RETIGHT,0.2016,0.0201,0.0999,0.0134
2027,NL-AMS,0.3009,0.01,0.0333,0.0049
2027,US-CITY,0.3007,0.0661,0.2198,0.0095
2027,NYC-LOOSEN,0.1999,-0.028,-0.14,0.0024
2027,CHI-SUIT,0.4014,0.016,0.0399,0.0005
2027,COMPLIANCE,0.9003,0.1261,0.14,0.0091
2030,EU-AHA,0.4496,0.6889,1.5323,0.3428
2030,EU-TAIL,0.08,0.3064,3.8293,0.4574
2030,ES-FINE,0.6988,0.0,0.0,0.0
2030,ES-REMOVE,0.5491,0.1643,0.2992,0.0351
2030,ES-REGIONS,0.6515,0.1552,0.2383,0.0253
2030,BCN-2028,0.4512,0.1084,0.2402,0.0265
2030,BCN-PARTIAL,0.3026,0.0333,0.1099,-0.0032
2030,MAUI,0.4016,0.0308,0.0766,0.0006
2030,PARIS-PRO,0.5496,0.143,0.2602,0.0296
2030,PARIS-COPRO,0.9499,0.0476,0.0501,0.0012
2030,GR-FREEZE,0.8005,0.0913,0.114,0.0081
2030,IE-REG,0.551,0.0478,0.0867,0.009
2030,UK-ENG,0.4501,0.0605,0.1344,0.0146
2030,IT-NAT,0.6001,0.1316,0.2194,0.024
2030,PT-RETIGHT,0.3512,0.0421,0.12,0.0123
2030,NL-AMS,0.4999,0.02,0.04,0.0041
2030,US-CITY,0.5482,0.1566,0.2857,0.0072
2030,NYC-LOOSEN,0.3509,-0.0491,-0.1401,0.0008
2030,CHI-SUIT,0.6005,0.024,0.0399,0.0003
2030,COMPLIANCE,0.9505,0.1597,0.1681,0.0044
