crawl,rows,status_200,full_renders,unique_ids,unique_ids_full,domains,first_capture,last_capture,with_check_in,crawl_date
CC-MAIN-2021-04,85714,80870,80869,76249,72071,9,2021-01-25 00:00:00,2021-01-25 00:00:00,277,2021-01-25
CC-MAIN-2021-10,90742,85845,85815,79556,75520,9,2021-03-08 00:00:00,2021-03-08 00:00:00,629,2021-03-08
CC-MAIN-2021-17,90767,86422,85241,80980,76135,9,2021-04-26 00:00:00,2021-04-26 00:00:00,336,2021-04-26
CC-MAIN-2021-21,87029,86648,82754,72161,68412,9,2021-05-24 00:00:00,2021-05-24 00:00:00,440,2021-05-24
CC-MAIN-2021-25,58052,57741,54756,54008,51071,9,2021-06-21 00:00:00,2021-06-21 00:00:00,456,2021-06-21
CC-MAIN-2021-31,76823,76520,73244,71297,68118,9,2021-08-02 00:00:00,2021-08-02 00:00:00,350,2021-08-02
CC-MAIN-2021-39,111882,111686,107005,86457,82768,9,2021-09-27 00:00:00,2021-09-27 00:00:00,521,2021-09-27
CC-MAIN-2021-43,79892,79751,75668,52993,49655,9,2021-10-25 00:00:00,2021-10-25 00:00:00,584,2021-10-25
CC-MAIN-2021-49,88364,88147,82451,57587,52988,9,2021-12-06 00:00:00,2021-12-06 00:00:00,1431,2021-12-06
CC-MAIN-2022-05,67164,66995,62119,32318,29109,9,2022-01-31 00:00:00,2022-01-31 00:00:00,838,2022-01-31
CC-MAIN-2022-21,36264,33668,32240,34670,31082,9,2022-05-23 00:00:00,2022-05-23 00:00:00,718,2022-05-23
CC-MAIN-2022-27,53951,46740,46739,51655,44876,9,2022-07-04 00:00:00,2022-07-04 00:00:00,4947,2022-07-04
CC-MAIN-2022-33,52950,48325,48324,49720,45537,9,2022-08-15 00:00:00,2022-08-15 00:00:00,6399,2022-08-15
CC-MAIN-2022-40,45064,40475,40475,42394,38258,6,2022-10-03 00:00:00,2022-10-03 00:00:00,7607,2022-10-03
CC-MAIN-2022-49,44215,38989,38976,42056,37326,6,2022-12-05 00:00:00,2022-12-05 00:00:00,5757,2022-12-05
CC-MAIN-2023-06,48680,37503,37472,46526,36128,6,2023-02-06 00:00:00,2023-02-06 00:00:00,1718,2023-02-06
CC-MAIN-2023-14,22567,17777,17767,20959,16760,6,2023-03-20 08:42:51,2023-04-03 00:00:00,1438,2023-04-03
CC-MAIN-2023-23,31981,25496,25496,30296,24627,6,2023-05-27 22:37:23,2023-06-11 02:11:21,1342,2023-06-05
CC-MAIN-2023-40,42265,33747,33744,40634,32574,6,2023-09-21 07:38:25,2023-10-05 04:04:43,1704,2023-10-02
CC-MAIN-2023-50,54872,43347,37324,52344,35889,9,2023-11-28 08:40:37,2023-12-12 00:00:08,2497,2023-12-11
