eu27_nights,eu27_yoy_pct,quarter,emea_usd_m,emea_yoy_pct,total_rev_yoy_pct,nights_yoy_pct,emea_minus_platform_pts
57749548.0,,1Q18,,,,,
105814458.0,,2Q18,,,,,
202796664.0,,3Q18,,,,,
75554029.0,,4Q18,,,,,
64489675.0,11.67,1Q19,,,,,
128780407.0,21.7,2Q19,,,,,
230403933.0,13.61,3Q19,,,,,
88264522.0,16.82,4Q19,,,,,
62358766.0,-3.3,1Q20,,,,,
23469043.0,-81.78,2Q20,,,,,
151806143.0,-34.11,3Q20,,,,,
34064103.0,-61.41,4Q20,,,,,
27090294.0,-56.56,1Q21,,,,,
56690137.0,141.55,2Q21,,,,,
202338742.0,33.29,3Q21,,,,,
77798479.0,128.39,4Q21,,,,,
72001639.0,165.78,1Q22,,,,58.54,
143806967.0,153.67,2Q22,,,,24.79,
272829519.0,34.84,3Q22,,,,25.09,
107908771.0,38.7,4Q22,556.0,,,20.16,
96398018.0,33.88,1Q23,458.0,,,18.61,
179782435.0,25.02,2Q23,941.0,,,10.99,
310449599.0,13.79,3Q23,1533.0,,,13.54,
132354671.0,22.65,4Q23,683.0,22.84,16.61,12.02,0.19
123707297.0,28.33,1Q24,567.0,23.8,17.82,9.5,-4.53
208824705.0,16.15,2Q24,1048.0,11.37,10.63,8.69,-4.78
366190026.0,17.95,3Q24,1726.0,12.59,9.86,8.48,-5.37
155360780.0,17.38,4Q24,794.0,16.25,11.81,12.35,-1.13
131493694.0,6.29,1Q25,597.0,5.29,6.07,7.92,-1.0
245677191.0,17.65,2Q25,1233.0,17.65,12.66,7.43,0.01
402126442.0,9.81,3Q25,1969.0,14.08,9.73,8.79,4.27
172314535.0,10.91,4Q25,930.0,17.13,12.02,9.82,6.22
144286951.0,9.73,1Q26,747.0,25.13,17.87,9.15,15.4
