year,lever,unit,base_value,model_growth_at_base,target_scenario,target_na_growth,required_value,reachable_in_bracket,evidence
2026,Category adoption (own-category nights growth),%,0.04,0.0331,bear,0.045,0.0591,True,Inverting the model on disclosed NA nights gives 7.9% (2024) -> 4.5% (2025). 4% is the observed 2025 exit rate. category_adoption_evidence.csv
2026,Category adoption (own-category nights growth),%,0.04,0.0331,base,0.07,0.099,True,Inverting the model on disclosed NA nights gives 7.9% (2024) -> 4.5% (2025). 4% is the observed 2025 exit rate. category_adoption_evidence.csv
2026,Category adoption (own-category nights growth),%,0.04,0.0331,bull,0.09,0.131,True,Inverting the model on disclosed NA nights gives 7.9% (2024) -> 4.5% (2025). 4% is the observed 2025 exit rate. category_adoption_evidence.csv
2026,"Product shift (logit points, one year)",logit,0.0,0.0331,bear,0.045,0.0329,True,"Set to zero in the model. Management quantified RNPL + cancellation redesign + single fee at ~3 pts of nights growth and ~4 pts of GBV in 1Q26 (Mertz, 1Q26 call). This is the lever that bucket belongs in."
2026,"Product shift (logit points, one year)",logit,0.0,0.0331,base,0.07,0.0991,True,"Set to zero in the model. Management quantified RNPL + cancellation redesign + single fee at ~3 pts of nights growth and ~4 pts of GBV in 1Q26 (Mertz, 1Q26 call). This is the lever that bucket belongs in."
2026,"Product shift (logit points, one year)",logit,0.0,0.0331,bull,0.09,0.1495,True,"Set to zero in the model. Management quantified RNPL + cancellation redesign + single fee at ~3 pts of nights growth and ~4 pts of GBV in 1Q26 (Mertz, 1Q26 call). This is the lever that bucket belongs in."
2026,U.S. lodging demand growth (contestable pool),%,0.017,0.0331,bear,0.045,0.0487,True,"CoStar/Tourism Economics Aug-2026: demand +1.7% 2026, +1.1% 2027. An independent third-party forecast for the whole U.S. market."
2026,U.S. lodging demand growth (contestable pool),%,0.017,0.0331,base,0.07,0.1151,True,"CoStar/Tourism Economics Aug-2026: demand +1.7% 2026, +1.1% 2027. An independent third-party forecast for the whole U.S. market."
2026,U.S. lodging demand growth (contestable pool),%,0.017,0.0331,bull,0.09,0.1682,True,"CoStar/Tourism Economics Aug-2026: demand +1.7% 2026, +1.1% 2027. An independent third-party forecast for the whole U.S. market."
2026,Airbnb ADR growth (share via the price gap),%,0.035,0.0331,bear,0.045,0.0282,True,"Team WS13 base ex-FX: FY26 ~+3.5%, FY27/28 +2.5%. Bear +2.0% / bull +4.0% for 2H26. Lower ADR buys share but costs the ADR line one-for-one."
2026,Airbnb ADR growth (share via the price gap),%,0.035,0.0331,base,0.07,0.0147,True,"Team WS13 base ex-FX: FY26 ~+3.5%, FY27/28 +2.5%. Bear +2.0% / bull +4.0% for 2H26. Lower ADR buys share but costs the ADR line one-for-one."
2026,Airbnb ADR growth (share via the price gap),%,0.035,0.0331,bull,0.09,0.0045,True,"Team WS13 base ex-FX: FY26 ~+3.5%, FY27/28 +2.5%. Bear +2.0% / bull +4.0% for 2H26. Lower ADR buys share but costs the ADR line one-for-one."
2026,Switch rate,x,5.0,0.0331,bear,0.045,,False,"Central 5.0, grid 2.5-10.3, anchored on F&F Table E9. No direct estimate; the cross-city attempt was a recorded null."
2026,Switch rate,x,5.0,0.0331,base,0.07,,False,"Central 5.0, grid 2.5-10.3, anchored on F&F Table E9. No direct estimate; the cross-city attempt was a recorded null."
2026,Switch rate,x,5.0,0.0331,bull,0.09,,False,"Central 5.0, grid 2.5-10.3, anchored on F&F Table E9. No direct estimate; the cross-city attempt was a recorded null."
2026,Contestable share of Airbnb nights,%,0.38,0.0331,bear,0.045,0.0908,True,"Farronato & Fradkin (AER 2022): 62% would not have used a hotel. Validated out-of-sample on NYC Local Law 18 (predicted hotel ADR +4.0-6.5%, observed +4.7-6.3%)."
2026,Contestable share of Airbnb nights,%,0.38,0.0331,base,0.07,,False,"Farronato & Fradkin (AER 2022): 62% would not have used a hotel. Validated out-of-sample on NYC Local Law 18 (predicted hotel ADR +4.0-6.5%, observed +4.7-6.3%)."
2026,Contestable share of Airbnb nights,%,0.38,0.0331,bull,0.09,,False,"Farronato & Fradkin (AER 2022): 62% would not have used a hotel. Validated out-of-sample on NYC Local Law 18 (predicted hotel ADR +4.0-6.5%, observed +4.7-6.3%)."
2027,Category adoption (own-category nights growth),%,0.04,0.0231,bear,0.03,0.0509,True,Inverting the model on disclosed NA nights gives 7.9% (2024) -> 4.5% (2025). 4% is the observed 2025 exit rate. category_adoption_evidence.csv
2027,Category adoption (own-category nights growth),%,0.04,0.0231,base,0.06,0.0981,True,Inverting the model on disclosed NA nights gives 7.9% (2024) -> 4.5% (2025). 4% is the observed 2025 exit rate. category_adoption_evidence.csv
