ym,market,flight,source,party_size_month,party_size_month_py,party_size_ytd,party_size_ytd_py,visitors_month,visitors_month_py,visitors_ytd,visitors_ytd_py,visitor_days_month,visitor_days_ytd,acc_plan_to_stay_in_hotel_month,acc_plan_to_stay_in_hotel_ytd,acc_hotel_only_month,acc_hotel_only_ytd,acc_plan_to_stay_in_condo_month,acc_plan_to_stay_in_condo_ytd,acc_condo_only_month,acc_condo_only_ytd,acc_plan_to_stay_in_timeshare_month,acc_plan_to_stay_in_timeshare_ytd,acc_timeshare_only_month,acc_timeshare_only_ytd,acc_cruise_ship_month,acc_cruise_ship_ytd,acc_friends_relatives_month,acc_friends_relatives_ytd,acc_bed_breakfast_month,acc_bed_breakfast_ytd,acc_other_month,acc_other_ytd,acc_rental_house_month,acc_rental_house_ytd,acc_hostel_month,acc_hostel_ytd,acc_camp_site_beach_month,acc_camp_site_beach_ytd,acc_private_room_in_private_home_month,acc_private_room_in_private_home_ytd,acc_shared_room_space_in_private_home_month,acc_shared_room_space_in_private_home_ytd
2014-01,all,total,2014-01.xls,2.06,2.0276046778259467,2.06,2.0276046778259467,664954.2791740065,663672.0,664954.2791740065,663672.0,7041275.0,7041275.0,417217.15463455813,417217.15463455813,364133.2426553222,364133.2426553222,127217.30800643968,127217.30800643968,99101.656460441,99101.656460441,57517.20066946849,57517.20066946849,42485.45811207871,42485.45811207871,11849.801343612062,11849.801343612062,58078.832545245874,58078.832545245874,7963.381412875963,7963.381412875963,10489.842836366264,10489.842836366264,,,,,,,,,,
2014-01,all,domestic,2014-01.xls,1.8655780469185481,1.838209235527286,1.8655780469185481,1.838209235527286,,,,,,,229280.5735213905,229280.5735213905,187757.69682146425,187757.69682146425,90533.66724591293,90533.66724591293,69819.01418270529,69819.01418270529,47836.73656104266,47836.73656104266,35436.0456807263,35436.0456807263,10196.175905836184,10196.175905836184,51191.915345846115,51191.915345846115,6307.893901358653,6307.893901358653,9665.024087616088,9665.024087616088,,,,,,,,,,
2014-01,all,international,2014-01.xls,2.3953884469368325,2.553400872794568,2.3953884469368325,2.553400872794568,,,,,,,187936.5811131676,187936.5811131676,176375.5458338579,176375.5458338579,36683.64076052675,36683.64076052675,29282.642277735707,29282.642277735707,9680.464108425831,9680.464108425831,7049.412431352408,7049.412431352408,1653.6254377758776,1653.6254377758776,6886.917199399759,6886.917199399759,1655.4875115173097,1655.4875115173097,824.8187487501759,824.8187487501759,,,,,,,,,,
2014-01,us_west,total,2014-01.xls,1.9,1.8826291130521415,1.9,1.8826291130521415,231870.82061544256,242924.0,231870.82061544256,242924.0,2550243.0,2550243.0,111775.29899563629,111775.29899563629,93496.01212979507,93496.01212979507,54833.865098924936,54833.865098924936,44246.793417640365,44246.793417640365,27286.260051616282,27286.260051616282,21083.299243347636,21083.299243347636,2566.2756068817444,2566.2756068817444,31052.986452565594,31052.986452565594,2965.487154635767,2965.487154635767,5323.040527404091,5323.040527404091,,,,,,,,,,
2014-01,us_east,total,2014-01.xls,1.79,1.7639482148203538,1.79,1.7639482148203538,146189.71603823104,152416.0,146189.71603823104,152416.0,1870471.0,1870471.0,88102.40763177724,88102.40763177724,69910.6562245428,69910.6562245428,24907.065573057498,24907.065573057498,17316.25232036495,17316.25232036495,17042.43468247409,17042.43468247409,11955.43520010939,11955.43520010939,6387.220419534312,6387.220419534312,17182.663201088366,17182.663201088366,2177.6919735203423,2177.6919735203423,3367.124052377046,3367.124052377046,,,,,,,,,,
2014-01,japan,total,2014-01.xls,2.47,2.738646147321814,2.47,2.738646147321814,126329.97035215846,118050.0,126329.97035215846,118050.0,719770.0,719770.0,112367.5481274332,112367.5481274332,109437.7813132316,109437.7813132316,10865.746896561148,10865.746896561148,9216.901067097911,9216.901067097911,4206.503858119864,4206.503858119864,3041.283121611988,3041.283121611988,672.6070263729744,672.6070263729744,1095.6747626240121,1095.6747626240121,140.81907541015457,140.81907541015457,92.1124660168444,92.1124660168444,,,,,,,,,,
2014-01,canada,total,2014-01.xls,2.09,2.111093166394798,2.09,2.111093166394798,70167.30022401255,67323.0,70167.30022401255,67323.0,1042557.0,1042557.0,29960.542441367288,29960.542441367288,22745.180004813585,22745.180004813585,28878.1725980915,28878.1725980915,23918.131117650257,23918.131117650257,7227.311696463341,7227.311696463341,5086.376221025506,5086.376221025506,969.0513579432658,969.0513579432658,3398.3297704868082,3398.3297704868082,1179.3695154583352,1179.3695154583352,759.5819953712901,759.5819953712901,,,,,,,,,,
2014-02,all,total,2014-02.xls,2.07,1.9709444899644701,2.0648687262171777,1.943331177575115,630931.123394165,650131.0,1295885.4025681715,1313803.0,5927394.0,12968669.0,405059.7962947466,822276.9509293047,354231.91349482595,718365.1561501481,114513.0920378439,241730.4000442836,87737.119356351,186838.77581679198,50070.27314398839,107587.47381345688,37221.745678762934,79707.20379084165,9754.960403374724,21604.761746986784,55948.09068057802,114026.92322582389,7879.754474154724,15843.135887030687,7942.219316987477,18432.06215335374,,,,,,,,,,
2014-02,all,domestic,2014-02.xls,1.9077651353752771,1.887583325704283,1.8862619917984411,1.862430357919471,,,,,,,227398.8961038044,456679.4696251949,187271.5278763902,375029.2246978545,82638.7319431013,173172.39918901422,62917.768059458336,132736.7822421636,42133.194438955805,89969.93099999847,31197.30716159112,66633.35284231743,8336.537736311548,18532.713642147733,50147.371204398274,101339.28655024439,6414.15794042739,12722.051841786044,7339.6577868084705,17004.681874424557,,,,,,,,,,
2014-02,all,international,2014-02.xls,2.3833239529297923,2.12964393984425,2.3895897575618017,2.155417484833283,,,,,,,177660.9001909422,365597.4813041098,166960.38561843574,343335.93145229365,31874.360094742606,68558.00085526936,24819.351296892673,54101.99357462838,7937.078705032581,17617.54281345841,6024.4385171718095,13073.850948524218,1418.4226670631751,3072.048104839053,5800.7194761797455,12687.636675579504,1465.5965337273344,3121.084045244644,602.5615301790067,1427.3802789291826,,,,,,,,,,
