quarter,revenue_yoy_pct,nights_pts,adr_exfx_pts,fx_pts,take_rate_pts,residual_pts
1Q22,70.12,60.82,10.64,-4.0,2.45,0.21
2Q22,57.6,28.04,7.78,-6.0,27.47,0.31
3Q22,28.92,25.49,12.43,-7.0,-1.9,-0.1
4Q22,24.15,20.51,6.42,-7.0,4.29,-0.06
1Q23,20.48,18.76,4.24,-4.0,1.72,-0.24
2Q23,18.06,11.35,2.5,-1.0,5.39,-0.17
3Q23,17.79,13.8,-0.62,4.0,0.44,0.17
4Q23,16.61,12.27,-0.26,3.0,1.68,-0.07
1Q24,17.82,9.86,2.83,0.0,5.26,-0.13
2Q24,10.63,8.77,2.21,0.0,-0.35,0.0
3Q24,9.86,8.54,1.46,0.0,0.02,-0.16
4Q24,11.81,12.32,0.94,0.0,-1.63,0.18
1Q25,6.07,7.85,1.08,-2.0,-0.89,0.03
2Q25,12.66,7.62,3.06,0.0,1.72,0.27
3Q25,9.73,8.83,4.79,0.0,-3.94,0.05
4Q25,12.02,9.92,5.1,1.0,-3.62,-0.39
1Q26,17.87,9.52,6.4,3.0,-1.2,0.15
2Q26,16.54,10.63,1.58,4.0,0.74,-0.42
