market,q,bucket,room,reviews,mention_any,headcount_n,headcount_mean,share_solo,share_couple,share_family,share_group,cond_solo,cond_couple,cond_family,cond_group
australia_qld_sunshine-coast_2026-07-26,2013Q1,1-2,entire,2,0.5,0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0
australia_qld_sunshine-coast_2026-07-26,2013Q1,3-4,entire,1,0.0,0,,0.0,0.0,0.0,0.0,,,,
australia_qld_sunshine-coast_2026-07-26,2013Q1,7+,entire,3,0.3333333333333333,0,,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0
australia_qld_sunshine-coast_2026-07-26,2013Q2,1-2,entire,3,0.3333333333333333,0,,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0
australia_qld_sunshine-coast_2026-07-26,2013Q3,1-2,entire,7,0.0,0,,0.0,0.0,0.0,0.0,,,,
australia_qld_sunshine-coast_2026-07-26,2013Q3,1-2,room,4,0.0,0,,0.0,0.0,0.0,0.0,,,,
australia_qld_sunshine-coast_2026-07-26,2013Q3,3-4,entire,2,0.0,0,,0.0,0.0,0.0,0.0,,,,
australia_qld_sunshine-coast_2026-07-26,2013Q4,1-2,entire,10,0.1,0,,0.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0
australia_qld_sunshine-coast_2026-07-26,2013Q4,1-2,room,3,0.0,0,,0.0,0.0,0.0,0.0,,,,
australia_qld_sunshine-coast_2026-07-26,2013Q4,3-4,entire,8,0.25,0,,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0
australia_qld_sunshine-coast_2026-07-26,2013Q4,5-6,entire,2,0.0,0,,0.0,0.0,0.0,0.0,,,,
australia_qld_sunshine-coast_2026-07-26,2013Q4,7+,entire,4,1.0,2,8.0,0.0,0.25,0.25,1.0,0.0,0.25,0.25,1.0
australia_qld_sunshine-coast_2026-07-26,2014Q1,1-2,entire,20,0.1,0,,0.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0
australia_qld_sunshine-coast_2026-07-26,2014Q1,1-2,room,7,0.0,0,,0.0,0.0,0.0,0.0,,,,
australia_qld_sunshine-coast_2026-07-26,2014Q1,3-4,entire,7,0.2857142857142857,0,,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.5,0.5,0.0
australia_qld_sunshine-coast_2026-07-26,2014Q1,5-6,entire,2,0.0,0,,0.0,0.0,0.0,0.0,,,,
australia_qld_sunshine-coast_2026-07-26,2014Q1,7+,entire,4,0.0,0,,0.0,0.0,0.0,0.0,,,,
australia_qld_sunshine-coast_2026-07-26,2014Q2,1-2,entire,22,0.18181818181818182,0,,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.5,0.5,0.0
australia_qld_sunshine-coast_2026-07-26,2014Q2,1-2,room,4,0.0,0,,0.0,0.0,0.0,0.0,,,,
