segment,year,report_year,sheet,visitors,visitor_days,party_1,party_2,party_3plus,avg_party_size,los_statewide,first_time_visitors,repeat_visitors,parties,share_visitors_1,share_visitors_2,share_visitors_3plus,share_parties_1,share_parties_2,share_parties_3plus,avg_party_size_3plus
hotel,2000,2000,TABLE 30,4476866.751936233,32269716.108680256,757030.7138246843,1905561.8334176855,1814274.2046938634,2.16456631863386,7.208102875682796,2120361.953938707,2356504.797997526,2068251.138067118,0.1690983350123768,0.4256463144884835,0.4052553504991398,0.3660245605048556,0.46066983799620354,0.1733056014989409,5.061591053893076
hotel,1999,2000,TABLE 30,4286278.380400069,31661424.412723273,725470.9933639488,1905022.542420988,1655784.844615132,2.1276214110640126,7.386693444248034,1995879.224772133,2290399.155627936,2014586.9740314952,0.16925428751462368,0.4444467608851804,0.38629895160019584,0.3601090460304977,0.4728072222686787,0.1670837317008236,4.919078070196741
condo,2000,2000,TABLE 31,969033.9733413447,10705820.920410175,131540.50241653298,390006.3328308979,447487.1380939138,2.245423630184959,11.04793146054026,254258.60158220894,714775.3717591359,431559.53304968285,0.13574395329295386,0.40246920496100824,0.4617868417460378,0.304802680378722,0.45185693162060075,0.24334038800067734,4.261138461578146
condo,1999,2000,TABLE 31,1115262.3990012442,11765003.498437133,141892.5451867891,445377.07284085784,527992.7809735973,2.252079735018138,10.549090069720899,292284.83298576355,822977.5660154807,495214.4374196689,0.12722794681669422,0.3993473403565908,0.473424712826715,0.28652748075384243,0.4496810262252346,0.2637914930209229,4.041791452801931
all_air,2000,2000,TABLE 2,6948595.0,61721149.884356655,1268219.0,2937986.0,2742390.0,2.062827133991528,8.882536899170386,2850357.2591039855,4098237.7408960145,3368481.4813127904,0.18251445076306794,0.4228172745713342,0.39466827466559784,0.37649576137961727,0.43609947335304716,0.1874047652673356,4.344246128130439
all_air,1999,2000,TABLE 2,6741037.0,60020236.80624105,1237647.2766079116,2951430.2386715366,2551959.484720552,2.1313582109870155,8.903709116760016,2769507.2355483216,3971529.7644516784,3162789.3261913387,0.18359894428823215,0.4378302980196573,0.37857075769211057,0.3913151174372712,0.4665866003515443,0.14209828221118448,5.678252265199779
first_time,2000,2000,TABLE 33,2850357.178704254,22461258.921735357,502945.94441171107,1251660.0,1095750.2342925428,2.1237381011572984,7.880155893987307,2850357.178704254,0.0,1342141.5649843996,0.17645014743041632,0.4391239137857779,0.38442558795058124,0.3747339010527977,0.46629209341808464,0.1589740055291176,5.135551975765688
first_time,1999,2000,TABLE 33,2769507.4568477855,22491224.641322404,497952.7622804972,1268241.1704491684,1003313.5241181199,2.074627371823828,8.121019709014108,2769507.4568477855,0.0,1334942.1175394405,0.17979831072462973,0.4579302241318616,0.36227146514350866,0.3730144968370026,0.47501728868469034,0.15196821447830705,4.945628269684844
repeat,2000,2000,TABLE 34,4098237.7316444805,39259891.25311571,765272.372766339,1686324.040764213,1646642.3181139287,2.0711279049638054,9.579700794312409,0.0,4098237.7316444805,1978746.8083561456,0.18673205969905063,0.41147540752535844,0.40179277678290964,0.386745979594071,0.42610909936606184,0.18714492103986718,4.446630062862902
repeat,1999,2000,TABLE 34,3971530.230801,37529022.6790894,739694.7239862303,1683190.3110034142,1548645.1958113553,2.084668991480227,9.44951202638091,0.0,3971530.23079441,1905113.1124567646,0.18624929964011497,0.4238140497961007,0.38993665056378435,0.38826813964465706,0.441756003881794,0.16997585647354896,4.782378279696923
hotel,2001,2001,TABLE 30,3888879.589209557,29055648.92975132,697667.0963522536,1590272.9809005575,1600939.511956746,2.13537877980319,7.471470448807877,1754653.7037958154,2134225.8854137417,1821166.167797163,0.17940053949936247,0.40892831583499656,0.411671144665641,0.38308810513218255,0.4366084240473542,0.18030347082046322,4.8755235968343325
hotel,2000,2001,TABLE 30,4476866.751936233,32269716.108680256,757030.7138246843,1905561.8334176855,1814274.2046938634,2.16456631863386,7.208102875682796,2120361.953938707,2356504.797997526,2068251.138067118,0.1690983350123768,0.4256463144884835,0.4052553504991398,0.3660245605048556,0.46066983799620354,0.1733056014989409,5.061591053893076
condo,2001,2001,TABLE 31,872161.8532437587,9941475.728913315,120913.72397410084,337168.0,414080.1292696578,2.258369828906797,11.39865919604121,213059.64843583008,659102.2048079285,386190.8895877978,0.13863679490727154,0.38658879512558275,0.4747744099671456,0.31309315479492156,0.43653023555252357,0.25037660965255487,4.282413618807012
condo,2000,2001,TABLE 31,969033.9733413447,10705820.920410175,131540.50241653298,390006.3328308979,447487.1380939138,2.245423630184959,11.04793146054026,254258.60158220894,714775.3717591359,431559.53304968285,0.13574395329295386,0.40246920496100824,0.4617868417460378,0.304802680378722,0.45185693162060075,0.24334038800067734,4.261138461578146
all_air,2001,2001,TABLE 2,6303791.000000022,57760242.44370861,1213846.1579418192,2582700.419784439,2507244.4222737644,2.041976656550245,9.162779737486057,2451968.4083562028,3851822.591643819,3087102.3817920475,0.19255812223816032,0.40970590868009893,0.39773596908174075,0.39319919063947195,0.41830495078773416,0.18849585857279388,4.308675906646825
all_air,2000,2001,TABLE 2,6948595.0,61721150.0,1268219.0,2937986.0,2742390.0,2.06,8.881731640183888,2850357.2591039855,4098237.7408960145,3373104.3689320385,0.18251445076306794,0.4228172745713342,0.39466827466559784,0.37597976857191995,0.4355017928084743,0.18851843861960577,4.312663799702077
first_time,2001,2001,TABLE 33,2451968.4083562028,20544583.940059632,467939.0,1059534.172026815,924495.2363293881,2.0637138740311114,8.378812659267785,2451968.4083562028,0.0,1188133.8974412682,0.19084218149193277,0.43211575174295397,0.37704206676511337,0.3938436576952651,0.44588163602965875,0.16027470627507617,4.854833069798799
first_time,2000,2001,TABLE 33,2850357.178704254,22461258.921735357,502945.94441171107,1251660.0,1095751.2342925428,2.1237381011572984,7.880155893987307,2850357.178704254,0.0,1342141.5649843996,0.17645014743041632,0.4391239137857779,0.38442593878380577,0.3747339010527977,0.46629209341808464,0.1589740055291176,5.135556662556359
repeat,2001,2001,TABLE 34,3851822.591643819,37903897.58748075,745904.2275831401,1523161.8509080252,1582756.5131526538,2.062913753473426,9.84050970304547,0.0,3851822.5916436813,1867175.7775419948,0.19364968397072907,0.39543925366977883,0.4109110623594921,0.3994825964189994,0.40787853752932685,0.19263886605167374,4.4003274072864995
repeat,2000,2001,TABLE 34,4098237.7316444805,39259891.25311571,765272.8486621073,1686324.040764213,1646640.8422181602,2.0711279049638054,9.579700794312409,0.0,4098237.7316444805,1978746.8083561456,0.186732175821101,0.41147540752535844,0.4017924166535406,0.3867462200976899,0.42610909936606184,0.1871446805362483,4.446631791774648
hotel,2002,2002,TABLE 30,3905217.8250183137,29958318.52353251,622532.090257152,1525818.325674677,1756867.409086485,2.245041686279552,7.671356596707129,1701190.9095482007,2204026.915470113,1739485.6625090023,0.15941033718246755,0.39071273205292245,0.44987693076461005,0.3578828521985189,0.43858318540949187,0.20353396239198923,4.962279765953207
hotel,2001,2002,TABLE 30,3888879.589209557,29055648.92975132,697667.0963522536,1590272.9809005575,1600939.511956746,2.13537877980319,7.471470448807877,1754653.7037958154,2134225.8854137417,1821166.167797163,0.17940053949936247,0.40892831583499656,0.411671144665641,0.38308810513218255,0.4366084240473542,0.18030347082046322,4.8755235968343325
condo,2002,2002,TABLE 31,821834.0026298069,9385671.27525537,105799.29960478026,316249.60539871856,399785.0976263081,2.2986794562622532,11.420397848253941,191332.74716551712,630501.2554642898,357524.4040185327,0.12873560751469332,0.38480958975504015,0.4864548027302666,0.29592189628346605,0.4422769492713082,0.2618011544452257,4.271194540015378
condo,2001,2002,TABLE 31,872161.8532437587,9941475.728913315,120913.72397410084,337168.0,414080.1292696578,2.258369828906797,11.39865919604121,213059.64843583008,659102.2048079285,386190.8895877978,0.13863679490727154,0.38658879512558275,0.4747744099671456,0.31309315479492156,0.43653023555252357,0.25037660965255487,4.282413618807012
all_air,2002,2002,TABLE 2,6389057.941713482,60068620.48877384,1133919.1503256522,2556168.1672634706,2698970.6241243593,2.0964040720651402,9.40179676810973,2411779.7524822447,3977278.1892312365,3047627.1377491197,0.17747830128795894,0.4000853006159984,0.42243639809604266,0.37206623352328094,0.4193702266923924,0.20856353978432668,4.246175463232266
all_air,2001,2002,TABLE 2,6303791.000000022,57760242.44370861,1213846.1579418192,2582700.419784439,2507244.4222737644,2.041976656550245,9.162779737486057,2451968.4083562028,3851822.591643819,3087102.3817920475,0.19255812223816032,0.40970590868009893,0.39773596908174075,0.39319919063947195,0.41830495078773416,0.18849585857279388,4.308675906646825
first_time,2002,2002,TABLE 33,2411779.7524822447,20610608.63313788,417636.0472320357,1025910.1563923538,968233.5488578549,2.1341590548167995,8.545808800295754,2411779.7524822447,,1130084.3519787595,0.17316508557723714,0.4253747280764214,0.40146018634634134,0.36956183536278664,0.4539086638072643,0.176529500829949,4.853465782270696
first_time,2001,2002,TABLE 33,2451968.4083562028,20544583.940059632,467939.0,1059534.172026815,924495.2363293881,2.0637138740311114,8.378812659267785,2451968.6309862137,,1188133.8974412682,0.19084218149193277,0.43211575174295397,0.37704206676511337,0.3938436576952651,0.44588163602965875,0.16027470627507617,4.854833069798799
repeat,2002,2002,TABLE 34,3977278.1892312365,39456703.895646796,716283.1030934035,1530256.4834038278,1730738.602734373,2.1272361515859766,9.920529069975197,,3977278.189231579,1869692.8341810792,0.18009379002776094,0.3847496731677221,0.4351565368046094,0.3831020208231871,0.4092267070366337,0.20767127214017925,4.457432687487364
repeat,2001,2002,TABLE 34,3851822.591643819,37903897.58748075,745904.2275831401,1523161.8509080252,1582756.5131526538,2.062913753473426,9.84050970304547,,3851822.5916436813,1867175.7775419948,0.19364968397072907,0.39543925366977883,0.4109110623594921,0.3994825964189994,0.40787853752932685,0.19263886605167374,4.4003274072864995
hotel,2004,2004,TABLE 30,4169795.463440716,30472299.78432258,673039.5236966826,1703807.0694923492,1792948.870251684,2.200335047166137,7.307864390829927,1812375.192097677,2357420.271343039,1895072.9657336017,0.16140828239602012,0.4086068691931592,0.4299848484108207,0.3551523006588521,0.44953600739926874,0.19531169194187914,4.844106987667135
hotel,2003,2004,TABLE 30,3794296.5101725915,29269741.38164875,640959.8044397634,1568265.9443172219,1585070.761415606,2.165402636716055,7.714141818694436,1638790.5220264178,2155505.988146174,1752236.0256875085,0.16892717865389176,0.41332192676894564,0.4177508945771625,0.36579535807014124,0.4475041950190175,0.1867004469108413,4.845188662241761
condo,2004,2004,TABLE 31,883050.2494658558,9922471.38258718,105323.6607643769,338787.1562466839,438939.432454795,2.3245132956711325,11.23658748592069,211476.50409026112,671573.7453755947,379886.0824372707,0.11927255649164432,0.38365558070065814,0.4970718628076976,0.2772506433735135,0.4459062491485545,0.27684310747793195,4.173664154136888
condo,2003,2004,TABLE 31,863569.8596271878,9809074.749679506,105068.21381195079,326930.4367917156,431571.2090235214,2.3281346551878026,11.358750702478416,208639.5876283157,654930.2719988722,370927.7973689742,0.12166730072921933,0.37858018450627134,0.49975251476450927,0.2832578592308517,0.4406928236582214,0.276049317110927,4.214794518665567
