print_quarter,reaction_date,beat_vs_mid_pct,beat_vs_high_pct,revenue_yoy_pct,nights_yoy_pct,next_q_guide_growth_pct,guide_accel_pts,margin_yoy_pts,take_rate_yoy_pts,excess_1d_pct,excess_5d_pct,excess_20d_pct,abnb_1d_pct
1Q22,2022-05-04,4.4,2.0,70.124,58.54,55.805,-14.319,21.827,0.162,4.3,-14.2,-15.5,7.7
2Q22,2022-08-03,1.2,-1.2,57.603,24.789,26.509,-31.094,17.538,2.414,-3.9,-2.5,1.0,-1.1
3Q22,2022-11-02,1.9,0.1,28.923,25.094,20.104,-8.818,1.302,-0.311,-10.0,-7.3,-13.0,-13.4
4Q22,2023-02-15,3.4,1.2,24.151,20.163,18.29,-5.861,4.867,0.531,12.6,9.3,-3.5,13.4
1Q23,2023-05-10,1.8,-0.1,20.477,18.609,14.068,-6.409,-0.764,0.139,-12.0,-18.8,-16.7,-10.9
2Q23,2023-08-04,3.5,1.4,18.061,10.993,16.158,-1.903,-0.822,0.629,-0.0,-2.1,-7.7,-0.5
3Q23,2023-11-02,1.4,-0.1,17.788,13.541,13.039,-4.749,3.469,0.076,-5.1,-6.0,-3.2,-3.3
4Q23,2024-02-14,3.2,2.2,16.614,12.018,12.761,-3.853,6.67,0.221,-2.8,-0.4,6.5,-1.7
1Q24,2024-05-09,4.5,3.5,17.822,9.496,9.098,-8.724,5.383,0.442,-7.1,-10.6,-12.2,-6.9
2Q24,2024-08-07,1.4,0.3,10.628,8.688,8.92,-1.708,-0.438,-0.043,-12.3,-15.6,-16.5,-13.4
3Q24,2024-11-08,0.9,0.1,9.862,8.481,8.882,-0.98,-1.524,0.004,-8.8,-7.7,-9.6,-8.7
4Q24,2025-02-14,2.7,1.6,11.812,12.348,5.042,-6.77,-2.426,-0.219,14.0,5.4,-2.4,14.4
1Q25,2025-05-02,1.0,0.1,6.069,7.919,9.898,3.829,-1.441,-0.08,-0.5,0.5,-3.7,1.0
2Q25,2025-08-07,2.5,1.5,12.664,7.434,8.789,-3.875,1.156,0.212,-8.4,-6.9,-5.3,-8.0
3Q25,2025-11-07,0.9,-0.1,9.727,8.795,8.468,-1.259,-2.38,-0.685,0.6,1.1,0.9,0.3
4Q25,2026-02-13,3.3,2.1,12.016,9.82,14.877,2.861,-2.553,-0.473,4.4,8.9,10.1,4.6
1Q26,2026-05-08,2.6,1.8,17.87,9.154,15.31,-2.56,1.026,-0.102,-1.6,-8.4,-6.4,0.7
2Q26,2026-08-07,1.1,0.2,16.537,10.342,15.507,-1.031,1.261,0.09,16.3,19.6,,17.4
