quarter,revenue_musd,cost_of_revenue_musd,operations_and_support_musd,product_development_musd,sales_and_marketing_musd,general_and_administrative_musd,restructuring_musd,stock_based_comp_total_musd,operating_income_musd,adjusted_ebitda_musd,cor_pct_rev,ops_pct_rev,pd_pct_rev,sm_pct_rev,ga_pct_rev,sbc_pct_rev,adj_ebitda_margin_pct
1Q20,841.8,277.8,221.8,258.8,317.2,91.8,0.0,41.6,-325.5,-334,33.0,26.3,30.7,37.7,10.9,4.9,-39.7
2Q20,334.8,161.2,160.5,217.9,114.8,149.3,114.2,37.8,-583.2,-397,48.2,47.9,65.1,34.3,44.6,11.3,-118.6
3Q20,1342.3,227.3,166.1,213.9,113.5,180.0,22.7,29.4,418.7,501,16.9,12.4,15.9,8.5,13.4,2.2,37.3
4Q20,859.1,209.7,329.2,2062.3,629.5,713.9,14.4,2894.2,-3100.0,-21,24.4,38.3,240.1,73.3,83.1,336.9,-2.4
1Q21,886.9,254.5,185.4,363.1,229.1,189.8,112.0,229.5,-446.9,-59,28.7,20.9,40.9,25.8,21.4,25.9,-6.7
2Q21,1335.2,294.4,208.1,349.7,315.3,218.3,0.6,232.9,-51.3,217,22.1,15.6,26.2,23.6,16.3,17.4,16.3
3Q21,2237.4,311.6,228.3,344.4,290.9,210.7,-0.5,210.8,852.0,1101,13.9,10.2,15.4,13.0,9.4,9.4,49.2
4Q21,1532.4,295.5,225.1,367.8,350.7,217.2,0.9,225.9,75.2,333,19.3,14.7,24.0,22.9,14.2,14.7,21.7
1Q22,1509.0,363.0,232.7,363.0,345.0,210.0,0.3,195.0,-5.0,229,24.1,15.4,24.1,22.9,13.9,12.9,15.2
2Q22,2104.0,390.0,258.0,375.0,379.0,244.0,89.0,247.0,369.0,711,18.5,12.3,17.8,18.0,11.6,11.7,33.8
3Q22,2884.0,401.0,290.0,366.0,384.0,240.0,0.0,234.0,1203.0,1457,13.9,10.1,12.7,13.3,8.3,8.1,50.5
4Q22,1902.0,345.0,260.0,398.0,408.0,256.0,0.0,254.0,235.0,506,18.1,13.7,20.9,21.5,13.5,13.4,26.6
1Q23,1818.0,428.0,282.0,420.0,450.0,243.0,,240.0,-5.0,262,23.5,15.5,23.1,24.8,13.4,13.2,14.4
2Q23,2484.0,432.0,317.0,451.0,486.0,275.0,0.0,304.0,523.0,819,17.4,12.8,18.2,19.6,11.1,12.2,33.0
3Q23,3397.0,459.0,316.0,419.0,403.0,304.0,0.0,286.0,1496.0,1834,13.5,9.3,12.3,11.9,8.9,8.4,54.0
4Q23,2218.0,384.0,271.0,432.0,424.0,1203.0,0.0,270.0,-496.0,738,17.3,12.2,19.5,19.1,54.2,12.2,33.3
1Q24,2142.0,480.0,285.0,475.0,514.0,287.0,,295.0,101.0,424,22.4,13.3,22.2,24.0,13.4,13.8,19.8
2Q24,2748.0,506.0,338.0,519.0,573.0,315.0,,382.0,497.0,894,18.4,12.3,18.9,20.9,11.5,13.9,32.5
3Q24,3732.0,465.0,369.0,524.0,514.0,335.0,,362.0,1525.0,1958,12.5,9.9,14.0,13.8,9.0,9.7,52.5
4Q24,2480.0,427.0,290.0,538.0,547.0,248.0,,400.0,430.0,765,17.2,11.7,21.7,22.1,10.0,16.1,30.8
1Q25,2272.0,506.0,303.0,568.0,563.0,294.0,,358.0,38.0,417,22.3,13.3,25.0,24.8,12.9,15.8,18.4
2Q25,3096.0,544.0,332.0,610.0,691.0,307.0,,424.0,612.0,1043,17.6,10.7,19.7,22.3,9.9,13.7,33.7
3Q25,4095.0,549.0,365.0,587.0,639.0,330.0,,399.0,1625.0,2051,13.4,8.9,14.3,15.6,8.1,9.7,50.1
4Q25,2778.0,487.0,327.0,589.0,695.0,411.0,,400.0,269.0,786,17.5,11.8,21.2,25.0,14.8,14.4,28.3
1Q26,2678.0,581.0,326.0,638.0,751.0,296.0,,410.0,86.0,519,21.7,12.2,23.8,28.0,11.1,15.3,19.4
2Q26,3608.0,633.0,361.0,672.0,875.0,309.0,,487.0,758.0,1261,17.5,10.0,18.6,24.3,8.6,13.5,35.0
