year,all_air,bnb,canada,condo,europe,family,first_time,hotel,japan,latin_america,oceania,other_asia,other_mma,rental_house,repeat,timeshare,us_east,us_west
1999,2.1314,,,2.2521,,,2.0746,2.1276,,,,,,,2.0847,,,
2000,2.06,,,2.2454,,,2.1237,2.1646,,,,,,,2.0711,,,
2001,2.042,,,2.2584,,,2.0637,2.1354,,,,,,,2.0629,,,
2002,2.0964,,,2.2987,,,2.1342,2.245,,,,,,,2.1272,,,
2003,2.0784,,,2.3281,,,2.0874,2.1654,,,,,,,2.1036,,,
2004,2.1021,,,2.3245,,,2.1165,2.2003,,,,,,,2.1273,2.2477,,
2005,2.1107,,,2.33,,,2.116,2.2116,,,,,,,2.1439,2.2515,,
2006,2.1537,,2.1837,2.3356,1.7883,,2.2162,2.3159,3.0041,1.8747,2.2262,2.8557,2.0282,,2.1868,2.3036,1.8921,2.0897
2007,2.14,,2.19,2.33,1.81,,2.18,2.28,2.92,1.85,2.23,2.75,1.96,,2.18,2.3,1.9,2.09
2008,2.1338,,2.1898,2.3124,1.7849,,2.1314,2.221,2.8019,1.82,2.1543,2.7327,1.8947,,2.1321,2.2907,1.8724,2.0565
2009,2.1046,,2.1593,2.2975,1.7374,,2.0989,2.1712,2.664,1.8167,2.1735,2.4141,1.8456,,2.1069,2.2737,1.8696,2.0461
2010,2.1198,,2.1787,2.3172,1.7835,,2.135,2.1979,2.7292,3.5934,2.1922,2.5298,1.8688,,2.115,2.2883,1.8683,2.043
2011,2.1394,,2.1947,2.3469,1.7597,3.58,2.156,2.1954,2.7379,3.7403,2.2968,2.5326,1.8913,,2.1318,2.2972,1.8821,2.0557
2012,2.158,,2.1421,2.3151,1.8145,3.5864,2.2077,2.24,2.6896,3.4016,2.2652,2.4215,1.9725,,2.0882,2.3117,2.0676,2.0461
2013,2.1604,1.6782,2.1713,2.3419,1.7705,3.8452,2.1515,2.2188,2.6844,,2.2824,2.4346,2.0195,2.2809,2.186,2.3237,1.9259,2.0942
2014,2.1624,1.7339,2.1561,2.3451,1.7707,3.8226,2.1513,2.212,2.5764,,2.3217,2.5115,1.968,2.2837,2.1835,2.3417,1.9436,2.1215
2015,2.1905,1.733,2.1948,2.3859,1.8049,3.854,2.1691,2.2463,2.6638,,2.3532,2.4989,2.0034,2.2974,2.2199,2.3793,1.9515,2.1548
2016,,1.8372,,2.3794,,3.8538,2.174,2.2542,,,,,2.0097,2.3042,2.2045,2.3746,,
2017,,1.9,,2.4223,,3.883,2.1886,2.2713,,,,,2.0239,2.3535,2.2265,2.3863,,
2018,,1.873,,2.4233,,3.8968,2.1816,2.2731,,,,,,2.3904,2.235,2.3864,,
2019,,1.9579,,2.453,,3.9906,2.19,2.2907,,,,,,2.413,2.2594,2.4078,,
2020,,1.7752,,2.2291,,3.9368,,2.1234,,,,,,2.1955,,2.2399,,
2021,,1.9179,,2.3438,,2.9477,2.0855,2.2502,,,,,,2.2999,2.229,2.3723,,
2022,,2.05,,2.42,,2.9049,2.1665,2.2612,,,,,,2.4238,2.25,2.3836,,
2023,,2.088,,2.4411,,2.9069,2.2157,2.2889,,,,,,2.4553,2.2512,2.4196,,
2024,,2.1178,,2.4436,,2.9044,2.2166,2.3043,,,,,,2.4887,2.2654,2.4204,,
