"n","date","move_pct","qqq_pct","bkng_pct","expe_pct","category","headline","detail"
1,"2020-12-16",10.6,0.5,0.0,-0.8,"Company/other","Post-IPO momentum","Fourth session after the Dec 10 IPO ($68 priced; opened $146). Vaccine-reopening bid for travel names; no company news."
2,"2021-01-12",8.6,-0.2,-1.1,-1.4,"Company/other","Tigress Financial initiates Buy","Quiet period over; first wave of ~25 initiations. Tigress called ABNB a category maker."
3,"2021-01-21",11.5,0.8,-2.3,-2.0,"Company/other","Analyst-initiation and reopening momentum","No single item found; part of a +25% January driven by new coverage and pent-up-demand narrative. Peers fell the same day."
4,"2021-01-26",8.6,0.1,-1.7,-3.3,"Company/other","Momentum into Feb 11 all-time high ($216.84)","Stock nearly tripled from IPO in two months; peers flat to down."
5,"2021-02-25",-9.1,-3.5,-7.0,-3.4,"Macro/market","Rates spike hits growth","10-yr yield jumped to 1.5%; Nasdaq -3.5%. Day of Q4'20 print after the close."
6,"2021-02-26",13.3,0.4,2.4,2.4,"Earnings","Q4'20 (first print as a public company)","Revenue $859M (-22% YoY) beat ~$748M est; nights 46.3M (-39%); GBV $5.9B (-31%); ADR $128 (+13%); net loss $3.9B on IPO charges. Bookings recovery narrative."
7,"2021-03-11",7.7,2.3,-0.3,2.1,"Macro/market","Growth rebound after rates scare","Nasdaq +2.3%; $1.9T stimulus signed. No company news."
8,"2021-08-24",10.0,0.3,4.5,2.7,"Company/other","Afghan refugee housing pledge; DA Davidson reiterates Buy","Airbnb offered free housing to 20k refugees; analyst said Q3 on track for record revenue. Pfizer full FDA approval (Aug 23) lifted travel."
9,"2021-11-05",13.0,0.1,7.5,15.6,"Earnings","Q3'21 record quarter (Expedia also reported)","Revenue $2.24B (+67% YoY; +36% vs 2019); nights 79.7M (+29%); GBV $11.9B (+48%); net income $834M; adj EBITDA $1.1B (49% margin). Expedia +15.6% same day on its own beat."
10,"2021-11-12",7.8,1.1,-1.1,-2.0,"Company/other","Post-earnings momentum","No company-specific catalyst found; stock re-tested $200 a week after the Q3 print."
11,"2021-11-22",-7.5,-1.2,-1.8,-1.1,"Macro/market","Growth rotation on Powell renomination","Yields rose; long-duration growth sold. Omicron news came four days later (Nov 26)."
12,"2021-12-06",8.5,0.8,5.3,6.7,"Macro/market","Omicron-is-milder relief rally","Travel names rebounded after a week of Omicron selling; BKNG +5%, EXPE +7%."
13,"2022-01-31",7.8,3.2,1.8,5.1,"Macro/market","Month-end growth rebound","Nasdaq +3.2% after worst January since 2008. No company news."
14,"2022-02-23",-9.2,-2.6,-1.9,-3.0,"Macro/market","Eve of Russia's invasion of Ukraine","Risk-off; ABNB later suspended Russia/Belarus operations. Q4'21 print (Feb 15) had been +3.6%."
15,"2022-03-07",-7.8,-3.7,-8.5,-10.9,"Macro/market","Oil spikes above $120 on Russia embargo talk","Travel sold hardest; EXPE -11%."
16,"2022-03-08",8.0,-0.5,4.5,5.5,"Macro/market","Oil reverses; travel bounce","Mirror of prior day."
17,"2022-03-16",8.2,3.7,5.9,2.3,"Macro/market","First Fed hike (25 bp) relief rally","Nasdaq +3.7%."
18,"2022-04-13",7.3,2.0,3.6,4.9,"Company/other","Delta Q1 read-across","Delta reported record bookings; airlines +5-10%; OTAs and ABNB followed."
19,"2022-05-04",7.7,3.4,-0.1,-0.5,"Earnings","Q1'22 first-ever profitable Q1 (plus Fed-day rally)","Revenue $1.51B (+70%); nights 102.1M (+59%; first 100M quarter); GBV $17.2B (+67%); adj EBITDA $229M; Q2 guide $2.03-2.13B above est. Nasdaq +3.4% on Powell."
20,"2022-05-05",-8.4,-5.0,3.3,-6.7,"Macro/market","Fed-rally reversal","Nasdaq -5%; gave back the prior day."
21,"2022-05-09",-12.1,-3.9,-7.8,-3.4,"Macro/market","Growth-stock capitulation","Nasdaq -4%; ABNB fell below $120 for the first time."
