Year,acc,trips_mm,nights_mm,share_with_children,nights_per_trip
2022,Caravan/camping/glamping,14.1364,55.7311,0.5011,3.9424
2022,Commercial property rental,12.4124,54.7395,0.377,4.4101
2022,Other/unspecified,5.4115,19.4038,0.2781,3.5857
2022,Private home,35.7397,101.8915,0.2924,2.8509
2022,Serviced accomodation,55.7935,143.3963,0.2531,2.5701
2023,Caravan/camping/glamping,12.0971,45.7573,0.5004,3.7825
2023,Commercial property rental,12.5409,50.3643,0.3924,4.016
2023,Other/unspecified,5.0001,17.6625,0.2419,3.5324
2023,Private home,35.2942,99.2579,0.2857,2.8123
2023,Serviced accomodation,52.4462,127.1286,0.2389,2.424
2024,Caravan/camping/glamping,10.4115,39.3651,0.4508,3.7809
2024,Commercial property rental,12.0744,46.0188,0.3373,3.8113
2024,Other/unspecified,4.5682,16.0179,0.2505,3.5064
2024,Private home,31.5689,88.6255,0.2664,2.8074
2024,Serviced accomodation,46.9847,117.5124,0.223,2.5011
