month,close,source
2021-12,4766.18,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2022-01,4515.55,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2022-02,4373.94,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2022-03,4530.41,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2022-04,4131.93,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2022-05,4132.15,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2022-06,3785.38,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2022-07,4130.29,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2022-08,3955.00,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2022-09,3585.62,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2022-10,3871.98,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2022-11,4080.11,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2022-12,3839.50,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2023-01,4076.60,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2023-02,3970.15,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2023-03,4109.31,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2023-04,4169.48,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2023-05,4179.83,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2023-06,4450.38,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2023-07,4588.96,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2023-08,4507.66,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2023-09,4288.05,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2023-10,4193.80,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2023-11,4567.80,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2023-12,4769.83,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2024-01,4845.65,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2024-02,5096.27,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2024-03,5254.35,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2024-04,5035.69,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2024-05,5277.51,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2024-06,5460.48,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2024-07,5522.30,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2024-08,5648.40,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2024-09,5762.48,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2024-10,5705.45,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2024-11,6032.38,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2024-12,5881.63,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2025-01,6040.53,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2025-02,5954.50,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2025-03,5611.85,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2025-04,5569.06,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2025-05,5911.69,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2025-06,6204.95,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2025-07,6339.39,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2025-08,6460.26,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2025-09,6688.46,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2025-10,6840.20,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2025-11,6849.09,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2025-12,6845.50,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2026-01,6939.03,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2026-02,6878.88,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2026-03,6528.52,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2026-04,7209.01,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2026-05,7580.06,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2026-06,7499.36,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2026-07,7489.72,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
2026-08,7686.14,Yahoo Finance ^GSPC monthly (Dec-2021 value from public record; verify)
