guided_quarter,issued_on_call,guide_low_musd,guide_high_musd,guide_mid_musd,range_width_pct_of_mid,actual_musd,actual_vs_mid_pct,actual_vs_high_pct
2021Q4,2021Q3,1390,1480,1435,6.3,1532,6.8,3.5
2022Q1,2021Q4,1410,1480,1445,4.8,1509,4.4,2.0
2022Q2,2022Q1,2030,2130,2080,4.8,2104,1.2,-1.2
2022Q3,2022Q2,2780,2880,2830,3.5,2884,1.9,0.1
2022Q4,2022Q3,1800,1880,1840,4.3,1902,3.4,1.2
2023Q1,2022Q4,1750,1820,1785,3.9,1818,1.8,-0.1
2023Q2,2023Q1,2350,2450,2400,4.2,2484,3.5,1.4
2023Q3,2023Q2,3300,3400,3350,3.0,3397,1.4,-0.1
2023Q4,2023Q3,2130,2170,2150,1.9,2218,3.2,2.2
2024Q1,2023Q4,2030,2070,2050,2.0,2142,4.5,3.5
2024Q2,2024Q1,2680,2740,2710,2.2,2748,1.4,0.3
2024Q3,2024Q2,3670,3730,3700,1.6,3732,0.9,0.1
2024Q4,2024Q3,2390,2440,2415,2.1,2480,2.7,1.6
2025Q1,2024Q4,2230,2270,2250,1.8,2272,1.0,0.1
2025Q2,2025Q1,2990,3050,3020,2.0,3096,2.5,1.5
2025Q3,2025Q2,4020,4100,4060,2.0,4095,0.9,-0.1
2025Q4,2025Q3,2660,2720,2690,2.2,2778,3.3,2.1
2026Q1,2025Q4,2590,2630,2610,1.5,2678,2.6,1.8
2026Q2,2026Q1,3540,3600,3570,1.7,3608,1.1,0.2
2026Q3,2026Q2,4690,4770,4730,1.7,,,
