item,feature,horizon,window,n,slope,t,p,r2,spearman,mean_if_1,n_if_1,pos_share_if_1,mean_if_0,n_if_0,pos_share_if_0,welch_p_1_vs_rest,mean_if_minus1,n_if_minus1,pos_share_if_minus1,adj_r2,coef_1,t_1,var_1,coef_2,t_2,var_2,coef_3,t_3,var_3
Next-Q revenue guide,guided revenue growth (%),"Day 1, raw",all prints,20,0.1809,1.6491,0.1165,0.1313,0.3137,,,,,,,,,,,,,,,,,,,,
Next-Q revenue guide,guided revenue growth (%),"Day 1, excess vs QQQ",all prints,20,0.1691,1.6121,0.1243,0.1262,0.3053,,,,,,,,,,,,,,,,,,,,
Next-Q revenue guide,guided revenue growth (%),"5 sessions, raw",all prints,20,-0.122,-0.9879,0.3363,0.0514,-0.0737,,,,,,,,,,,,,,,,,,,,
Next-Q revenue guide,guided revenue growth (%),"5 sessions, excess vs QQQ",all prints,20,-0.0067,-0.0546,0.9571,0.0002,0.0459,,,,,,,,,,,,,,,,,,,,
Next-Q revenue guide,guided growth minus just-reported growth (pts),"Day 1, raw",all prints,20,0.0626,0.2227,0.8263,0.0027,0.1444,,,,,,,,,,,,,,,,,,,,
Next-Q revenue guide,guided growth minus just-reported growth (pts),"Day 1, excess vs QQQ",all prints,20,0.1197,0.4483,0.6593,0.011,0.1789,,,,,,,,,,,,,,,,,,,,
Next-Q revenue guide,guided growth minus just-reported growth (pts),"5 sessions, raw",all prints,20,0.4794,1.7039,0.1056,0.1389,0.5353,,,,,,,,,,,,,,,,,,,,
Next-Q revenue guide,guided growth minus just-reported growth (pts),"5 sessions, excess vs QQQ",all prints,20,0.3547,1.2564,0.225,0.0806,0.4769,,,,,,,,,,,,,,,,,,,,
Next-Q revenue guide,guide midpoint vs Street (%),"Day 1, raw",all prints,19,0.8336,1.8415,0.0831,0.1663,0.5423,,,,,,,,,,,,,,,,,,,,
Next-Q revenue guide,guide midpoint vs Street (%),"Day 1, excess vs QQQ",all prints,19,0.7817,1.8279,0.0852,0.1643,0.5596,,,,,,,,,,,,,,,,,,,,
Next-Q revenue guide,guide midpoint vs Street (%),"5 sessions, raw",all prints,19,-0.3914,-0.7261,0.4777,0.0301,0.0386,,,,,,,,,,,,,,,,,,,,
Next-Q revenue guide,guide midpoint vs Street (%),"5 sessions, excess vs QQQ",all prints,19,0.1582,0.303,0.7655,0.0054,0.1912,,,,,,,,,,,,,,,,,,,,
Next-Q revenue guide,guide below Street (1/0),"Day 1, raw",all prints,19,-8.4591,-2.2304,0.0395,0.2264,-0.5062,-5.15,8.0,0.25,3.3091,11.0,0.6364,0.0523,,,,,,,,,,,,,
Next-Q revenue guide,guide below Street (1/0),"Day 1, excess vs QQQ",all prints,19,-7.5159,-2.0662,0.0544,0.2007,-0.5449,-5.225,8.0,0.125,2.2909,11.0,0.5455,0.066,,,,,,,,,,,,,
Next-Q revenue guide,guide below Street (1/0),"5 sessions, raw",all prints,19,-4.8648,-1.0547,0.3063,0.0614,-0.253,-6.1375,8.0,0.25,-1.2727,11.0,0.3636,0.2701,,,,,,,,,,,,,
Next-Q revenue guide,guide below Street (1/0),"5 sessions, excess vs QQQ",all prints,19,-7.0761,-1.6782,0.1116,0.1421,-0.3503,-7.5125,8.0,0.25,-0.4364,11.0,0.3636,0.1002,,,,,,,,,,,,,
Next-Q revenue guide,range width (% of mid),"Day 1, raw",all prints,20,1.1265,0.7297,0.475,0.0287,0.0158,,,,,,,,,,,,,,,,,,,,
Next-Q revenue guide,range width (% of mid),"Day 1, excess vs QQQ",all prints,20,1.185,0.8074,0.43,0.0349,0.0391,,,,,,,,,,,,,,,,,,,,
Next-Q revenue guide,range width (% of mid),"5 sessions, raw",all prints,20,-2.341,-1.4675,0.1595,0.1069,-0.3429,,,,,,,,,,,,,,,,,,,,
Next-Q revenue guide,range width (% of mid),"5 sessions, excess vs QQQ",all prints,20,-0.7579,-0.4652,0.6474,0.0119,-0.1572,,,,,,,,,,,,,,,,,,,,
Next-Q nights guide,implied nights acceleration (pts; +/-2 for above/below),"Day 1, raw",all prints,20,1.409,1.111,0.2812,0.0642,0.2937,,,,,,,,,,,,,,,,,,,,
Next-Q nights guide,implied nights acceleration (pts; +/-2 for above/below),"Day 1, excess vs QQQ",all prints,20,1.4139,1.1601,0.2612,0.0696,0.3094,,,,,,,,,,,,,,,,,,,,
Next-Q nights guide,implied nights acceleration (pts; +/-2 for above/below),"5 sessions, raw",all prints,20,0.0117,0.0089,0.993,0.0,0.0758,,,,,,,,,,,,,,,,,,,,
Next-Q nights guide,implied nights acceleration (pts; +/-2 for above/below),"5 sessions, excess vs QQQ",all prints,20,0.8149,0.613,0.5475,0.0204,0.1358,,,,,,,,,,,,,,,,,,,,
Next-Q nights guide,"direction (+1 above, 0 stable, -1 below)","Day 1, raw",all prints,17,2.9605,1.0468,0.3118,0.0681,0.2914,-1.8667,3.0,0.3333,4.1333,6.0,0.5,0.8661,-4.9875,8.0,0.375,,,,,,,,,,
Next-Q nights guide,"direction (+1 above, 0 stable, -1 below)","Day 1, excess vs QQQ",all prints,17,3.1574,1.1718,0.2596,0.0839,0.3338,-1.7,3.0,0.3333,3.35,6.0,0.5,0.9964,-5.45,8.0,0.125,,,,,,,,,,
Next-Q nights guide,"direction (+1 above, 0 stable, -1 below)","5 sessions, raw",all prints,17,-0.3204,-0.1386,0.8916,0.0013,0.0665,-9.6333,3.0,0.0,0.3833,6.0,0.5,0.2302,-5.9625,8.0,0.125,,,,,,,,,,
Next-Q nights guide,"direction (+1 above, 0 stable, -1 below)","5 sessions, excess vs QQQ",all prints,17,2.0395,0.8043,0.4338,0.0413,0.145,-6.3333,3.0,0.0,0.6667,6.0,0.5,0.4865,-7.5875,8.0,0.125,,,,,,,,,,
Next-Q margin guide,"direction (+1 up, 0 flat, -1 down)","Day 1, raw",all prints,20,0.3749,0.1703,0.8667,0.0016,0.0732,0.45,8.0,0.5,4.6,1.0,1.0,0.947,-0.2273,11.0,0.4545,,,,,,,,,,
Next-Q margin guide,"direction (+1 up, 0 flat, -1 down)","Day 1, excess vs QQQ",all prints,20,0.3717,0.1774,0.8612,0.0017,0.1284,-0.2,8.0,0.375,4.4,1.0,1.0,0.9534,-0.8636,11.0,0.3636,,,,,,,,,,
Next-Q margin guide,"direction (+1 up, 0 flat, -1 down)","5 sessions, raw",all prints,20,-1.5197,-0.6818,0.5041,0.0252,-0.1104,-4.775,8.0,0.125,10.3,1.0,1.0,0.312,-1.5182,11.0,0.4545,,,,,,,,,,
Next-Q margin guide,"direction (+1 up, 0 flat, -1 down)","5 sessions, excess vs QQQ",all prints,20,-0.8229,-0.3611,0.7222,0.0072,-0.0501,-4.225,8.0,0.125,8.9,1.0,1.0,0.5002,-2.3818,11.0,0.4545,,,,,,,,,,
Next-Q margin guide,guided y/y margin change (pts),"Day 1, raw",all prints,18,0.8248,0.8619,0.4015,0.0444,-0.0334,,,,,,,,,,,,,,,,,,,,
Next-Q margin guide,guided y/y margin change (pts),"Day 1, excess vs QQQ",all prints,18,0.5523,0.6067,0.5526,0.0225,0.0016,,,,,,,,,,,,,,,,,,,,
Next-Q margin guide,guided y/y margin change (pts),"5 sessions, raw",all prints,18,-1.8572,-2.0261,0.0598,0.2042,-0.3955,,,,,,,,,,,,,,,,,,,,
Next-Q margin guide,guided y/y margin change (pts),"5 sessions, excess vs QQQ",all prints,18,-1.1903,-1.2099,0.2439,0.0838,-0.2621,,,,,,,,,,,,,,,,,,,,
Next-Q ADR guide,"direction (+1 up, 0 flat, -1 down)","Day 1, raw",all prints,19,-1.6916,-0.6376,0.5323,0.0234,-0.1533,-1.9222,9.0,0.3333,3.34,5.0,0.6,0.3687,0.84,5.0,0.6,,,,,,,,,,
Next-Q ADR guide,"direction (+1 up, 0 flat, -1 down)","Day 1, excess vs QQQ",all prints,19,-1.6108,-0.6377,0.5322,0.0234,-0.0965,-2.2111,9.0,0.3333,1.76,5.0,0.4,0.4262,0.6,5.0,0.4,,,,,,,,,,
Next-Q ADR guide,"direction (+1 up, 0 flat, -1 down)","5 sessions, raw",all prints,19,0.4252,0.1537,0.8796,0.0014,-0.0738,-3.4,9.0,0.2222,-2.62,5.0,0.4,0.9764,-4.46,5.0,0.4,,,,,,,,,,
Next-Q ADR guide,"direction (+1 up, 0 flat, -1 down)","5 sessions, excess vs QQQ",all prints,19,-0.0396,-0.0146,0.9885,0.0,-0.0653,-3.7667,9.0,0.2222,-2.16,5.0,0.4,0.8778,-3.96,5.0,0.4,,,,,,,,,,
Next-Q take-rate guide,"direction (+1 up, 0 flat, -1 down)","Day 1, raw",all prints,18,-0.8472,-0.3172,0.7552,0.0062,-0.0884,-1.47,10.0,0.5,5.775,4.0,0.75,0.4415,-1.375,4.0,0.5,,,,,,,,,,
Next-Q take-rate guide,"direction (+1 up, 0 flat, -1 down)","Day 1, excess vs QQQ",all prints,18,-1.725,-0.6942,0.4975,0.0292,-0.1675,-2.49,10.0,0.3,5.275,4.0,0.75,0.2769,-0.55,4.0,0.5,,,,,,,,,,
Next-Q take-rate guide,"direction (+1 up, 0 flat, -1 down)","5 sessions, raw",all prints,18,-0.4722,-0.1529,0.8804,0.0015,-0.0711,-5.15,10.0,0.2,5.8,4.0,0.75,0.3827,-6.825,4.0,0.25,,,,,,,,,,
Next-Q take-rate guide,"direction (+1 up, 0 flat, -1 down)","5 sessions, excess vs QQQ",all prints,18,-2.3639,-0.8205,0.424,0.0404,-0.1837,-6.08,10.0,0.2,5.775,4.0,0.75,0.1475,-3.725,4.0,0.25,,,,,,,,,,
Next-Q GBV guide,"direction (+1 up, 0 flat, -1 below)","Day 1, raw",all prints,5,,,,,,,,,,,,,,,,,,,,,,,,,
Next-Q GBV guide,"direction (+1 up, 0 flat, -1 below)","Day 1, excess vs QQQ",all prints,5,,,,,,,,,,,,,,,,,,,,,,,,,
Next-Q GBV guide,"direction (+1 up, 0 flat, -1 below)","5 sessions, raw",all prints,5,,,,,,,,,,,,,,,,,,,,,,,,,
Next-Q GBV guide,"direction (+1 up, 0 flat, -1 below)","5 sessions, excess vs QQQ",all prints,5,,,,,,,,,,,,,,,,,,,,,,,,,
FY margin guide,change vs prior statement (pts; first = 0),"Day 1, raw",all prints,20,-1.7,-0.3038,0.7648,0.0051,-0.0809,,,,,,,,,,,,,,,,,,,,
FY margin guide,change vs prior statement (pts; first = 0),"Day 1, excess vs QQQ",all prints,20,-1.8882,-0.345,0.7341,0.0066,-0.0399,,,,,,,,,,,,,,,,,,,,
FY margin guide,change vs prior statement (pts; first = 0),"5 sessions, raw",all prints,20,5.049,0.8308,0.417,0.0369,0.1867,,,,,,,,,,,,,,,,,,,,
FY margin guide,change vs prior statement (pts; first = 0),"5 sessions, excess vs QQQ",all prints,20,2.4549,0.4127,0.6847,0.0094,0.178,,,,,,,,,,,,,,,,,,,,
FY margin guide,raised (1) vs reiterated/first/lowered (0),"Day 1, raw",all prints,20,0.1625,0.0324,0.9745,0.0001,-0.065,1.425,4.0,0.5,1.2625,16.0,0.5625,0.9798,,,,,,,,,,,,,
