month,Type 1,Type 1-A,Type 1-Secondary,Type 2 Commercial,Type 2 Residential,Type 3
2025-02,850.0,104.0,217.0,35.0,527.0,408.0
2025-03,840.4,101.1,220.9,36.9,617.8,468.1
2025-04,822.2,104.7,221.7,38.9,662.9,461.6
2025-05,837.9,111.9,228.5,40.6,727.4,445.0
2025-06,836.4,111.0,228.4,37.9,759.4,461.5
2025-07,828.5,110.5,224.3,36.7,779.1,469.3
2025-08,805.3,109.5,222.6,32.5,771.8,479.1
2025-09,795.1,105.9,221.5,33.8,788.4,496.4
2025-10,813.6,110.2,223.5,38.5,827.2,513.0
2025-11,796.6,110.8,222.8,37.7,863.3,568.6
2025-12,812.1,111.7,226.9,36.8,882.5,612.4
2026-01,780.2,107.0,218.3,36.6,946.3,628.4
2026-02,754.6,106.6,213.0,34.5,987.8,632.0
2026-03,753.9,107.2,218.1,33.4,980.1,635.4
2026-04,757.4,103.6,217.6,35.1,1016.1,645.1
2026-05,789.2,106.0,217.5,35.3,1082.2,623.3
2026-06,789.2,109.9,213.3,34.0,1087.2,640.4
2026-07,783.8,107.5,198.1,28.5,1048.2,730.5
2026-08,786.2,101.1,195.1,26.3,1073.9,746.0
2026-09,771.0,96.2,193.4,24.0,1099.8,739.8
