market,q,bucket,room,reviews,mention_any,headcount_n,headcount_mean,share_solo,share_couple,share_family,share_group,cond_solo,cond_couple,cond_family,cond_group
australia_nsw_northern-rivers_2026-06-24,2011Q2,1-2,room,1,0.0,0,,0.0,0.0,0.0,0.0,,,,
australia_nsw_northern-rivers_2026-06-24,2011Q4,1-2,room,3,0.0,0,,0.0,0.0,0.0,0.0,,,,
australia_nsw_northern-rivers_2026-06-24,2011Q4,3-4,entire,1,0.0,0,,0.0,0.0,0.0,0.0,,,,
australia_nsw_northern-rivers_2026-06-24,2012Q1,1-2,entire,3,0.0,0,,0.0,0.0,0.0,0.0,,,,
australia_nsw_northern-rivers_2026-06-24,2012Q1,3-4,entire,1,0.0,0,,0.0,0.0,0.0,0.0,,,,
australia_nsw_northern-rivers_2026-06-24,2012Q2,1-2,room,1,0.0,0,,0.0,0.0,0.0,0.0,,,,
australia_nsw_northern-rivers_2026-06-24,2012Q2,3-4,entire,2,0.0,0,,0.0,0.0,0.0,0.0,,,,
australia_nsw_northern-rivers_2026-06-24,2012Q3,1-2,entire,4,0.25,0,,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0
australia_nsw_northern-rivers_2026-06-24,2012Q3,1-2,room,7,0.2857142857142857,0,,0.0,0.2857142857142857,0.0,0.0,0.0,1.0,0.0,0.0
australia_nsw_northern-rivers_2026-06-24,2012Q3,7+,entire,1,0.0,0,,0.0,0.0,0.0,0.0,,,,
australia_nsw_northern-rivers_2026-06-24,2012Q4,1-2,entire,6,0.0,0,,0.0,0.0,0.0,0.0,,,,
australia_nsw_northern-rivers_2026-06-24,2012Q4,1-2,room,31,0.06451612903225806,0,,0.0,0.03225806451612903,0.0,0.03225806451612903,0.0,0.5,0.0,0.5
australia_nsw_northern-rivers_2026-06-24,2012Q4,3-4,entire,2,0.0,0,,0.0,0.0,0.0,0.0,,,,
australia_nsw_northern-rivers_2026-06-24,2012Q4,5-6,entire,4,0.0,0,,0.0,0.0,0.0,0.0,,,,
australia_nsw_northern-rivers_2026-06-24,2012Q4,7+,entire,1,0.0,0,,0.0,0.0,0.0,0.0,,,,
australia_nsw_northern-rivers_2026-06-24,2013Q1,1-2,entire,11,0.2727272727272727,1,3.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
australia_nsw_northern-rivers_2026-06-24,2013Q1,1-2,room,36,0.05555555555555555,0,,0.0,0.05555555555555555,0.0,0.0,0.0,1.0,0.0,0.0
australia_nsw_northern-rivers_2026-06-24,2013Q1,3-4,entire,3,0.0,0,,0.0,0.0,0.0,0.0,,,,
australia_nsw_northern-rivers_2026-06-24,2013Q1,5-6,entire,1,1.0,1,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
