year,room,bucket,cond_solo,cond_couple,cond_family,cond_group,implied_party_size,reviews,mentions,headcount_mean,review_share
2011,entire,1-2,0.0502283105022831,0.632420091324201,0.2694063926940639,0.1278538812785388,2.966666666666667,3945.0,437.9999999999999,3.34375,0.32083604424202994
2011,entire,3-4,0.027247956403269748,0.46321525885558573,0.3051771117166212,0.2861035422343324,3.488555858310626,2969.0,366.99999999999994,3.847058823529412,0.24146063760572545
2011,entire,5-6,0.0,0.371900826446281,0.3636363636363636,0.29752066115702475,3.5603305785123958,864.0,121.0,4.371428571428571,0.07026675341574495
2011,entire,7+,0.0,0.078125,0.3125,0.65625,4.459375,305.0,64.0,5.71875,0.024804814573845153
2011,room,1-2,0.1297709923664122,0.5381679389312978,0.2633587786259542,0.13740458015267176,2.8790076335877863,3515.0,261.9999999999999,3.6666666666666665,0.28586532205595316
2011,room,3-4,0.02439024390243902,0.46341463414634154,0.37804878048780494,0.21951219512195122,3.457317073170732,618.0,81.99999999999999,3.3,0.05026024723487313
2011,room,5-6,0.0,0.0,0.5,0.5,4.3,37.0,2.0,,0.0030091086532205596
2011,room,7+,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,2.5666666666666664,43.0,6.0,4.5,0.0034970722186076775
2012,entire,1-2,0.04282933160285527,0.6625567813108372,0.22712524334847503,0.16028552887735234,3.007073329007138,13173.0,1540.9999999999993,3.0584795321637426,0.3075863357227917
2012,entire,3-4,0.02964008468595624,0.4269583627381792,0.35003528581510235,0.28510938602681724,3.588708539167255,11175.0,1416.9999999999995,3.681114551083591,0.2609335232446821
2012,entire,5-6,0.011173184357541893,0.2513966480446927,0.45251396648044684,0.3687150837988827,4.011731843575419,4150.0,716.0,4.320158102766799,0.09690148737945689
2012,entire,7+,0.019230769230769232,0.16025641025641027,0.38461538461538464,0.5192307692307693,4.2801282051282055,1438.0,312.0,6.445255474452555,0.03357694912088169
2012,room,1-2,0.10545454545454544,0.5733333333333333,0.23272727272727273,0.15272727272727268,2.8775757575757575,10536.0,824.9999999999995,3.2,0.24601302916384524
