month,total_rpk_yoy_pct,international_rpk_yoy_pct,domestic_rpk_yoy_pct,source
2023-01,67.0,104.0,32.7,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2023-02,55.5,89.7,25.2,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2023-03,52.4,68.9,34.1,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2023-04,45.8,48.0,42.6,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2023-05,39.1,40.9,36.4,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2023-06,31.0,33.7,27.2,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2023-07,26.2,29.6,21.5,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2023-08,28.4,30.4,25.4,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2023-09,30.1,31.2,28.3,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2023-10,31.2,29.7,33.7,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2023-11,29.7,26.4,34.8,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2023-12,25.3,24.2,27.0,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2024-01,16.6,20.8,10.4,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2024-02,21.5,26.3,15.0,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2024-03,13.8,18.9,6.6,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2024-04,11.0,15.8,4.0,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2024-05,10.7,14.6,4.7,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2024-06,9.1,12.3,4.3,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2024-07,8.0,10.1,4.8,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2024-08,8.6,10.6,5.6,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2024-09,7.1,9.2,3.7,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2024-10,7.1,9.5,3.5,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2024-11,8.1,11.6,3.1,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2024-12,8.6,10.6,5.5,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2025-01,10.0,12.4,6.1,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2025-02,2.6,5.6,-1.9,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2025-03,3.3,4.9,0.9,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2025-04,8.0,10.8,3.3,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2025-05,5.0,6.7,2.1,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2025-06,2.6,3.2,1.6,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2025-07,4.0,5.3,1.8,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2025-08,4.6,6.6,1.5,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2025-09,3.6,5.1,0.9,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2025-10,6.6,8.5,3.4,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2025-11,5.7,7.7,2.7,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2025-12,5.6,7.7,2.2,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2026-01,3.8,5.9,0.1,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2026-02,6.1,5.9,6.3,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2026-03,2.1,-0.6,6.5,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2026-04,-3.4,-5.3,0.0,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2026-05,-2.2,-1.6,-3.1,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
2026-06,-1.7,-0.9,-3.0,"https://www.iata.org/en/iata-repository/publications/economic-reports/ (Air Passenger Market Analysis, monthly)"
