quarter_end,unearned_fees_musd,funds_held_musd,quarter,revenue_musd,gbv_b,nights_m,gbv_musd,unearned_fees_musd_yoy_pct,funds_held_musd_yoy_pct,revenue_musd_yoy_pct,gbv_musd_yoy_pct,next_q_revenue_musd,next_q_revenue_yoy_pct,unearned_to_next_q_revenue,rnpl_era,unearned_tag,funds_tag,fitted_next_q_revenue_yoy_pct,rnpl_gap_pts,fitted_next_q_revenue_yoy_funds_pct
2020-12-31,407.895,2181.329,4Q20,,,,,,,,,887.0,,0.46,False,DeferredRevenueCurrent,FundsHeldForClients,,,
2021-03-31,946.204,4014.876,1Q21,887.0,10.3,64.4,10300.0,,,,,1335.0,,0.709,False,DeferredRevenueCurrent,FundsHeldForClients,,,
2021-06-30,1483.909,6301.695,2Q21,1335.0,13.4,83.1,13400.0,,,,,2237.0,,0.663,False,DeferredRevenueCurrent,FundsHeldForClients,,,
2021-09-30,892.415,3940.494,3Q21,2237.0,11.9,79.7,11900.0,,,,,1532.0,,0.583,False,DeferredRevenueCurrent,FundsHeldForClients,,,
2021-12-31,904.0,3715.0,4Q21,1532.0,11.3,73.4,11300.0,121.626,70.309,,,1509.0,70.124,0.599,False,DeferredRevenueCurrent,FundsHeldForClients,81.369,,63.453
2022-03-31,1747.746,6104.653,1Q22,1509.0,17.2,102.1,17200.0,84.711,52.051,70.124,66.99,2104.0,57.603,0.831,False,DeferredRevenueCurrent,FundsHeldForClients,57.61,,47.594
2022-06-30,1980.863,7465.51,2Q22,2104.0,17.0,103.7,17000.0,33.49,18.468,57.603,26.866,2884.0,28.923,0.687,False,DeferredRevenueCurrent,FundsHeldForClients,24.643,,18.425
2022-09-30,1220.256,4805.382,3Q22,2884.0,15.6,99.7,15600.0,36.736,21.949,28.923,31.092,1902.0,24.151,0.642,False,DeferredRevenueCurrent,FundsHeldForClients,26.733,,21.448
2022-12-31,1182.0,4783.0,4Q22,1902.0,13.5,88.2,13500.0,30.752,28.748,24.151,19.469,1818.0,20.477,0.65,False,DeferredRevenueCurrent,FundsHeldForClients,22.881,,27.354
2023-03-31,2172.0,7760.0,1Q23,1818.0,20.4,121.1,20400.0,24.274,27.116,20.477,18.605,2484.0,18.061,0.874,False,DeferredRevenueCurrent,FundsHeldForClients,18.712,,25.936
2023-06-30,2347.0,9144.0,2Q23,2484.0,19.1,115.1,19100.0,18.484,22.483,18.061,12.353,3397.0,17.788,0.691,False,DeferredRevenueCurrent,FundsHeldForClients,14.985,,21.912
2023-09-30,1467.0,5986.0,3Q23,3397.0,18.3,113.2,18300.0,20.221,24.569,17.788,17.308,2218.0,16.614,0.661,False,DeferredRevenueCurrent,FundsHeldForClients,16.103,,23.724
2023-12-31,1427.0,5869.0,4Q23,2218.0,15.5,98.8,15500.0,20.728,22.705,16.614,14.815,2142.0,17.822,0.666,False,DeferredRevenueCurrent,FundsHeldForClients,16.429,,22.105
2024-03-31,2434.0,8737.0,1Q24,2142.0,22.9,132.6,22900.0,12.063,12.59,17.822,12.255,2748.0,10.628,0.886,False,DeferredRevenueCurrent,FundsHeldForClients,10.852,,13.32
2024-06-30,2621.0,10342.0,2Q24,2748.0,21.2,125.1,21200.0,11.674,13.101,10.628,10.995,3732.0,9.862,0.702,False,DeferredRevenueCurrent,FundsHeldForClients,10.602,,13.764
2024-09-30,1657.0,6573.0,3Q24,3732.0,20.1,122.8,20100.0,12.952,9.806,9.862,9.836,2480.0,11.812,0.668,False,DeferredRevenueCurrent,FundsHeldForClients,11.424,,10.901
2024-12-31,1616.0,5931.0,4Q24,2480.0,17.6,111.0,17600.0,13.245,1.056,11.812,13.548,2272.0,6.069,0.711,False,DeferredRevenueCurrent,FundsHeldForClients,11.613,,3.302
2025-03-31,2723.0,9175.0,1Q25,2272.0,24.5,143.1,24500.0,11.873,5.013,6.069,6.987,3096.0,12.664,0.88,False,DeferredRevenueCurrent,FundsHeldForClients,10.73,,6.738
2025-06-30,2857.0,11067.0,2Q25,3096.0,23.5,134.4,23500.0,9.004,7.01,12.664,10.849,4095.0,9.727,0.698,False,DeferredRevenueCurrent,FundsHeldForClients,8.884,,8.473
2025-09-30,1820.0,7209.0,3Q25,4095.0,22.9,133.6,22900.0,9.837,9.676,9.727,13.93,2778.0,12.016,0.655,True,DeferredRevenueCurrent,FundsHeldForClients,9.42,2.596,10.788
2025-12-31,1743.0,6959.0,4Q25,2778.0,20.4,121.9,20400.0,7.859,17.333,12.016,15.909,2678.0,17.87,0.651,True,DeferredRevenueCurrent,FundsHeldForClients,8.147,9.723,17.439
2026-03-31,2733.0,10550.0,1Q26,2678.0,29.2,156.2,29200.0,0.367,14.986,17.87,19.184,3608.0,16.537,0.757,True,DeferredRevenueCurrent,FundsHeldForClients,3.325,13.213,15.401
2026-06-30,2831.0,12224.0,2Q26,3608.0,27.2,148.3,27200.0,-0.91,10.455,16.537,15.745,,,,True,DeferredRevenueCurrent,FundsHeldForClients,2.503,,11.464
