quarter,call_date,source,topic,mgmt_prepared_mentions,mgmt_prepared_words,mgmt_prepared_per_1k_words,mgmt_qa_mentions,mgmt_qa_words,mgmt_qa_per_1k_words,analyst_mentions,analyst_words,analyst_per_1k_words
2020Q4,2021-02-25,sa,margin_ebitda,3,1232,2.44,8,6494,1.23,1,1570,0.64
2020Q4,2021-02-25,sa,take_rate_fees,0,1232,0.0,5,6494,0.77,1,1570,0.64
2020Q4,2021-02-25,sa,adr_pricing,0,1232,0.0,9,6494,1.39,4,1570,2.55
2020Q4,2021-02-25,sa,nights_demand,1,1232,0.81,18,6494,2.77,6,1570,3.82
2020Q4,2021-02-25,sa,supply_hosts,21,1232,17.05,104,6494,16.01,20,1570,12.74
2020Q4,2021-02-25,sa,marketing,2,1232,1.62,24,6494,3.7,5,1570,3.18
2020Q4,2021-02-25,sa,ai,0,1232,0.0,0,6494,0.0,0,1570,0.0
2020Q4,2021-02-25,sa,international_expansion,0,1232,0.0,14,6494,2.16,1,1570,0.64
2020Q4,2021-02-25,sa,services_experiences,0,1232,0.0,13,6494,2.0,2,1570,1.27
2020Q4,2021-02-25,sa,hotels,0,1232,0.0,15,6494,2.31,1,1570,0.64
2020Q4,2021-02-25,sa,regulation,0,1232,0.0,0,6494,0.0,0,1570,0.0
2020Q4,2021-02-25,sa,buyback_capital,0,1232,0.0,2,6494,0.31,1,1570,0.64
2020Q4,2021-02-25,sa,fx,0,1232,0.0,2,6494,0.31,0,1570,0.0
2020Q4,2021-02-25,sa,guidance,1,1232,0.81,2,6494,0.31,1,1570,0.64
2021Q1,2021-05-12,sa,margin_ebitda,3,1116,2.69,2,6502,0.31,0,1892,0.0
2021Q1,2021-05-12,sa,take_rate_fees,0,1116,0.0,11,6502,1.69,6,1892,3.17
2021Q1,2021-05-12,sa,adr_pricing,0,1116,0.0,11,6502,1.69,4,1892,2.11
2021Q1,2021-05-12,sa,nights_demand,3,1116,2.69,43,6502,6.61,14,1892,7.4
2021Q1,2021-05-12,sa,supply_hosts,15,1116,13.44,90,6502,13.84,29,1892,15.33
2021Q1,2021-05-12,sa,marketing,3,1116,2.69,20,6502,3.08,2,1892,1.06
2021Q1,2021-05-12,sa,ai,0,1116,0.0,0,6502,0.0,0,1892,0.0
2021Q1,2021-05-12,sa,international_expansion,4,1116,3.58,16,6502,2.46,4,1892,2.11
2021Q1,2021-05-12,sa,services_experiences,1,1116,0.9,14,6502,2.15,3,1892,1.59
2021Q1,2021-05-12,sa,hotels,0,1116,0.0,5,6502,0.77,1,1892,0.53
2021Q1,2021-05-12,sa,regulation,0,1116,0.0,0,6502,0.0,3,1892,1.59
2021Q1,2021-05-12,sa,buyback_capital,0,1116,0.0,0,6502,0.0,0,1892,0.0
2021Q1,2021-05-12,sa,fx,0,1116,0.0,0,6502,0.0,0,1892,0.0
2021Q1,2021-05-12,sa,guidance,0,1116,0.0,2,6502,0.31,1,1892,0.53
