country,region,market,snapshot_date,listings,hosts,entire_home_share,multi_host_share,superhost_share,license_disclosed_share,price_n,price_median_native,avail365_mean,avail30_mean,reviews_total,reviews_ltm,reviews_l30d,rating_mean,est_occupancy_l365d_mean
argentina,ciudad-autónoma-de-buenos-aires,buenos-aires,2026-07-24,29609,14518,0.9024,0.6368,0.4162,0.0168,27691,103642.03,235.6,14.3,1196151,375489,28015,4.779,74.89
australia,sa,barossa-valley,2026-06-29,360,230,0.8778,0.5278,0.5,0.0,325,377.0,236.3,17.24,24248,4468,321,4.833,71.14
australia,vic,barwon-south-west-vic,2026-06-29,7095,3683,0.916,0.5674,0.4414,0.0,5974,380.47,199.2,16.98,451416,74577,4099,4.803,55.88
australia,qld,brisbane,2026-07-14,6358,2762,0.7575,0.6839,0.3726,0.0,5581,289.67,188.4,11.72,323588,94199,6846,4.741,83.01
australia,vic,melbourne,2026-06-16,25728,14113,0.7318,0.5576,0.3065,0.0,19175,243.67,166.0,13.06,1026690,236978,14709,4.737,53.08
australia,nsw,mid-north-coast,2026-07-16,5280,2569,0.9371,0.6049,0.3907,0.9873,4733,339.0,229.9,18.61,293598,57033,3574,4.75,58.59
australia,vic,mornington-peninsula,2026-06-22,4458,2441,0.9758,0.5155,0.4715,0.0,3967,546.5,231.7,19.41,223616,40659,2530,4.826,50.16
australia,nsw,northern-rivers,2026-06-24,6367,2998,0.9078,0.6312,0.45,0.9772,5562,402.0,208.9,14.51,328022,63224,3665,4.818,56.01
australia,qld,sunshine-coast,2026-07-26,7281,3186,0.9322,0.6571,0.5496,0.0,6403,408.97,191.7,11.59,404969,86206,7402,4.813,64.57
australia,nsw,sydney,2026-06-16,20573,9735,0.7871,0.6285,0.3338,0.9383,17786,291.0,177.1,15.1,801398,217964,13619,4.713,65.55
australia,tas,tasmania,2026-06-15,6618,3672,0.8827,0.568,0.5996,0.9654,5865,280.0,212.7,14.65,675121,124589,6910,4.841,96.73
australia,wa,western-australia,2026-06-28,11724,5624,0.8442,0.639,0.5647,0.9996,11547,324.0,228.9,15.63,783474,196436,13324,4.805,93.1
austria,vienna,vienna,2026-06-20,13283,5838,0.8341,0.6695,0.2553,0.0,10492,118.5,181.0,11.0,640702,153452,12655,4.716,68.33
belgium,vlg,antwerp,2026-06-29,2535,1298,0.8296,0.6107,0.245,0.0,2069,139.5,199.7,11.96,130595,35417,2878,4.664,74.98
belgium,bru,brussels,2026-06-27,5078,3061,0.7263,0.5329,0.2763,0.0,4378,123.25,189.5,10.12,330354,92286,6977,4.694,96.04
belgium,vlg,ghent,2026-06-29,1383,874,0.7101,0.5184,0.3673,0.0,1211,148.5,176.3,9.22,103295,26200,1896,4.746,95.54
belize,bz,belize,2026-06-29,3608,1040,0.7154,0.8573,0.4573,0.0,3487,363.0,289.0,19.91,101614,20242,1045,4.788,33.58
brazil,rj,rio-de-janeiro,2026-06-24,48713,27688,0.81,0.5636,0.3575,0.0,44542,452.67,197.4,18.91,1387891,458231,33069,4.806,55.24
brazil,sp,são-paulo,2026-06-14,42354,15840,0.8588,0.7294,0.4873,0.0,41832,331.0,261.1,20.37,1576453,595000,52504,4.774,75.77
canada,qc,montreal,2026-06-15,10656,3845,0.8191,0.7625,0.3989,0.5304,9485,162.26,197.1,11.35,446448,122415,12461,4.741,89.51
canada,nb,new-brunswick,2026-06-30,4620,2922,0.8506,0.5143,0.4645,0.0002,4114,229.0,196.2,9.42,214936,63457,6009,4.851,72.13
canada,on,ottawa,2026-06-24,2727,1616,0.6102,0.5592,0.4173,0.5922,2484,119.18,220.0,12.35,146135,35433,3153,4.767,94.38
canada,qc,quebec-city,2026-07-16,2504,1137,0.8454,0.6629,0.4533,0.7208,2293,245.0,216.7,8.13,189664,46061,4444,4.751,111.33
canada,on,toronto,2026-07-14,22212,14808,0.6829,0.4598,0.3618,0.5416,17557,177.0,186.6,10.78,689679,169594,21133,4.794,69.19
canada,bc,vancouver,2026-07-14,6624,4529,0.8167,0.4221,0.4226,0.8293,5830,321.75,170.9,9.33,337230,89215,11079,4.804,87.37
