city,segment,n,med,p25,p75
austin,R2,410,87.0,64.0,117.0
austin,E8+,1937,445.0,311.47,694.0
austin,E4,1525,195.0,148.0,261.5
austin,E6,1097,262.0,194.0,347.0
austin,E3,479,154.5,121.67,194.0
austin,R1,274,45.74,37.33,68.07
austin,E2,1166,145.5,104.5,185.62
austin,E5,354,218.0,156.4,274.0
austin,E7,182,286.0,213.97,390.0
austin,R4,95,178.0,101.0,305.0
austin,R5,4,172.0,78.74,233.0
austin,R3,21,100.0,85.0,113.0
austin,E1,39,73.32,53.98,99.57
austin,R8+,9,394.0,350.0,484.8
austin,R6,17,200.0,114.0,443.0
chicago,R1,307,63.0,46.5,83.31
chicago,E2,746,171.5,136.94,232.47
chicago,E4,1101,223.0,169.83,296.5
chicago,R3,70,80.0,57.63,143.5
chicago,R2,691,103.0,70.5,156.0
chicago,E1,26,111.85,78.61,168.5
chicago,E5,406,259.62,186.5,385.5
chicago,E7,161,362.33,266.66,494.5
chicago,E3,300,181.0,143.0,250.0
chicago,E6,839,302.5,229.5,408.0
chicago,E8+,1076,485.0,340.0,711.5
chicago,R4,100,179.1,91.0,247.0
chicago,R8+,27,602.0,423.14,714.0
chicago,R7,1,108.5,108.5,108.5
chicago,R6,13,103.67,75.0,264.5
chicago,R5,12,205.5,72.47,357.0
denver,E2,797,135.6,89.17,196.0
denver,R2,250,125.0,92.31,176.11
denver,R1,98,48.86,42.07,69.0
denver,R4,35,233.5,151.0,339.0
denver,E4,776,209.0,134.69,286.5
denver,E6,368,335.0,220.83,463.93
denver,E8+,408,536.11,369.74,743.48
denver,E5,168,273.0,195.0,387.0
denver,E1,23,76.89,65.27,88.5
denver,E3,223,181.89,120.41,257.0
denver,R3,18,144.0,108.0,175.0
denver,E7,57,326.5,257.0,497.41
denver,R8+,8,47.0,45.0,260.0
denver,R5,3,126.0,93.66,132.5
denver,R6,7,512.0,135.0,550.0
nashville,R2,224,116.0,88.0,159.0
nashville,E2,582,159.8,110.5,214.54
nashville,E4,1368,205.0,159.0,258.0
nashville,R1,74,45.67,37.19,55.07
nashville,E6,1238,271.0,214.0,341.5
nashville,E3,200,172.0,133.5,222.0
nashville,E8+,3476,410.0,315.5,579.93
nashville,R4,73,206.0,149.0,276.79
nashville,E5,253,226.0,181.45,304.0
nashville,E7,116,293.0,224.29,370.0
nashville,E1,19,72.68,56.41,127.0
nashville,R5,6,185.0,185.0,185.0
nashville,R6,19,277.5,204.71,428.5
nashville,R3,18,165.0,95.0,185.0
nashville,R8+,13,382.0,228.5,555.0
neworleans,E2,786,146.32,98.61,177.5
neworleans,E3,55,154.0,76.67,174.98
neworleans,R2,308,125.0,97.0,177.67
neworleans,E6,839,275.0,196.67,374.22
neworleans,E8+,712,431.0,301.5,631.5
neworleans,R4,135,157.0,117.13,251.5
neworleans,E4,1142,194.5,155.99,257.0
neworleans,E7,21,176.34,90.0,228.5
neworleans,E5,60,201.42,143.03,232.0
neworleans,E1,3,57.74,36.53,84.63
neworleans,R5,12,136.0,136.0,271.0
neworleans,R1,12,36.28,33.94,41.67
neworleans,R3,22,140.0,97.0,201.0
neworleans,R8+,135,471.0,361.0,768.1
neworleans,R7,3,535.0,362.0,660.0
neworleans,R6,102,265.5,246.0,288.0
sanfrancisco,E3,217,256.5,181.5,365.0
sanfrancisco,R1,339,80.77,68.37,120.0
sanfrancisco,R2,871,156.0,104.0,217.5
sanfrancisco,E2,820,203.0,153.39,285.29
sanfrancisco,E4,723,294.0,224.03,447.0
sanfrancisco,E1,48,153.72,114.0,221.42
sanfrancisco,E8+,184,800.0,476.5,1299.33
sanfrancisco,R8+,32,742.0,507.0,1112.0
sanfrancisco,E6,293,489.0,339.03,806.67
sanfrancisco,R4,176,274.0,183.67,407.5
sanfrancisco,E5,169,442.5,291.0,683.57
sanfrancisco,E7,44,662.0,393.63,999.0
sanfrancisco,R6,32,503.5,366.0,999.0
sanfrancisco,R3,70,182.0,140.0,250.0
sanfrancisco,R7,3,199.0,179.0,465.5
sanfrancisco,R5,15,261.0,205.0,441.0
seattle,R2,494,142.65,103.0,189.0
seattle,E8+,639,552.33,429.0,732.0
seattle,E2,1107,213.4,160.0,274.0
seattle,E5,287,349.0,268.18,445.5
seattle,E6,756,404.0,322.5,515.5
seattle,E4,1229,302.0,231.28,391.5
seattle,E7,125,427.94,338.0,520.0
seattle,E3,398,228.0,170.33,297.0
seattle,R1,206,78.0,56.57,111.33
seattle,R5,10,261.0,180.5,309.26
seattle,R4,48,225.28,159.2,308.0
seattle,E1,20,96.61,75.42,137.0
seattle,R3,25,177.0,132.0,276.5
seattle,R6,1,431.0,431.0,431.0
seattle,R8+,1,475.0,475.0,475.0
washingtondc,R2,410,130.0,92.0,200.0
washingtondc,E4,1001,223.0,176.0,294.42
washingtondc,E1,23,103.28,72.82,134.5
washingtondc,E3,400,190.5,151.33,242.86
washingtondc,E2,827,177.0,131.0,228.5
washingtondc,R1,208,63.28,44.23,100.42
washingtondc,E5,296,274.2,205.41,383.0
washingtondc,E6,443,319.0,243.5,411.0
washingtondc,R6,23,53.0,49.0,188.33
washingtondc,E7,87,367.01,285.29,456.0
washingtondc,E8+,456,490.0,377.0,655.67
washingtondc,R3,41,137.0,112.5,191.0
washingtondc,R4,72,236.61,172.0,356.15
washingtondc,R8+,33,515.0,106.0,690.0
washingtondc,R5,4,223.0,219.0,268.0
losangeles,R1,1177,66.0,51.1,90.15
losangeles,R2,2910,103.0,66.93,149.27
losangeles,E2,4539,168.7,115.8,251.5
losangeles,E6,2837,407.33,288.34,608.29
losangeles,E4,3784,266.5,185.5,386.0
losangeles,E3,1605,210.76,139.5,296.5
losangeles,R4,324,179.0,115.0,260.13
losangeles,E5,1161,322.53,245.0,454.19
losangeles,E1,302,91.63,73.67,121.8
losangeles,E8+,3364,576.98,399.41,970.3
losangeles,R3,233,123.25,81.5,179.0
losangeles,E7,557,438.0,316.63,628.0
losangeles,R7,10,352.0,307.56,364.0
losangeles,R5,48,246.0,147.0,303.94
losangeles,R6,42,289.52,160.32,415.0
losangeles,R8+,40,498.0,328.0,676.0
