eps,theta,sigma,host_price_chg,guest_price_chg,perceived_price_chg,nights_chg,gbv_chg,abnb_rev_chg,host_payout_chg,take_rate_old,take_rate_new,take_rate_chg_bp
-0.5000,0.0000,0.0000,0.0000,-0.1228,-0.1228,0.0677,-0.0634,-0.0265,-0.0699,0.1491,0.1550,58.7719
-0.5000,0.0000,0.2500,0.0000,-0.1228,-0.0950,0.0512,-0.0779,-0.0416,-0.0843,0.1491,0.1550,58.7719
-0.5000,0.0000,0.5000,0.0000,-0.1228,-0.0654,0.0344,-0.0926,-0.0569,-0.0989,0.1491,0.1550,58.7719
-0.5000,0.5000,0.0000,0.0740,-0.0579,-0.0579,0.0303,-0.0294,0.0089,-0.0361,0.1491,0.1550,58.7719
-0.5000,0.5000,0.2500,0.0740,-0.0579,-0.0281,0.0143,-0.0444,-0.0067,-0.0510,0.1491,0.1550,58.7719
-0.5000,0.5000,0.5000,0.0740,-0.0579,0.0037,-0.0018,-0.0597,-0.0226,-0.0662,0.1491,0.1550,58.7719
-0.5000,1.0000,0.0000,0.1479,0.0070,0.0070,-0.0035,0.0035,0.0430,-0.0035,0.1491,0.1550,58.7719
-0.5000,1.0000,0.2500,0.1479,0.0070,0.0388,-0.0189,-0.0121,0.0269,-0.0189,0.1491,0.1550,58.7719
-0.5000,1.0000,0.5000,0.1479,0.0070,0.0728,-0.0345,-0.0278,0.0105,-0.0345,0.1491,0.1550,58.7719
-0.5000,1.2400,0.0000,0.1834,0.0381,0.0381,-0.0185,0.0189,0.0590,0.0118,0.1491,0.1550,58.7719
-0.5000,1.2400,0.2500,0.1834,0.0381,0.0710,-0.0337,0.0031,0.0426,-0.0038,0.1491,0.1550,58.7719
-0.5000,1.2400,0.5000,0.1834,0.0381,0.1060,-0.0491,-0.0129,0.0260,-0.0197,0.1491,0.1550,58.7719
-1.0000,0.0000,0.0000,0.0000,-0.1228,-0.1228,0.1400,0.0000,0.0394,-0.0069,0.1491,0.1550,58.7719
-1.0000,0.0000,0.2500,0.0000,-0.1228,-0.0950,0.1050,-0.0307,0.0075,-0.0374,0.1491,0.1550,58.7719
-1.0000,0.0000,0.5000,0.0000,-0.1228,-0.0654,0.0700,-0.0614,-0.0244,-0.0679,0.1491,0.1550,58.7719
-1.0000,0.5000,0.0000,0.0740,-0.0579,-0.0579,0.0615,0.0000,0.0394,-0.0069,0.1491,0.1550,58.7719
-1.0000,0.5000,0.2500,0.0740,-0.0579,-0.0281,0.0289,-0.0307,0.0075,-0.0374,0.1491,0.1550,58.7719
