quarter,revenue_musd,nights_m,gbv_busd,adr,take_rate_pct,cor_cash,ops_cash,pd_cash,sm_cash,ga_cash,restr,sbc_ops,sbc_pd,sbc_sm,sbc_ga,sbc_total,sbc_total_letter,da,other_addbacks,adj_ebitda,adj_ebitda_implied,identity_gap,cor_cash_pct_rev,ops_cash_pct_rev,pd_cash_pct_rev,sm_cash_pct_rev,ga_cash_pct_rev,adj_ebitda_margin_pct,cor_cash_per_night,ops_cash_per_night,pd_cash_per_night,sm_cash_per_night,ga_cash_per_night,rev_per_night
3Q21,2237.4,79.7,11.9,149.15,18.8,311.6,217.1,213.1,267.2,166.0,-0.5,11.2,131.3,23.7,44.7,210.8,210.8,33.7,4.8,1101.0,1101.4,0.4,13.9,9.7,9.5,11.9,7.4,49.2,3.91,2.72,2.67,3.35,2.08,28.07
4Q21,1532.4,73.4,11.3,153.61,13.6,295.5,213.4,241.5,324.4,155.8,0.9,11.7,126.3,26.3,61.4,225.9,225.7,30.0,1.8,333.0,332.7,-0.3,19.3,13.9,15.8,21.2,10.2,21.7,4.03,2.91,3.29,4.42,2.12,20.88
1Q22,1509.0,102.1,17.2,168.07,8.8,363.0,221.0,245.1,323.8,165.9,0.3,11.7,117.9,21.2,44.1,195.0,194.9,29.0,10.0,229.0,228.9,-0.1,24.1,14.6,16.2,21.5,11.0,15.2,3.56,2.16,2.4,3.17,1.62,14.78
2Q22,2104.0,103.7,17.0,163.74,12.4,390.0,241.1,230.1,349.9,187.8,89.0,16.9,144.9,29.1,56.2,247.0,247.1,26.0,70.0,711.0,712.1,1.1,18.5,11.5,10.9,16.6,8.9,33.8,3.76,2.32,2.22,3.37,1.81,20.29
3Q22,2884.0,99.7,15.6,156.44,18.5,401.0,272.1,230.1,356.6,186.9,0.0,17.9,135.9,27.4,53.1,234.0,234.4,13.0,5.0,1457.0,1455.3,-1.7,13.9,9.4,8.0,12.4,6.5,50.5,4.02,2.73,2.31,3.58,1.87,28.93
4Q22,1902.0,88.2,13.5,152.81,14.1,345.0,243.0,249.0,372.0,204.0,0.0,17.0,149.0,36.0,52.0,254.0,254.0,13.0,5.0,506.0,507.0,1.0,18.1,12.8,13.1,19.6,10.7,26.6,3.91,2.76,2.82,4.22,2.31,21.56
1Q23,1818.0,121.1,20.4,168.43,8.9,428.0,267.0,271.0,422.0,195.0,0.0,15.0,149.0,28.0,48.0,240.0,240.0,11.0,16.0,262.0,262.0,0.0,23.5,14.7,14.9,23.2,10.7,14.4,3.53,2.2,2.24,3.48,1.61,15.01
2Q23,2484.0,115.1,19.1,166.01,13.0,432.0,298.0,260.0,450.0,217.0,0.0,19.0,191.0,36.0,58.0,304.0,304.0,9.0,-17.0,819.0,819.0,0.0,17.4,12.0,10.5,18.1,8.7,33.0,3.75,2.59,2.26,3.91,1.89,21.58
3Q23,3397.0,113.2,18.3,161.38,18.6,459.0,299.0,244.0,370.0,243.0,0.0,17.0,175.0,33.0,61.0,286.0,286.0,8.0,44.0,1834.0,1834.0,0.0,13.5,8.8,7.2,10.9,7.2,54.0,4.05,2.64,2.16,3.27,2.15,30.01
4Q23,2218.0,98.8,15.5,156.73,14.3,384.0,255.0,282.0,388.0,1151.0,0.0,16.0,150.0,36.0,52.0,270.0,254.0,16.0,928.0,738.0,702.0,-36.0,17.3,11.5,12.7,17.5,51.9,33.3,3.89,2.58,2.85,3.93,11.65,22.45
1Q24,2142.0,132.6,22.9,172.88,9.4,480.0,266.0,290.0,479.0,231.0,0.0,19.0,185.0,35.0,56.0,295.0,295.0,14.0,14.0,424.0,424.0,0.0,22.4,12.4,13.5,22.4,10.8,19.8,3.62,2.01,2.19,3.61,1.74,16.15
2Q24,2748.0,125.1,21.2,169.53,13.0,506.0,314.0,280.0,527.0,242.0,0.0,24.0,239.0,46.0,73.0,382.0,382.0,14.0,1.0,894.0,894.0,0.0,18.4,11.4,10.2,19.2,8.8,32.5,4.04,2.51,2.24,4.21,1.93,21.97
