geo,nights_2019_m,nights_2023_m,nights_2024_m,nights_2025_m,growth_2024_pct,growth_2025_pct,growth_2025_vs_2019_pct,q1_2026_yoy_pct,share_of_eu27_2025_pct
EU27_2020,511.94,718.98,854.08,951.61,18.79,11.42,85.88,9.73,100.0
FR,99.45,159.11,192.39,212.56,20.91,10.48,113.73,8.11,22.34
ES,105.6,141.06,170.59,189.49,20.94,11.08,79.44,6.48,19.91
IT,76.04,107.27,126.73,138.74,18.14,9.48,82.44,14.72,14.58
DE,37.24,49.28,60.42,68.3,22.61,13.05,83.43,14.88,7.18
EL,24.3,38.45,45.37,52.15,18.01,14.94,114.58,14.86,5.48
PT,31.06,39.52,44.9,49.5,13.6,10.26,59.36,4.88,5.2
PL,19.69,32.74,39.02,44.39,19.17,13.76,125.49,11.88,4.66
HR,25.63,34.5,37.69,41.94,9.24,11.29,63.65,15.55,4.41
AT,15.57,20.9,23.21,24.85,11.02,7.07,59.58,4.0,2.61
BE,6.99,11.07,12.28,13.44,10.89,9.42,92.31,3.75,1.41
HU,9.17,9.75,11.47,12.99,17.6,13.28,41.67,4.11,1.37
CZ,9.4,8.88,10.68,12.15,20.31,13.8,29.28,18.38,1.28
NL,9.4,10.04,11.25,11.9,11.99,5.79,26.64,8.43,1.25
CH,6.38,8.89,10.19,11.31,14.68,10.96,77.16,6.06,1.19
RO,4.19,7.61,9.22,10.37,21.13,12.55,147.45,8.26,1.09
NO,3.97,6.43,8.31,9.86,29.32,18.69,148.46,18.06,1.04
SE,3.65,6.38,8.02,9.17,25.78,14.26,151.19,13.32,0.96
IE,6.91,6.47,7.44,8.42,14.92,13.15,21.81,15.68,0.88
DK,4.68,6.12,7.29,8.22,19.1,12.74,75.5,9.82,0.86
MT,3.21,4.14,5.83,7.84,40.77,34.44,144.14,30.52,0.82
CY,4.24,5.36,6.12,7.64,14.34,24.7,80.02,22.31,0.8
FI,2.92,4.33,5.44,6.34,25.61,16.63,117.45,19.14,0.67
BG,3.05,3.88,4.45,5.01,14.55,12.6,64.34,8.53,0.53
SI,2.58,3.48,3.97,4.53,14.05,14.03,75.28,24.71,0.48
SK,2.24,3.12,3.79,4.44,21.5,17.09,98.24,23.5,0.47
LT,1.58,2.06,2.49,2.73,20.47,9.84,73.0,11.3,0.29
IS,2.19,2.43,2.53,2.71,4.07,7.21,23.91,-1.32,0.28
LV,1.34,1.54,1.77,2.05,15.14,15.51,52.9,11.27,0.21
EE,1.52,1.48,1.77,1.91,19.45,8.09,25.63,11.34,0.2
LU,0.28,0.43,0.5,0.55,15.82,10.2,94.57,9.03,0.06
LI,0.02,0.02,0.02,0.03,9.63,15.61,67.06,22.11,0.0
