geo,country,month,platform_nights,hotel_nights,platform_share,hotel_bed_occupancy
EU27_2020,EU27,1,33315803,97447720,0.2547790257991137,0.24368535822690815
EU27_2020,EU27,2,41164689,108029696,0.2759131250147249,0.2887783316853257
EU27_2020,EU27,3,49226805,126961282,0.2793991684579673,0.3174892699913092
EU27_2020,EU27,4,53512230,133266382,0.28650084411163734,0.344364837253416
EU27_2020,EU27,5,73033084,172343151,0.29763715300302,0.43097470612333594
EU27_2020,EU27,6,82279391,195842650,0.2958391600470097,0.5060640296704965
EU27_2020,EU27,7,135023789,235490543,0.3644225805548596,0.5888859927149052
EU27_2020,EU27,8,152155667,251236812,0.3771901433987816,0.6282623393549523
EU27_2020,EU27,9,79010570,193781122,0.2896370099130438,0.5007369716115978
EU27_2020,EU27,10,65043063,161704954,0.2868517390385822,0.40437200216234614
EU27_2020,EU27,11,38585361,109961190,0.25975265491017696,0.28414343310184526
EU27_2020,EU27,12,51732356,111515274,0.31689498953216044,0.27886377939331797
BE,Belgium,1,509583,1190672,0.29970974941993994,0.25846741089318037
BE,Belgium,2,606957,1343943,0.3111164078117792,0.31185893910556733
BE,Belgium,3,861070,1653209,0.34247193728301434,0.35887351839574944
BE,Belgium,4,955992,1741186,0.3544415681871942,0.39057033777024086
BE,Belgium,5,1270837,1950973,0.394448151815284,0.423511210503397
BE,Belgium,6,969985,1834135,0.3459142262100053,0.41141998986106065
BE,Belgium,7,1564218,2094555,0.42752529331554595,0.45467954887942724
BE,Belgium,8,1620377,2112310,0.43410470794899225,0.4585337496000358
BE,Belgium,9,938475,1807047,0.3418202440191701,0.4053438042556628
BE,Belgium,10,1099264,1836154,0.37448295268339976,0.39858665558706063
BE,Belgium,11,805459,1622863,0.3316936551248146,0.3640289722435319
BE,Belgium,12,1077779,1741272,0.38231979485294876,0.37798996323151124
BG,Bulgaria,1,201025,949186,0.17477228091193703,0.10221292303981323
BG,Bulgaria,2,257140,1074959,0.19303370094865321,0.12373999106735856
BG,Bulgaria,3,221638,977317,0.184859314986801,0.1052422046959196
BG,Bulgaria,4,208052,922244,0.18406859796018035,0.10262206792184092
BG,Bulgaria,5,260885,1323683,0.1646410882966209,0.14254056487148895
BG,Bulgaria,6,430023,3320228,0.11466512508096124,0.36945609115591754
BG,Bulgaria,7,829899,5418975,0.13280776664723917,0.5835413445095818
BG,Bulgaria,8,942514,5758384,0.1406548793907921,0.6200905413961983
BG,Bulgaria,9,389819,2850774,0.12029248967704367,0.317217919615436
BG,Bulgaria,10,249609,988576,0.20159265376337138,0.10645462807817056
BG,Bulgaria,11,190851,864326,0.18087107660610494,0.0961772822361686
BG,Bulgaria,12,265793,908755,0.22629385942507246,0.09785911810440259
CZ,Czechia,1,539582,2546962,0.17481753054549037,0.22410753802713793
CZ,Czechia,2,748504,3042538,0.1974401760782392,0.28617632756410316
CZ,Czechia,3,706747,3238676,0.1791308561844953,0.2849715483888566
CZ,Czechia,4,686738,3089779,0.18184427608825804,0.28093241682805525
CZ,Czechia,5,1053282,4067529,0.20568656019525033,0.3579024382947159
CZ,Czechia,6,866281,3974633,0.17894988425739436,0.3613861233099661
CZ,Czechia,7,1354316,5027665,0.21220934377585893,0.44238493749620544
CZ,Czechia,8,1405092,5217085,0.21217977109340327,0.4590520294485394
CZ,Czechia,9,792634,3726832,0.1753822243601346,0.3388552776338161
CZ,Czechia,10,934092,3873819,0.19428229848680642,0.3408578686500817
CZ,Czechia,11,600041,2993474,0.16697884939954336,0.27217606357346136
CZ,Czechia,12,991949,3250192,0.23383216163724874,0.28598484281881686
DK,Denmark,1,189891,980443,0.162253681427695,0.25397044549860753
DK,Denmark,2,218701,1068813,0.16986300731487192,0.2959553901410506
DK,Denmark,3,408628,1409846,0.2247092892172228,0.36520146169071516
DK,Denmark,4,394755,1509429,0.20730927263331694,0.4040303217672708
DK,Denmark,5,669430,1876310,0.2629608679598074,0.4860326266733429
DK,Denmark,6,706765,1941519,0.2668765887646491,0.5196882703905051
DK,Denmark,7,1510668,2380847,0.3881953429448428,0.6167260853043198
DK,Denmark,8,1401286,2372541,0.3713169681599077,0.6145745287933229
DK,Denmark,9,547152,1847549,0.22848447467971994,0.49453522951447165
DK,Denmark,10,546271,1731979,0.2397765829035444,0.44864564102577387
DK,Denmark,11,287561,1506623,0.16027397412974367,0.4032792370306724
DK,Denmark,12,405714,1293501,0.23876554762051888,0.3350638693150896
DE,Germany,1,2329585,16575999,0.12322205968353053,0.27537030131121193
DE,Germany,2,2860170,18587309,0.13335693206646804,0.3300787778945405
DE,Germany,3,3991342,22578534,0.1502205731031639,0.3750879636723822
DE,Germany,4,3946758,23140339,0.14570620100042467,0.3972350340374281
DE,Germany,5,6163274,27874429,0.18107197186602164,0.46306650432399177
DE,Germany,6,5984820,28591632,0.17308947719679277,0.4908138083329557
DE,Germany,7,7989051,30434400,0.20792122498314897,0.5055942569872228
DE,Germany,8,8017867,31124486,0.2048386564803603,0.5170583738558742
DE,Germany,9,5693379,29088047,0.16369021212643783,0.49933543930049207
DE,Germany,10,5905729,27958218,0.17439576668366508,0.4644584567593512
DE,Germany,11,3188871,22260817,0.12530098600815853,0.3821368562792429
DE,Germany,12,4349162,21734359,0.1667398354692988,0.36106402918074804
EE,Estonia,1,70874,279967,0.20201173751072424,0.2519583067845971
EE,Estonia,2,79802,332534,0.19353633929610803,0.3199054138816096
EE,Estonia,3,92833,357795,0.20600805986312434,0.3220001727917751
EE,Estonia,4,100024,353538,0.2205299385751011,0.32877469032474055
EE,Estonia,5,133256,437916,0.2333027529360683,0.3941056405715088
EE,Estonia,6,202171,514532,0.28208476872567856,0.478491983781572
EE,Estonia,7,356426,688872,0.3409802754812503,0.61995529012819
EE,Estonia,8,275220,603046,0.31336747636820733,0.5427155667390232
EE,Estonia,9,117409,414429,0.22076083318604536,0.38540062493025334
EE,Estonia,10,113079,428247,0.20889260815109564,0.3854039547717529
EE,Estonia,11,92552,369694,0.20022239240577527,0.34379905516497417
EE,Estonia,12,136935,424153,0.2440526263259952,0.38171953015036486
IE,Ireland,1,185354,1122415,0.14173298189512062,0.21059726906424875
IE,Ireland,2,254072,1354109,0.1579871917402332,0.27159176264710455
IE,Ireland,3,458850,1965016,0.18930501933687754,0.3686934006294943
IE,Ireland,4,486714,1969245,0.1981767610941388,0.38180311182201543
IE,Ireland,5,748172,2421673,0.23602794458404117,0.4543753605989108
IE,Ireland,6,862328,3305252,0.20691336459048176,0.6408321458000097
IE,Ireland,7,1179731,2615389,0.31085472923122326,0.4907220421507878
IE,Ireland,8,1359011,3873007,0.2597489152369124,0.7266872745523882
IE,Ireland,9,692002,2519298,0.21548967707781896,0.48844903300857934
IE,Ireland,10,535715,2411993,0.18173950744103554,0.45255911476778604
IE,Ireland,11,328939,1580172,0.1722995677045494,0.3063684746255635
IE,Ireland,12,349713,1303261,0.21156594114607974,0.24452916922701665
EL,Greece,1,641045,1356200,0.3209646287761391,0.04824129154337487
EL,Greece,2,676119,1468431,0.3152731342239631,0.05583575933394562
EL,Greece,3,1128601,2362317,0.3232963363791415,0.08402980616050043
EL,Greece,4,2071460,5673862,0.267446595506294,0.20855201687276106
EL,Greece,5,3289797,12593343,0.2071251024671444,0.4479568877515994
EL,Greece,6,6021837,17703681,0.2538126670195357,0.6507275606318905
EL,Greece,7,9434792,21889123,0.3012009194891507,0.7786164019110694
EL,Greece,8,10402697,22906206,0.31230980497916727,0.8147949873164745
EL,Greece,9,6289337,17679658,0.262394689472796,0.6498445562335927
EL,Greece,10,3216293,9308892,0.25678606743133936,0.331125920157639
EL,Greece,11,1055812,1986016,0.3470978635215403,0.07299924501892599
EL,Greece,12,1143611,1950671,0.36958848611729633,0.06938717623964503
ES,Spain,1,7922577,16491597,0.32450727188230905,0.260271177883063
ES,Spain,2,9282223,18498127,0.3341290876464839,0.3120720089491745
ES,Spain,3,11675723,24520235,0.32256980185467116,0.3869795293578607
ES,Spain,4,11494204,27099375,0.29782684834697504,0.4419397623842205
ES,Spain,5,13478453,35701081,0.2740663016449078,0.5634361792595732
ES,Spain,6,15329350,38185200,0.28645200230591494,0.622728687085733
ES,Spain,7,23937719,43918940,0.3527689006910877,0.6931308256668878
ES,Spain,8,27900477,47760600,0.3687560117601815,0.7537600887531886
ES,Spain,9,15460137,38965938,0.2840575404344333,0.6354610532825303
ES,Spain,10,13749167,33836772,0.2889333969011308,0.5340135648597674
ES,Spain,11,9407612,19978052,0.3201429105022095,0.325804397842371
ES,Spain,12,10953902,18025525,0.37798890916649247,0.2844797034338517
FR,France,1,8229260,12855490,0.39029440709517543,0.30693825444719985
FR,France,2,10875111,13650663,0.443415608412603,0.3484013468210087
FR,France,3,11711158,16523807,0.4147750138879223,0.39452315527470533
FR,France,4,12276553,16891213,0.42089452445552394,0.41673853594895083
FR,France,5,16895727,20136254,0.4562469126347845,0.48077410148235855
FR,France,6,15524290,20285444,0.4335215112181509,0.500480707550987
FR,France,7,29343774,21892288,0.5727172006310711,0.5227012478385017
FR,France,8,37695436,24314153,0.6078968851091724,0.5805258049426468
FR,France,9,14559405,20160828,0.41933488752797254,0.49740619245276313
FR,France,10,13025306,18281385,0.4160550215926685,0.43648716624393336
FR,France,11,8716735,14411484,0.37688742916175255,0.3555588780398264
FR,France,12,13536080,15059467,0.4733632128107219,0.3595605079141448
HR,Croatia,1,172335,370303,0.31758741555143577,0.06918811035404855
HR,Croatia,2,203015,460216,0.3060999862792903,0.09191780572942392
HR,Croatia,3,425213,831080,0.3384664246318335,0.15528055336587246
HR,Croatia,4,1067785,1504767,0.41506838345736063,0.2905252854056496
HR,Croatia,5,2494390,2644820,0.4853644820896597,0.49416315294932717
HR,Croatia,6,5305266,3453530,0.605707222773541,0.6667728551376878
HR,Croatia,7,10577380,4801875,0.6877693360309066,0.8971913741080869
HR,Croatia,8,11349400,5161721,0.6873791307083268,0.9644256788759742
HR,Croatia,9,4149289,3339738,0.5540491441678606,0.6448030396932505
HR,Croatia,10,1231390,1849077,0.3997413379205166,0.3454850312558446
HR,Croatia,11,293993,619824,0.32171977540360924,0.11966938702222428
HR,Croatia,12,418349,523481,0.4441873798880902,0.09780817653718088
IT,Italy,1,3696824,14200247,0.2065602801709844,0.20059700302554348
