listing_id,crawl_a,crawl_b,ts_a,ts_b,reviews_a,reviews_b,superhost_a,superhost_b,guest_fav_a,guest_fav_b,rating_a,rating_b,room_type,region,location,days_apart,review_delta,reviews_per_year,year_a,year_b,window
37117529,CC-MAIN-2021-04,CC-MAIN-2021-43,2021-01-25 00:00:00,2021-10-25 00:00:00,60.0,119.0,True,True,,,4.97,4.97,Entire home/apt,Europe,Saint-Angel,273,59.0,78.88278388278388,2021,2021,2021->2021
37742431,CC-MAIN-2021-04,CC-MAIN-2021-49,2021-01-25 00:00:00,2021-12-06 00:00:00,6.0,6.0,False,False,,,4.33,4.33,Entire home/apt,Europe,Yalova,315,0.0,0.0,2021,2021,2021->2021
28247857,CC-MAIN-2021-04,CC-MAIN-2021-49,2021-01-25 00:00:00,2021-12-06 00:00:00,1.0,4.0,False,False,,,5.0,5.0,Entire home/apt,NA,Warm Springs,315,3.0,3.4761904761904767,2021,2021,2021->2021
34448754,CC-MAIN-2021-10,CC-MAIN-2021-49,2021-03-08 00:00:00,2021-12-06 00:00:00,151.0,212.0,True,True,,,4.98,4.97,Entire home/apt,NA,Greenville,273,61.0,81.55677655677655,2021,2021,2021->2021
43546082,CC-MAIN-2021-04,CC-MAIN-2021-49,2021-01-25 00:00:00,2021-12-06 00:00:00,29.0,59.0,False,False,,,4.93,4.83,Entire home/apt,NA,Quitaque,315,30.0,34.76190476190476,2021,2021,2021->2021
4454407,CC-MAIN-2021-10,CC-MAIN-2021-49,2021-03-08 00:00:00,2021-12-06 00:00:00,44.0,52.0,True,True,,,4.86,4.85,Private room,Europe,Paestum-Giungano,273,8.0,10.695970695970695,2021,2021,2021->2021
23745326,CC-MAIN-2021-04,CC-MAIN-2021-43,2021-01-25 00:00:00,2021-10-25 00:00:00,102.0,102.0,True,True,,,4.92,4.92,Entire home/apt,Europe,Pirka,273,0.0,0.0,2021,2021,2021->2021
34365358,CC-MAIN-2021-04,CC-MAIN-2021-43,2021-01-25 00:00:00,2021-10-25 00:00:00,28.0,49.0,True,True,,,4.86,4.9,Entire home/apt,Europe,Kutaisi,273,21.0,28.07692307692308,2021,2021,2021->2021
36933728,CC-MAIN-2021-04,CC-MAIN-2021-43,2021-01-25 00:00:00,2021-10-25 00:00:00,9.0,15.0,True,False,,,5.0,4.73,Entire home/apt,Europe,Riveira,273,6.0,8.021978021978022,2021,2021,2021->2021
35544737,CC-MAIN-2021-04,CC-MAIN-2021-43,2021-01-25 00:00:00,2021-10-25 00:00:00,3.0,3.0,False,False,,,5.0,5.0,Private room,Europe,Riede,273,0.0,0.0,2021,2021,2021->2021
42663103,CC-MAIN-2021-10,CC-MAIN-2021-49,2021-03-08 00:00:00,2021-12-06 00:00:00,4.0,7.0,False,False,,,4.5,4.71,Entire home/apt,Europe,NO,273,3.0,4.010989010989011,2021,2021,2021->2021
40690030,CC-MAIN-2021-04,CC-MAIN-2021-43,2021-01-25 00:00:00,2021-10-25 00:00:00,21.0,22.0,False,False,,,4.52,4.55,Private room,Europe,Newcastle upon Tyne ,273,1.0,1.336996336996337,2021,2021,2021->2021
21202064,CC-MAIN-2021-10,CC-MAIN-2021-49,2021-03-08 00:00:00,2021-12-06 00:00:00,4.0,6.0,False,False,,,5.0,5.0,Entire home/apt,Europe,Greater London,273,2.0,2.673992673992674,2021,2021,2021->2021
26395402,CC-MAIN-2021-04,CC-MAIN-2021-43,2021-01-25 00:00:00,2021-10-25 00:00:00,52.0,64.0,True,True,,,4.9,4.88,Entire home/apt,Europe,Estoril,273,12.0,16.043956043956044,2021,2021,2021->2021
21714602,CC-MAIN-2021-04,CC-MAIN-2021-43,2021-01-25 00:00:00,2021-10-25 00:00:00,9.0,9.0,False,False,,,4.89,4.89,Entire home/apt,NA,Miramar Beach,273,0.0,0.0,2021,2021,2021->2021
30581590,CC-MAIN-2021-04,CC-MAIN-2021-43,2021-01-25 00:00:00,2021-10-25 00:00:00,1.0,2.0,False,False,,,5.0,5.0,Private room,Europe,Bérig-Vintrange,273,1.0,1.336996336996337,2021,2021,2021->2021
35474981,CC-MAIN-2021-04,CC-MAIN-2021-43,2021-01-25 00:00:00,2021-10-25 00:00:00,0.0,1.0,False,False,,,0.0,5.0,Entire home/apt,Europe,Rionero In Vulture,273,1.0,1.336996336996337,2021,2021,2021->2021
4267808,CC-MAIN-2021-04,CC-MAIN-2021-49,2021-01-25 00:00:00,2021-12-06 00:00:00,193.0,276.0,True,True,,,4.79,4.82,Entire home/apt,Europe,Le Lavandou,315,83.0,96.17460317460318,2021,2021,2021->2021
38184975,CC-MAIN-2021-04,CC-MAIN-2021-49,2021-01-25 00:00:00,2021-12-06 00:00:00,83.0,95.0,True,True,,,4.98,4.98,Entire home/apt,NA,Brownstown,315,12.0,13.904761904761907,2021,2021,2021->2021
45098512,CC-MAIN-2021-04,CC-MAIN-2021-49,2021-01-25 00:00:00,2021-12-06 00:00:00,2.0,16.0,False,True,,,5.0,5.0,Private room,Europe,Fairfield,315,14.0,16.22222222222222,2021,2021,2021->2021
26213460,CC-MAIN-2021-04,CC-MAIN-2021-43,2021-01-25 00:00:00,2021-10-25 00:00:00,0.0,0.0,False,False,,,0.0,0.0,Entire home/apt,Europe,Benimantell,273,0.0,0.0,2021,2021,2021->2021
15406173,CC-MAIN-2021-10,CC-MAIN-2021-49,2021-03-08 00:00:00,2021-12-06 00:00:00,71.0,86.0,True,True,,,4.93,4.92,Entire home/apt,APAC,Mandrem,273,15.0,20.054945054945055,2021,2021,2021->2021
28069991,CC-MAIN-2021-04,CC-MAIN-2021-43,2021-01-25 00:00:00,2021-10-25 00:00:00,22.0,33.0,False,True,,,4.91,4.91,Hotel room,Europe,Salerno,273,11.0,14.706959706959708,2021,2021,2021->2021
783928,CC-MAIN-2021-10,CC-MAIN-2021-49,2021-03-08 00:00:00,2021-12-06 00:00:00,246.0,258.0,True,True,,,4.79,4.8,Entire home/apt,APAC,Potts Point,273,12.0,16.043956043956044,2021,2021,2021->2021
35910817,CC-MAIN-2021-10,CC-MAIN-2021-49,2021-03-08 00:00:00,2021-12-06 00:00:00,21.0,31.0,False,True,,,5.0,5.0,Entire home/apt,LatAm,Piratuba,273,10.0,13.36996336996337,2021,2021,2021->2021
16344023,CC-MAIN-2021-04,CC-MAIN-2021-43,2021-01-25 00:00:00,2021-10-25 00:00:00,17.0,19.0,False,False,,,4.69,4.72,Entire home/apt,LatAm,Coronel,273,2.0,2.673992673992674,2021,2021,2021->2021
14108206,CC-MAIN-2021-04,CC-MAIN-2021-49,2021-01-25 00:00:00,2021-12-06 00:00:00,23.0,32.0,True,True,,,4.96,4.94,Entire home/apt,Europe,Narcastet,315,9.0,10.428571428571429,2021,2021,2021->2021
28838398,CC-MAIN-2021-04,CC-MAIN-2021-49,2021-01-25 00:00:00,2021-12-06 00:00:00,47.0,51.0,True,False,,,4.74,4.63,Entire home/apt,Europe,Luddesdown,315,4.0,4.634920634920635,2021,2021,2021->2021
28415714,CC-MAIN-2021-04,CC-MAIN-2021-43,2021-01-25 00:00:00,2021-10-25 00:00:00,193.0,238.0,True,True,,,4.88,4.82,Entire home/apt,NA,San Diego,273,45.0,60.16483516483516,2021,2021,2021->2021
32084551,CC-MAIN-2021-10,CC-MAIN-2021-49,2021-03-08 00:00:00,2021-12-06 00:00:00,28.0,37.0,True,True,,,4.82,4.86,Entire home/apt,NA,Ponchatoula,273,9.0,12.032967032967033,2021,2021,2021->2021
32740768,CC-MAIN-2021-04,CC-MAIN-2021-49,2021-01-25 00:00:00,2021-12-06 00:00:00,17.0,17.0,True,False,,,5.0,5.0,Private room,Europe,Saint-Philippe-d'Aiguille,315,0.0,0.0,2021,2021,2021->2021
31382329,CC-MAIN-2021-04,CC-MAIN-2021-43,2021-01-25 00:00:00,2021-10-25 00:00:00,6.0,16.0,False,True,,,4.83,4.88,Entire home/apt,Europe,Monacia-d'Orezza,273,10.0,13.36996336996337,2021,2021,2021->2021
33088509,CC-MAIN-2021-10,CC-MAIN-2021-49,2021-03-08 00:00:00,2021-12-06 00:00:00,59.0,75.0,True,True,,,4.98,4.99,Private room,Europe,Salerno,273,16.0,21.39194139194139,2021,2021,2021->2021
9082857,CC-MAIN-2021-04,CC-MAIN-2021-43,2021-01-25 00:00:00,2021-10-25 00:00:00,29.0,33.0,False,False,,,4.55,4.58,Entire home/apt,Europe,Boos,273,4.0,5.347985347985348,2021,2021,2021->2021
38067164,CC-MAIN-2021-04,CC-MAIN-2021-49,2021-01-25 00:00:00,2021-12-06 00:00:00,0.0,0.0,False,False,,,0.0,0.0,Entire home/apt,Europe,Syapsya,315,0.0,0.0,2021,2021,2021->2021
36653043,CC-MAIN-2021-04,CC-MAIN-2021-43,2021-01-25 00:00:00,2021-10-25 00:00:00,21.0,21.0,True,False,,,4.76,4.76,Entire home/apt,MEA,Harare,273,0.0,0.0,2021,2021,2021->2021
