month,close_usd,source
2021-12,166.49,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2022-01,153.97,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2022-02,151.49,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2022-03,171.76,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2022-04,153.21,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2022-05,120.87,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2022-06,89.08,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2022-07,110.98,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2022-08,113.12,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2022-09,105.04,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2022-10,106.91,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2022-11,102.14,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2022-12,85.5,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2023-01,111.11,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2023-02,123.28,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2023-03,124.4,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2023-04,119.67,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2023-05,109.77,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2023-06,128.16,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2023-07,152.19,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2023-08,131.55,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2023-09,137.21,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2023-10,118.29,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2023-11,126.34,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2023-12,136.14,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2024-01,144.14,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2024-02,157.47,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2024-03,164.96,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2024-04,158.57,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2024-05,144.93,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2024-06,151.63,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2024-07,139.56,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2024-08,117.31,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2024-09,126.81,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2024-10,134.79,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2024-11,136.11,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2024-12,131.41,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2025-01,131.17,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2025-02,138.87,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2025-03,119.46,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2025-04,121.92,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2025-05,129.0,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2025-06,132.34,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2025-07,132.41,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2025-08,130.53,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2025-09,121.42,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2025-10,126.54,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2025-11,116.99,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2025-12,135.72,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2026-01,129.37,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2026-02,135.11,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2026-03,126.28,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2026-04,140.36,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2026-05,133.31,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2026-06,143.1,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2026-07,151.52,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
2026-08,183.22,https://finance.yahoo.com/quote/ABNB/history/ (monthly)
