quarter,revenue_musd,sbc_musd,buybacks_musd,rsu_tax_withholding_musd,cfo_musd,capex_musd,fcf_musd,diluted_wa_shares_m,basic_wa_shares_m,sbc_pct_rev,sbc_pct_fcf,buyback_pct_fcf,net_cash_return_musd,diluted_shares_yoy_pct,fcf_per_diluted_share
1Q21,886.9,229.5,,130.4,606.4,7.7,598.7,601.0,601.0,25.9,38.3,0.0,-99.0,,1.0
2Q21,1335.2,232.9,,8.5,789.7,7.7,782.0,611.7,611.7,17.4,29.8,0.0,-224.4,,1.28
3Q21,2237.4,210.8,,15.7,534.7,5.5,529.2,681.9,621.0,9.4,39.8,0.0,-195.1,,0.78
4Q21,1532.4,225.9,0.0,22.4,382.2,4.1,378.1,569.4,630.3,14.7,59.7,0.0,-203.5,,0.66
1Q22,1509.0,195.0,0.0,205.0,1202.0,6.0,1196.0,635.0,635.0,12.9,16.3,0.0,10.0,5.66,1.88
2Q22,2104.0,247.0,0.0,140.0,801.0,5.0,796.0,684.0,638.0,11.7,31.0,0.0,-107.0,11.81,1.16
3Q22,2884.0,234.0,1000.0,146.0,964.0,6.0,958.0,680.0,639.0,8.1,24.4,104.4,912.0,-0.28,1.41
4Q22,1902.0,254.0,500.0,116.0,463.0,8.0,455.0,721.0,636.0,13.4,55.8,109.9,362.0,26.63,0.63
1Q23,1818.0,240.0,493.0,151.0,1587.0,6.0,1581.0,670.0,634.0,13.2,15.2,31.2,404.0,5.51,2.36
2Q23,2484.0,304.0,507.0,721.0,909.0,9.0,900.0,665.0,635.0,12.2,33.8,56.3,924.0,-2.78,1.35
3Q23,3397.0,286.0,500.0,151.0,1325.0,15.0,1310.0,660.0,640.0,8.4,21.8,38.2,365.0,-2.94,1.98
4Q23,2218.0,270.0,752.0,201.0,63.0,17.0,46.0,653.0,639.0,12.2,587.0,1634.8,683.0,-9.43,0.07
1Q24,2142.0,295.0,750.0,155.0,1923.0,14.0,1909.0,654.0,638.0,13.8,15.5,39.3,610.0,-2.39,2.92
2Q24,2748.0,382.0,749.0,154.0,1051.0,8.0,1043.0,649.0,635.0,13.9,36.6,71.8,521.0,-2.41,1.61
3Q24,3732.0,362.0,1093.0,113.0,1078.0,4.0,1074.0,642.0,631.0,9.7,33.7,101.8,844.0,-2.73,1.67
4Q24,2480.0,400.0,838.0,208.0,466.0,8.0,458.0,635.0,624.0,16.1,87.3,183.0,646.0,-2.76,0.72
1Q25,2272.0,358.0,807.0,152.0,1789.0,8.0,1781.0,632.0,621.0,15.8,20.1,45.3,601.0,-3.36,2.82
2Q25,3096.0,424.0,1010.0,143.0,975.0,13.0,962.0,626.0,615.0,13.7,44.1,105.0,729.0,-3.54,1.54
3Q25,4095.0,399.0,877.0,136.0,1356.0,7.0,1349.0,621.0,611.0,9.7,29.6,65.0,614.0,-3.27,2.17
4Q25,2778.0,400.0,1095.0,130.0,526.0,5.0,521.0,613.0,605.0,14.4,76.8,210.2,825.0,-3.46,0.85
1Q26,2678.0,410.0,1088.0,140.0,1708.0,4.0,1704.0,608.0,598.0,15.3,24.1,63.8,818.0,-3.8,2.8
2Q26,3608.0,487.0,1051.0,165.0,1270.0,17.0,1253.0,597.0,592.0,13.5,38.9,83.9,729.0,-4.63,2.1
