observation_id,source_id,provider_dataset,metric,period,value,unit,filters,observed_at_utc,official_url,collection_mode,license_or_terms,period_completeness,pit_status,research_disposition,notes
BA-001,VANCOUVER_STR_LICENSES,Business licences 2013 to 2024,records_all_statuses_by_folderyear,2018,3248,records,"Business type=Short Term Rental",2026-09-03T18:14:31Z,https://opendata.vancouver.ca/explore/dataset/business-licences-2013-to-2024/information/,manual_browser_portal_aggregate,Open Government Licence - Vancouver,historical_complete_current_portal_view,not_original_vintage,monitoring_only,"Static historical dataset; raw address-level records were not opened or retained."
BA-002,VANCOUVER_STR_LICENSES,Business licences 2013 to 2024,records_all_statuses_by_folderyear,2019,6240,records,"Business type=Short Term Rental",2026-09-03T18:14:31Z,https://opendata.vancouver.ca/explore/dataset/business-licences-2013-to-2024/information/,manual_browser_portal_aggregate,Open Government Licence - Vancouver,historical_complete_current_portal_view,not_original_vintage,monitoring_only,"Static historical dataset; raw address-level records were not opened or retained."
BA-003,VANCOUVER_STR_LICENSES,Business licences 2013 to 2024,records_all_statuses_by_folderyear,2020,5394,records,"Business type=Short Term Rental",2026-09-03T18:14:31Z,https://opendata.vancouver.ca/explore/dataset/business-licences-2013-to-2024/information/,manual_browser_portal_aggregate,Open Government Licence - Vancouver,historical_complete_current_portal_view,not_original_vintage,monitoring_only,"Static historical dataset; raw address-level records were not opened or retained."
BA-004,VANCOUVER_STR_LICENSES,Business licences 2013 to 2024,records_all_statuses_by_folderyear,2021,3887,records,"Business type=Short Term Rental",2026-09-03T18:14:31Z,https://opendata.vancouver.ca/explore/dataset/business-licences-2013-to-2024/information/,manual_browser_portal_aggregate,Open Government Licence - Vancouver,historical_complete_current_portal_view,not_original_vintage,monitoring_only,"Static historical dataset; raw address-level records were not opened or retained."
BA-005,VANCOUVER_STR_LICENSES,Business licences 2013 to 2024,records_all_statuses_by_folderyear,2022,4103,records,"Business type=Short Term Rental",2026-09-03T18:14:31Z,https://opendata.vancouver.ca/explore/dataset/business-licences-2013-to-2024/information/,manual_browser_portal_aggregate,Open Government Licence - Vancouver,historical_complete_current_portal_view,not_original_vintage,monitoring_only,"Static historical dataset; raw address-level records were not opened or retained."
BA-006,VANCOUVER_STR_LICENSES,Business licences 2013 to 2024,records_all_statuses_by_folderyear,2023,4595,records,"Business type=Short Term Rental",2026-09-03T18:14:31Z,https://opendata.vancouver.ca/explore/dataset/business-licences-2013-to-2024/information/,manual_browser_portal_aggregate,Open Government Licence - Vancouver,historical_complete_current_portal_view,not_original_vintage,monitoring_only,"Static historical dataset; raw address-level records were not opened or retained."
BA-007,VANCOUVER_STR_LICENSES,Business licences 2013 to 2024,records_all_statuses_by_folderyear,2024,4569,records,"Business type=Short Term Rental",2026-09-03T18:14:31Z,https://opendata.vancouver.ca/explore/dataset/business-licences-2013-to-2024/information/,manual_browser_portal_aggregate,Open Government Licence - Vancouver,overlap_period,not_original_vintage,methodology_break,"Historical page and current page disagree by one record for the same folder year."
BA-008,VANCOUVER_STR_LICENSES,Business licences 2013 to 2024,records_issued_by_folderyear,2018,3248,records,"Business type=Short Term Rental; Status=Issued",2026-09-03T18:14:31Z,https://opendata.vancouver.ca/explore/dataset/business-licences-2013-to-2024/information/,manual_browser_portal_aggregate,Open Government Licence - Vancouver,historical_complete_current_portal_view,not_original_vintage,monitoring_only,"Facet total reconciliation passed."
BA-009,VANCOUVER_STR_LICENSES,Business licences 2013 to 2024,records_issued_by_folderyear,2019,4209,records,"Business type=Short Term Rental; Status=Issued",2026-09-03T18:14:31Z,https://opendata.vancouver.ca/explore/dataset/business-licences-2013-to-2024/information/,manual_browser_portal_aggregate,Open Government Licence - Vancouver,historical_complete_current_portal_view,not_original_vintage,monitoring_only,"Facet total reconciliation passed."
BA-010,VANCOUVER_STR_LICENSES,Business licences 2013 to 2024,records_issued_by_folderyear,2020,2797,records,"Business type=Short Term Rental; Status=Issued",2026-09-03T18:14:31Z,https://opendata.vancouver.ca/explore/dataset/business-licences-2013-to-2024/information/,manual_browser_portal_aggregate,Open Government Licence - Vancouver,historical_complete_current_portal_view,not_original_vintage,monitoring_only,"Facet total reconciliation passed."
BA-011,VANCOUVER_STR_LICENSES,Business licences 2013 to 2024,records_issued_by_folderyear,2021,2179,records,"Business type=Short Term Rental; Status=Issued",2026-09-03T18:14:31Z,https://opendata.vancouver.ca/explore/dataset/business-licences-2013-to-2024/information/,manual_browser_portal_aggregate,Open Government Licence - Vancouver,historical_complete_current_portal_view,not_original_vintage,monitoring_only,"Facet total reconciliation passed."
BA-012,VANCOUVER_STR_LICENSES,Business licences 2013 to 2024,records_issued_by_folderyear,2022,2591,records,"Business type=Short Term Rental; Status=Issued",2026-09-03T18:14:31Z,https://opendata.vancouver.ca/explore/dataset/business-licences-2013-to-2024/information/,manual_browser_portal_aggregate,Open Government Licence - Vancouver,historical_complete_current_portal_view,not_original_vintage,monitoring_only,"Facet total reconciliation passed."
BA-013,VANCOUVER_STR_LICENSES,Business licences 2013 to 2024,records_issued_by_folderyear,2023,3188,records,"Business type=Short Term Rental; Status=Issued",2026-09-03T18:14:31Z,https://opendata.vancouver.ca/explore/dataset/business-licences-2013-to-2024/information/,manual_browser_portal_aggregate,Open Government Licence - Vancouver,historical_complete_current_portal_view,not_original_vintage,monitoring_only,"Facet total reconciliation passed."
BA-014,VANCOUVER_STR_LICENSES,Business licences 2013 to 2024,records_issued_by_folderyear,2024,2982,records,"Business type=Short Term Rental; Status=Issued",2026-09-03T18:14:31Z,https://opendata.vancouver.ca/explore/dataset/business-licences-2013-to-2024/information/,manual_browser_portal_aggregate,Open Government Licence - Vancouver,overlap_period,not_original_vintage,methodology_break,"Current page shows seven more issued records for the same folder year."
BA-015,VANCOUVER_STR_LICENSES,Business licences current,records_all_statuses_by_folderyear,2024,4568,records,"Business type=Short Term Rental",2026-09-03T18:14:31Z,https://opendata.vancouver.ca/explore/dataset/business-licences/information/,manual_browser_portal_aggregate,Open Government Licence - Vancouver,overlap_period,current_mutable_view,methodology_break,"Current page; differs by one record from the historical 2024 page."
BA-016,VANCOUVER_STR_LICENSES,Business licences current,records_all_statuses_by_folderyear,2025,4201,records,"Business type=Short Term Rental",2026-09-03T18:14:31Z,https://opendata.vancouver.ca/explore/dataset/business-licences/information/,manual_browser_portal_aggregate,Open Government Licence - Vancouver,closed_year_current_view,current_mutable_view,prospective_candidate,"Start timestamped snapshots; provider may revise the current view."
BA-017,VANCOUVER_STR_LICENSES,Business licences current,records_all_statuses_by_folderyear,2026,4722,records,"Business type=Short Term Rental",2026-09-03T18:14:31Z,https://opendata.vancouver.ca/explore/dataset/business-licences/information/,manual_browser_portal_aggregate,Open Government Licence - Vancouver,partial_year_through_observation_date,current_mutable_view,prospective_candidate,"Partial 2026 stock-like count; not comparable with closed years without cutoff controls."
BA-018,VANCOUVER_STR_LICENSES,Business licences current,records_issued_by_folderyear,2024,2989,records,"Business type=Short Term Rental; Status=Issued",2026-09-03T18:14:31Z,https://opendata.vancouver.ca/explore/dataset/business-licences/information/,manual_browser_portal_aggregate,Open Government Licence - Vancouver,overlap_period,current_mutable_view,methodology_break,"Current page; seven above historical-page 2024 issued count."
BA-019,VANCOUVER_STR_LICENSES,Business licences current,records_issued_by_folderyear,2025,3075,records,"Business type=Short Term Rental; Status=Issued",2026-09-03T18:14:31Z,https://opendata.vancouver.ca/explore/dataset/business-licences/information/,manual_browser_portal_aggregate,Open Government Licence - Vancouver,closed_year_current_view,current_mutable_view,prospective_candidate,"Current-page folder-year facet; current issued-year reconciliation passed."
BA-020,VANCOUVER_STR_LICENSES,Business licences current,records_issued_by_folderyear,2026,3915,records,"Business type=Short Term Rental; Status=Issued",2026-09-03T18:14:31Z,https://opendata.vancouver.ca/explore/dataset/business-licences/information/,manual_browser_portal_aggregate,Open Government Licence - Vancouver,partial_year_through_observation_date,current_mutable_view,prospective_candidate,"Partial 2026 stock-like count; current issued-year reconciliation passed."
BA-021,MELB_PED_HOURLY,Pedestrian Counting System counts per hour,source_rows_by_sensing_year,2024,253428,rows,"Portal facet; no active filters",2026-09-03T18:14:31Z,https://data.melbourne.vic.gov.au/explore/dataset/pedestrian-counting-system-monthly-counts-per-hour/analyze/,manual_browser_portal_aggregate,CC BY 4.0 under City of Melbourne data policy,incomplete_or_migration_limited,current_mutable_view,control_only,"Observation-row coverage is far below 2025; do not interpret as pedestrian volume."
BA-022,MELB_PED_HOURLY,Pedestrian Counting System counts per hour,source_rows_by_sensing_year,2025,815447,rows,"Portal facet; no active filters",2026-09-03T18:14:31Z,https://data.melbourne.vic.gov.au/explore/dataset/pedestrian-counting-system-monthly-counts-per-hour/analyze/,manual_browser_portal_aggregate,CC BY 4.0 under City of Melbourne data policy,closed_year_current_view,current_mutable_view,coverage_diagnostic,"Observation-row count is a sensor-coverage diagnostic only."
BA-023,MELB_PED_HOURLY,Pedestrian Counting System counts per hour,source_rows_by_sensing_year,2026,550863,rows,"Portal facet; no active filters",2026-09-03T18:14:31Z,https://data.melbourne.vic.gov.au/explore/dataset/pedestrian-counting-system-monthly-counts-per-hour/analyze/,manual_browser_portal_aggregate,CC BY 4.0 under City of Melbourne data policy,partial_year_through_observation_date,current_mutable_view,coverage_diagnostic,"Observation-row count is a sensor-coverage diagnostic only."
BA-024,MELB_PED_HOURLY,Pedestrian Counting System counts per hour,sum_direction_1_by_sensing_year,2024,49324560,pedestrian_counts,"X=Sensing_Date; timescale=Year; aggregate=SUM(Direction_1); all points",2026-09-03T18:14:31Z,https://data.melbourne.vic.gov.au/explore/dataset/pedestrian-counting-system-monthly-counts-per-hour/analyze/,manual_browser_chart_tooltip,CC BY 4.0 under City of Melbourne data policy,incomplete_or_migration_limited,current_mutable_view,control_only,"Portal tooltip value; sensor-panel and coverage controls required."
BA-025,MELB_PED_HOURLY,Pedestrian Counting System counts per hour,sum_direction_2_by_sensing_year,2024,49914384,pedestrian_counts,"X=Sensing_Date; timescale=Year; aggregate=SUM(Direction_2); all points",2026-09-03T18:14:31Z,https://data.melbourne.vic.gov.au/explore/dataset/pedestrian-counting-system-monthly-counts-per-hour/analyze/,manual_browser_chart_tooltip,CC BY 4.0 under City of Melbourne data policy,incomplete_or_migration_limited,current_mutable_view,control_only,"Portal tooltip value; sensor-panel and coverage controls required."
BA-026,MELB_PED_HOURLY,Pedestrian Counting System counts per hour,sum_total_directions_by_sensing_year,2024,99238944,pedestrian_counts,"X=Sensing_Date; timescale=Year; aggregate=SUM(Total_of_Directions); all points",2026-09-03T18:14:31Z,https://data.melbourne.vic.gov.au/explore/dataset/pedestrian-counting-system-monthly-counts-per-hour/analyze/,manual_browser_chart_tooltip,CC BY 4.0 under City of Melbourne data policy,incomplete_or_migration_limited,current_mutable_view,control_only,"Direction 1 plus Direction 2 reconciles exactly to provider total."
BA-027,MELB_PED_HOURLY,Pedestrian Counting System counts per hour,sum_direction_1_by_sensing_year,2025,159981654,pedestrian_counts,"X=Sensing_Date; timescale=Year; aggregate=SUM(Direction_1); all points",2026-09-03T18:14:31Z,https://data.melbourne.vic.gov.au/explore/dataset/pedestrian-counting-system-monthly-counts-per-hour/analyze/,manual_browser_chart_tooltip,CC BY 4.0 under City of Melbourne data policy,closed_year_current_view,current_mutable_view,control_only,"Portal tooltip value; sensor-panel and coverage controls required."
BA-028,MELB_PED_HOURLY,Pedestrian Counting System counts per hour,sum_direction_2_by_sensing_year,2025,161780597,pedestrian_counts,"X=Sensing_Date; timescale=Year; aggregate=SUM(Direction_2); all points",2026-09-03T18:14:31Z,https://data.melbourne.vic.gov.au/explore/dataset/pedestrian-counting-system-monthly-counts-per-hour/analyze/,manual_browser_chart_tooltip,CC BY 4.0 under City of Melbourne data policy,closed_year_current_view,current_mutable_view,control_only,"Portal tooltip value; sensor-panel and coverage controls required."
BA-029,MELB_PED_HOURLY,Pedestrian Counting System counts per hour,sum_total_directions_by_sensing_year,2025,321762251,pedestrian_counts,"X=Sensing_Date; timescale=Year; aggregate=SUM(Total_of_Directions); all points",2026-09-03T18:14:31Z,https://data.melbourne.vic.gov.au/explore/dataset/pedestrian-counting-system-monthly-counts-per-hour/analyze/,manual_browser_chart_tooltip,CC BY 4.0 under City of Melbourne data policy,closed_year_current_view,current_mutable_view,control_only,"Direction 1 plus Direction 2 reconciles exactly to provider total."
BA-030,MELB_PED_HOURLY,Pedestrian Counting System counts per hour,sum_direction_1_by_sensing_year,2026,107688032,pedestrian_counts,"X=Sensing_Date; timescale=Year; aggregate=SUM(Direction_1); all points",2026-09-03T18:14:31Z,https://data.melbourne.vic.gov.au/explore/dataset/pedestrian-counting-system-monthly-counts-per-hour/analyze/,manual_browser_chart_tooltip,CC BY 4.0 under City of Melbourne data policy,partial_year_through_observation_date,current_mutable_view,control_only,"Partial 2026; sensor-panel and coverage controls required."
