date,act_symbol,period,period_end_date,consensus,count,high,low,year_ago
2017-10-27,NCLH,Current Quarter,2017-09-30,1640000000,4,1660000000,1620000000,1480000000
2017-10-27,NCLH,Current Year,2017-12-31,5400000000,4,5430000000,5340000000,4870000000
2017-10-27,NCLH,Next Quarter,2017-12-31,1260000000,4,1290000000,1230000000,1130000000
2017-10-27,NCLH,Next Year,2018-12-31,5940000000,4,6030000000,5800000000,5400000000
2017-11-04,NCLH,Current Quarter,2017-09-30,1640000000,4,1660000000,1620000000,1480000000
2017-11-04,NCLH,Current Year,2017-12-31,5400000000,4,5430000000,5340000000,4870000000
2017-11-04,NCLH,Next Quarter,2017-12-31,1260000000,4,1290000000,1230000000,1130000000
2017-11-04,NCLH,Next Year,2018-12-31,5940000000,4,6030000000,5800000000,5400000000
2017-11-15,NCLH,Current Quarter,2017-12-31,1250000000,4,1260000000,1230000000,1130000000
2017-11-15,NCLH,Current Year,2017-12-31,5390000000,4,5410000000,5340000000,4870000000
2017-11-15,NCLH,Next Quarter,2018-03-31,1270000000,3,1290000000,1260000000,1150000000
2017-11-15,NCLH,Next Year,2018-12-31,5930000000,4,6000000000,5800000000,5390000000
2017-11-20,NCLH,Current Quarter,2017-12-31,1250000000,4,1260000000,1230000000,1130000000
2017-11-20,NCLH,Current Year,2017-12-31,5390000000,4,5410000000,5340000000,4870000000
2017-11-20,NCLH,Next Quarter,2018-03-31,1270000000,3,1290000000,1260000000,1150000000
2017-11-20,NCLH,Next Year,2018-12-31,5930000000,4,6000000000,5800000000,5390000000
2017-11-27,NCLH,Current Quarter,2017-12-31,1250000000,4,1260000000,1230000000,1130000000
2017-11-27,NCLH,Current Year,2017-12-31,5390000000,4,5410000000,5340000000,4870000000
2017-11-27,NCLH,Next Quarter,2018-03-31,1270000000,3,1290000000,1260000000,1150000000
2017-11-27,NCLH,Next Year,2018-12-31,5930000000,4,6000000000,5800000000,5390000000
2017-12-04,NCLH,Current Quarter,2017-12-31,1260000000,3,1260000000,1250000000,1130000000
2017-12-04,NCLH,Current Year,2017-12-31,5400000000,4,5410000000,5380000000,4870000000
2017-12-04,NCLH,Next Quarter,2018-03-31,1270000000,3,1290000000,1260000000,1150000000
2017-12-04,NCLH,Next Year,2018-12-31,5940000000,4,6000000000,5850000000,5400000000
2017-12-11,NCLH,Current Quarter,2017-12-31,1260000000,3,1260000000,1250000000,1130000000
2017-12-11,NCLH,Current Year,2017-12-31,5400000000,4,5410000000,5380000000,4870000000
2017-12-11,NCLH,Next Quarter,2018-03-31,1270000000,3,1290000000,1260000000,1150000000
2017-12-11,NCLH,Next Year,2018-12-31,5940000000,4,6000000000,5850000000,5400000000
2017-12-18,NCLH,Current Quarter,2017-12-31,1260000000,3,1260000000,1250000000,1130000000
2017-12-18,NCLH,Current Year,2017-12-31,5400000000,4,5410000000,5380000000,4870000000
2017-12-18,NCLH,Next Quarter,2018-03-31,1270000000,3,1290000000,1260000000,1150000000
2017-12-18,NCLH,Next Year,2018-12-31,5940000000,4,6000000000,5850000000,5400000000
2017-12-25,NCLH,Current Quarter,2017-12-31,1260000000,3,1260000000,1250000000,1130000000
2017-12-25,NCLH,Current Year,2017-12-31,5400000000,4,5410000000,5380000000,4870000000
2017-12-25,NCLH,Next Quarter,2018-03-31,1270000000,3,1290000000,1260000000,1150000000
2017-12-25,NCLH,Next Year,2018-12-31,5940000000,4,6000000000,5850000000,5400000000
2018-01-02,NCLH,Current Quarter,2017-12-31,1260000000,3,1260000000,1250000000,1130000000
2018-01-02,NCLH,Current Year,2017-12-31,5400000000,4,5410000000,5380000000,4870000000
2018-01-02,NCLH,Next Quarter,2018-03-31,1270000000,3,1290000000,1260000000,1150000000
2018-01-02,NCLH,Next Year,2018-12-31,5940000000,4,6000000000,5850000000,5400000000
2018-01-08,NCLH,Current Quarter,2017-12-31,1260000000,3,1260000000,1250000000,1130000000
2018-01-08,NCLH,Current Year,2017-12-31,5400000000,4,5410000000,5380000000,
2018-01-08,NCLH,Next Quarter,2018-03-31,1270000000,3,1290000000,1260000000,1150000000
2018-01-08,NCLH,Next Year,2018-12-31,5940000000,4,6000000000,5850000000,5400000000
2018-01-17,NCLH,Current Quarter,2017-12-31,1260000000,3,1260000000,1250000000,1130000000
2018-01-17,NCLH,Current Year,2017-12-31,5400000000,4,5410000000,5380000000,
2018-01-17,NCLH,Next Quarter,2018-03-31,1270000000,3,1290000000,1260000000,1150000000
2018-01-17,NCLH,Next Year,2018-12-31,5940000000,4,6000000000,5850000000,5400000000
