date,slot,period,value_musd,n,high_musd,low_musd,year_ago_musd
2021-02-07,Current Quarter,2020Q4,735.05,11,799.4,723.97,
2021-02-07,Current Year,FY2020,3250.0,13,3320.0,3240.0,
2021-02-07,Next Quarter,2021Q1,587.62,10,710.5,572.49,
2021-02-07,Next Year,FY2021,4480.0,13,4830.0,4380.0,3250.0
2021-02-14,Current Quarter,2020Q4,735.05,11,799.4,723.97,
2021-02-14,Current Year,FY2020,3250.0,13,3320.0,3240.0,
2021-02-14,Next Quarter,2021Q1,587.62,10,710.5,572.49,
2021-02-14,Next Year,FY2021,4480.0,13,4830.0,4380.0,3250.0
2021-02-21,Current Quarter,2020Q4,735.05,11,799.4,723.97,
2021-02-21,Current Year,FY2020,3260.0,13,3320.0,3240.0,
2021-02-21,Next Quarter,2021Q1,587.62,10,710.5,572.49,
2021-02-21,Next Year,FY2021,4490.0,13,4830.0,4380.0,3260.0
2021-03-07,Current Quarter,2021Q1,703.99,12,760.0,572.49,
2021-03-07,Current Year,FY2021,4760.0,13,5160.0,4460.0,3380.0
2021-03-07,Next Quarter,2021Q2,966.24,11,1110.0,887.2,
2021-03-07,Next Year,FY2022,6460.0,13,7670.0,6090.0,4760.0
2021-03-14,Current Quarter,2021Q1,703.99,12,760.0,572.49,
2021-03-14,Current Year,FY2021,4760.0,13,5160.0,4460.0,3380.0
2021-03-14,Next Quarter,2021Q2,966.24,11,1110.0,887.2,
2021-03-14,Next Year,FY2022,6460.0,13,7670.0,6090.0,4760.0
2021-03-21,Current Quarter,2021Q1,703.99,12,760.0,572.49,
2021-03-21,Current Year,FY2021,4760.0,13,5160.0,4460.0,3380.0
2021-03-21,Next Quarter,2021Q2,966.24,11,1110.0,887.2,
2021-03-21,Next Year,FY2022,6460.0,13,7670.0,6090.0,4760.0
2021-03-28,Current Quarter,2021Q1,703.99,12,760.0,572.49,
2021-03-28,Current Year,FY2021,4760.0,13,5160.0,4460.0,3380.0
2021-03-28,Next Quarter,2021Q2,966.24,11,1110.0,887.2,
2021-03-28,Next Year,FY2022,6460.0,13,7670.0,6090.0,4760.0
2021-04-04,Current Quarter,2021Q1,703.99,12,760.0,572.49,
2021-04-04,Current Year,FY2021,4760.0,13,5160.0,4460.0,3380.0
2021-04-04,Next Quarter,2021Q2,966.24,11,1110.0,887.2,
2021-04-04,Next Year,FY2022,6460.0,13,7670.0,6090.0,4760.0
2021-04-11,Current Quarter,2021Q1,703.99,12,760.0,572.49,
2021-04-11,Current Year,FY2021,4760.0,13,5160.0,4460.0,3380.0
2021-04-11,Next Quarter,2021Q2,966.24,11,1110.0,887.2,
2021-04-11,Next Year,FY2022,6460.0,13,7670.0,6090.0,4760.0
2021-04-18,Current Quarter,2021Q1,703.99,12,760.0,572.49,
2021-04-18,Current Year,FY2021,4760.0,13,5160.0,4460.0,3380.0
2021-04-18,Next Quarter,2021Q2,966.24,11,1110.0,887.2,
2021-04-18,Next Year,FY2022,6460.0,13,7670.0,6090.0,4760.0
2021-04-25,Current Quarter,2021Q1,703.99,12,760.0,572.49,
2021-04-25,Current Year,FY2021,4800.0,13,5160.0,4460.0,3380.0
2021-04-25,Next Quarter,2021Q2,977.88,11,1110.0,887.2,
2021-04-25,Next Year,FY2022,6510.0,13,7670.0,6090.0,4800.0
2021-05-02,Current Quarter,2021Q1,714.58,12,887.0,572.49,
2021-05-02,Current Year,FY2021,4800.0,13,5160.0,4460.0,3380.0
2021-05-02,Next Quarter,2021Q2,977.88,11,1110.0,887.2,
2021-05-02,Next Year,FY2022,6510.0,13,7670.0,6090.0,4800.0
2021-05-09,Current Quarter,2021Q1,714.58,12,887.0,572.49,
2021-05-09,Current Year,FY2021,4800.0,13,5160.0,4460.0,3380.0
2021-05-09,Next Quarter,2021Q2,977.88,11,1110.0,887.2,
2021-05-09,Next Year,FY2022,6510.0,13,7670.0,6090.0,4800.0
2021-05-16,Current Quarter,2021Q2,992.62,10,1110.0,887.2,
2021-05-16,Current Year,FY2021,5120.0,12,5540.0,4600.0,3380.0
2021-05-16,Next Quarter,2021Q3,1800.0,10,1990.0,1650.0,
2021-05-16,Next Year,FY2022,6860.0,12,7780.0,6240.0,5120.0
