cell,register_id,period,event_date,guide_mid,register_vendor,register_value,register_as_of,dolthub_date,dolthub_value,dolthub_n,dolthub_slot,diff_pct,sign_register,sign_dolthub,sign_agree
pre_guide,PG-2022Q1-revenue,2022Q1,2022-02-15,1445.0,CNBC unattributed,1240.0,2022-02-15,2022-02-13,1270.0,7,Next Quarter,2.4193548387096775,1.0,1.0,True
pre_guide,PG-2022Q2-revenue,2022Q2,2022-05-03,2080.0,CNBC unattributed,1960.0,2022-05-03,2022-05-01,1980.0,11,Next Quarter,1.0204081632653061,1.0,1.0,True
pre_guide,PG-2022Q3-revenue,2022Q3,2022-08-02,2830.0,StreetAccount,2770.0,2022-08-02,2022-07-31,2760.0,11,Next Quarter,-0.36101083032490977,1.0,1.0,True
pre_guide,PG-2022Q4-revenue,2022Q4,2022-11-01,1840.0,Refinitiv,1850.0,2022-11-01,2022-10-30,1900.0,10,Next Quarter,2.7027027027027026,-1.0,-1.0,True
pre_guide,PG-2023Q1-revenue,2023Q1,2023-02-14,1785.0,Refinitiv,1690.0,2023-02-14,2023-02-12,1680.0,8,Next Quarter,-0.591715976331361,1.0,1.0,True
pre_guide,PG-2023Q2-revenue,2023Q2,2023-05-09,2400.0,Refinitiv,2420.0,2023-05-09,2023-05-07,2430.0,10,Next Quarter,0.4132231404958678,-1.0,-1.0,True
pre_guide,PG-2023Q3-revenue,2023Q3,2023-08-03,3350.0,Refinitiv,3220.0,2023-08-03,2023-07-30,3180.0,10,Next Quarter,-1.2422360248447204,1.0,1.0,True
pre_guide,PG-2023Q4-revenue,2023Q4,2023-11-01,2150.0,LSEG,2180.0,2023-11-01,2023-10-29,2170.0,11,Next Quarter,-0.45871559633027525,-1.0,-1.0,True
pre_guide,PG-2024Q1-revenue,2024Q1,2024-02-13,2050.0,LSEG,2030.0,2024-02-13,2024-02-11,2040.0,10,Next Quarter,0.49261083743842365,1.0,1.0,True
pre_guide,PG-2024Q2-revenue,2024Q2,2024-05-08,2710.0,LSEG,2740.0,2024-05-08,2024-05-05,2760.0,11,Next Quarter,0.7299270072992701,-1.0,-1.0,True
pre_guide,PG-2024Q4-revenue,2024Q4,2024-11-07,2415.0,LSEG,2420.0,2024-11-07,2024-11-03,2420.0,12,Next Quarter,0.0,-1.0,-1.0,True
pre_guide,PG-2025Q1-revenue,2025Q1,2025-02-13,2250.0,LSEG,2300.0,2025-02-13,2025-02-09,2290.0,11,Next Quarter,-0.43478260869565216,-1.0,-1.0,True
pre_guide,PG-2025Q2-revenue,2025Q2,2025-05-01,3020.0,LSEG,3040.0,2025-05-01,2025-04-27,3030.0,12,Next Quarter,-0.3289473684210526,-1.0,-1.0,True
pre_guide,PG-2025Q3-revenue,2025Q3,2025-08-06,4060.0,LSEG,4050.0,2025-08-06,2025-08-03,4040.0,12,Next Quarter,-0.24691358024691357,1.0,1.0,True
pre_guide,PG-2025Q4-revenue,2025Q4,2025-11-06,2690.0,LSEG,2670.0,2025-11-06,2025-11-02,2670.0,11,Next Quarter,0.0,1.0,1.0,True
pre_guide,PG-2026Q1-revenue,2026Q1,2026-02-12,2610.0,LSEG,2530.0,2026-02-12,2026-02-08,2520.0,9,Next Quarter,-0.3952569169960474,1.0,1.0,True
pre_guide,PG-2026Q2-revenue,2026Q2,2026-05-07,3570.0,LSEG,3460.0,2026-05-07,2026-05-03,3480.0,10,Next Quarter,0.5780346820809248,1.0,1.0,True
pre_guide,PG-2026Q3-revenue,2026Q3,2026-08-06,4730.0,LSEG,4610.0,2026-08-06,2026-08-02,4540.0,10,Next Quarter,-1.5184381778741864,1.0,1.0,True
at_print,AP-2020Q4-revenue,2020Q4,2021-02-25,,Yahoo/unattributed,739.7,2021-02-25,2021-02-21,735.05,11,Current Quarter,-0.6286332296877235,,,
