kind,date,period,old_vendor,old_value,old_as_of,new_vendor,new_value,new_as_of,changed,rel_change_pct
guide_date,2021-02-25,2021Q1,,,,DoltHub post-no-preference/earnings,587.62,2021-02-21,True,
print_date,2021-02-25,2020Q4,,,,DoltHub post-no-preference/earnings,735.05,2021-02-21,True,
guide_date,2021-05-13,2021Q2,,,,DoltHub post-no-preference/earnings,977.88,2021-05-09,True,
print_date,2021-05-13,2021Q1,,,,DoltHub post-no-preference/earnings,714.58,2021-05-09,True,
guide_date,2021-08-12,2021Q3,,,,DoltHub post-no-preference/earnings,1950.0,2021-08-08,True,
print_date,2021-08-12,2021Q2,,,,DoltHub post-no-preference/earnings,1280.0,2021-08-08,True,
guide_date,2021-11-04,2021Q4,,,,DoltHub post-no-preference/earnings,1430.0,2021-10-31,True,
print_date,2021-11-04,2021Q3,,,,DoltHub post-no-preference/earnings,2060.0,2021-10-31,True,
guide_date,2022-02-15,2022Q1,,,,DoltHub post-no-preference/earnings,1270.0,2022-02-13,True,
print_date,2022-02-15,2021Q4,,,,DoltHub post-no-preference/earnings,1460.0,2022-02-13,True,
guide_date,2022-05-03,2022Q2,,,,DoltHub post-no-preference/earnings,1980.0,2022-05-01,True,
print_date,2022-05-03,2022Q1,CNBC unattributed,1240.0,2022-02-15,DoltHub post-no-preference/earnings,1450.0,2022-05-01,True,16.93548387096774
guide_date,2022-08-02,2022Q3,,,,DoltHub post-no-preference/earnings,2760.0,2022-07-31,True,
print_date,2022-08-02,2022Q2,CNBC unattributed,1960.0,2022-05-03,DoltHub post-no-preference/earnings,2100.0,2022-07-31,True,7.142857142857142
guide_date,2022-11-01,2022Q4,,,,DoltHub post-no-preference/earnings,1900.0,2022-10-30,True,
print_date,2022-11-01,2022Q3,StreetAccount,2770.0,2022-08-02,DoltHub post-no-preference/earnings,2850.0,2022-10-30,True,2.888086642599278
guide_date,2023-02-14,2023Q1,,,,DoltHub post-no-preference/earnings,1680.0,2023-02-12,True,
print_date,2023-02-14,2022Q4,Refinitiv,1850.0,2022-11-01,DoltHub post-no-preference/earnings,1870.0,2023-02-12,True,1.0810810810810811
guide_date,2023-05-09,2023Q2,,,,DoltHub post-no-preference/earnings,2430.0,2023-05-07,True,
print_date,2023-05-09,2023Q1,Refinitiv,1690.0,2023-02-14,DoltHub post-no-preference/earnings,1790.0,2023-05-07,True,5.9171597633136095
guide_date,2023-08-03,2023Q3,,,,DoltHub post-no-preference/earnings,3180.0,2023-07-30,True,
print_date,2023-08-03,2023Q2,Refinitiv,2420.0,2023-05-09,DoltHub post-no-preference/earnings,2410.0,2023-07-30,True,-0.4132231404958678
guide_date,2023-11-01,2023Q4,,,,DoltHub post-no-preference/earnings,2170.0,2023-10-29,True,
print_date,2023-11-01,2023Q3,Refinitiv,3220.0,2023-08-03,DoltHub post-no-preference/earnings,3370.0,2023-10-29,True,4.658385093167702
guide_date,2024-02-13,2024Q1,,,,DoltHub post-no-preference/earnings,2040.0,2024-02-11,True,
print_date,2024-02-13,2023Q4,LSEG,2180.0,2023-11-01,DoltHub post-no-preference/earnings,2160.0,2024-02-11,True,-0.9174311926605505
guide_date,2024-05-08,2024Q2,,,,DoltHub post-no-preference/earnings,2760.0,2024-05-05,True,
print_date,2024-05-08,2024Q1,LSEG,2030.0,2024-02-13,DoltHub post-no-preference/earnings,2070.0,2024-05-05,True,1.9704433497536946
guide_date,2024-08-06,2024Q3,,,,DoltHub post-no-preference/earnings,3860.0,2024-07-28,True,
print_date,2024-08-06,2024Q2,LSEG,2740.0,2024-05-08,DoltHub post-no-preference/earnings,2750.0,2024-07-28,True,0.36496350364963503
guide_date,2024-11-07,2024Q4,,,,DoltHub post-no-preference/earnings,2420.0,2024-11-03,True,
print_date,2024-11-07,2024Q3,,,,DoltHub post-no-preference/earnings,3720.0,2024-11-03,True,
guide_date,2025-02-13,2025Q1,,,,DoltHub post-no-preference/earnings,2290.0,2025-02-09,True,
print_date,2025-02-13,2024Q4,LSEG,2420.0,2024-11-07,DoltHub post-no-preference/earnings,2420.0,2025-02-09,True,0.0
guide_date,2025-05-01,2025Q2,,,,DoltHub post-no-preference/earnings,3030.0,2025-04-27,True,
print_date,2025-05-01,2025Q1,LSEG,2300.0,2025-02-13,DoltHub post-no-preference/earnings,2260.0,2025-04-27,True,-1.7391304347826086
guide_date,2025-08-06,2025Q3,,,,DoltHub post-no-preference/earnings,4040.0,2025-08-03,True,
print_date,2025-08-06,2025Q2,LSEG,3040.0,2025-05-01,DoltHub post-no-preference/earnings,3040.0,2025-08-03,True,0.0
guide_date,2025-11-06,2025Q4,,,,DoltHub post-no-preference/earnings,2670.0,2025-11-02,True,
print_date,2025-11-06,2025Q3,LSEG,4050.0,2025-08-06,DoltHub post-no-preference/earnings,4080.0,2025-11-02,True,0.7407407407407408
guide_date,2026-02-12,2026Q1,,,,DoltHub post-no-preference/earnings,2520.0,2026-02-08,True,
print_date,2026-02-12,2025Q4,LSEG,2670.0,2025-11-06,DoltHub post-no-preference/earnings,2720.0,2026-02-08,True,1.8726591760299627
guide_date,2026-05-07,2026Q2,,,,DoltHub post-no-preference/earnings,3480.0,2026-05-03,True,
print_date,2026-05-07,2026Q1,LSEG,2530.0,2026-02-12,DoltHub post-no-preference/earnings,2620.0,2026-05-03,True,3.557312252964427
guide_date,2026-08-06,2026Q3,,,,DoltHub post-no-preference/earnings,4540.0,2026-08-02,True,
print_date,2026-08-06,2026Q2,LSEG,3460.0,2026-05-07,DoltHub post-no-preference/earnings,3580.0,2026-08-02,True,3.4682080924855487
